iter	M_lnTg(1)	M_lnUGT_VmaxC(1)	M_lnUGT_Km(1)	M_lnSULT_VmaxC(1)	M_lnSULT_Km_apap(1)	M_lnVmax_AS(1)	M_lnkPAPS_syn(1)	M_lnCLC_APAP(1)	M_lnCLC_AS(1)	M_lnCLC_AG(1)	Var_lnfa(1)	Var_lnkSG_Vm(1)	Var_lnkSG_Km(1)	Var_lnTg(1)	Var_lnCLC_APAP(1)	Var_lnCLC_AS(1)	Var_lnCLC_AG(1)	Var_lnkGA(1)	Var_lnkPAPS(1)	Var_lnUGT_Km(1)	Var_lnUGT_VmaxC(1)	Var_lnSULT_Km_apap(1)	Var_lnSULT_VmaxC(1)	Var_lnkPAPS_syn(1)	Var_lnVmax_AS(1)	Verr_lnCPL_APAP_mcgL_samp(1)	Verr_lnCPL_AG_mcgL_samp(1)	Verr_lnCPL_AS_mcgL_samp(1)	Verr_lnCU_APAP_mcg_samp(1)	Verr_lnCU_AG_mcg_samp(1)	Verr_lnCU_AS_mcg_samp(1)	lnTg(1.1)	lnSULT_Km_apap(1.1)	lnCLC_APAP(1.1)	lnCLC_AS(1.1)	lnSULT_VmaxC(1.1)	lnCLC_AG(1.1)	lnUGT_Km(1.1)	lnUGT_VmaxC(1.1)	lnkPAPS_syn(1.1)	lnVmax_AS(1.1)	lnTg(1.1.1)	lnSULT_Km_apap(1.1.1)	lnCLC_APAP(1.1.1)	lnCLC_AS(1.1.1)	lnSULT_VmaxC(1.1.1)	lnCLC_AG(1.1.1)	lnUGT_Km(1.1.1)	lnUGT_VmaxC(1.1.1)	lnkPAPS_syn(1.1.1)	lnVmax_AS(1.1.1)	lnTg(1.1.2)	lnSULT_Km_apap(1.1.2)	lnCLC_APAP(1.1.2)	lnCLC_AS(1.1.2)	lnSULT_VmaxC(1.1.2)	lnCLC_AG(1.1.2)	lnUGT_Km(1.1.2)	lnUGT_VmaxC(1.1.2)	lnkPAPS_syn(1.1.2)	lnVmax_AS(1.1.2)	lnTg(1.1.3)	lnSULT_Km_apap(1.1.3)	lnCLC_APAP(1.1.3)	lnCLC_AS(1.1.3)	lnSULT_VmaxC(1.1.3)	lnCLC_AG(1.1.3)	lnUGT_Km(1.1.3)	lnUGT_VmaxC(1.1.3)	lnkPAPS_syn(1.1.3)	lnVmax_AS(1.1.3)	lnTg(1.1.4)	lnSULT_Km_apap(1.1.4)	lnCLC_APAP(1.1.4)	lnCLC_AS(1.1.4)	lnSULT_VmaxC(1.1.4)	lnCLC_AG(1.1.4)	lnUGT_Km(1.1.4)	lnUGT_VmaxC(1.1.4)	lnkPAPS_syn(1.1.4)	lnVmax_AS(1.1.4)	lnTg(1.1.5)	lnSULT_Km_apap(1.1.5)	lnCLC_APAP(1.1.5)	lnCLC_AS(1.1.5)	lnSULT_VmaxC(1.1.5)	lnCLC_AG(1.1.5)	lnUGT_Km(1.1.5)	lnUGT_VmaxC(1.1.5)	lnkPAPS_syn(1.1.5)	lnVmax_AS(1.1.5)	lnTg(1.2)	lnSULT_Km_apap(1.2)	lnCLC_APAP(1.2)	lnCLC_AS(1.2)	lnSULT_VmaxC(1.2)	lnCLC_AG(1.2)	lnUGT_Km(1.2)	lnUGT_VmaxC(1.2)	lnkPAPS_syn(1.2)	lnVmax_AS(1.2)	lnTg(1.2.1)	lnSULT_Km_apap(1.2.1)	lnCLC_APAP(1.2.1)	lnCLC_AS(1.2.1)	lnSULT_VmaxC(1.2.1)	lnCLC_AG(1.2.1)	lnUGT_Km(1.2.1)	lnUGT_VmaxC(1.2.1)	lnkPAPS_syn(1.2.1)	lnVmax_AS(1.2.1)	lnTg(1.2.2)	lnSULT_Km_apap(1.2.2)	lnCLC_APAP(1.2.2)	lnCLC_AS(1.2.2)	lnSULT_VmaxC(1.2.2)	lnCLC_AG(1.2.2)	lnUGT_Km(1.2.2)	lnUGT_VmaxC(1.2.2)	lnkPAPS_syn(1.2.2)	lnVmax_AS(1.2.2)	lnTg(1.2.3)	lnSULT_Km_apap(1.2.3)	lnCLC_APAP(1.2.3)	lnCLC_AS(1.2.3)	lnSULT_VmaxC(1.2.3)	lnCLC_AG(1.2.3)	lnUGT_Km(1.2.3)	lnUGT_VmaxC(1.2.3)	lnkPAPS_syn(1.2.3)	lnVmax_AS(1.2.3)	lnTg(1.2.4)	lnSULT_Km_apap(1.2.4)	lnCLC_APAP(1.2.4)	lnCLC_AS(1.2.4)	lnSULT_VmaxC(1.2.4)	lnCLC_AG(1.2.4)	lnUGT_Km(1.2.4)	lnUGT_VmaxC(1.2.4)	lnkPAPS_syn(1.2.4)	lnVmax_AS(1.2.4)	lnTg(1.2.5)	lnSULT_Km_apap(1.2.5)	lnCLC_APAP(1.2.5)	lnCLC_AS(1.2.5)	lnSULT_VmaxC(1.2.5)	lnCLC_AG(1.2.5)	lnUGT_Km(1.2.5)	lnUGT_VmaxC(1.2.5)	lnkPAPS_syn(1.2.5)	lnVmax_AS(1.2.5)	LnPrior	LnData	LnPosterior
0	-0.940279	10.3191	8.08737	9.47229	5.77448	11.9714	2.21858	-1.385	-3.23909	0.57988	0.213166	0.39793	0.100928	0.206932	0.179343	0.132024	0.184815	0.139562	0.525019	0.128415	0.23898	0.272623	0.0914873	0.85411	0.0944513	0.0147786	0.0149124	0.239845	0.363433	0.0575609	0.0808055	-1.51494	5.68493	-0.884147	-3.15132	9.57686	0.53338	7.72649	10.5654	3.16409	11.9867	-1.81575	5.35611	-1.02753	-3.14479	9.61651	0.411909	7.92894	10.7058	4.48022	11.4731	-1.45234	5.31092	-1.16455	-3.67025	8.67341	0.910601	7.78258	11.0248	4.30543	12.1033	-1.2198	6.03592	-1.14317	-3.33722	9.96342	0.172938	7.88083	10.8549	3.40572	12.0183	-2.20471	7.09029	-1.16926	-3.51449	9.83303	0.0315703	8.48012	10.052	3.21216	11.6112	-2.4508	5.12246	-0.403402	-3.48107	9.92597	0.168031	7.7737	11.1954	3.15224	12.0804	-1.39547	5.88357	-1.99304	-4.00431	8.841	0.305754	8.11669	9.98927	3.60809	11.9396	-0.833884	4.69458	-2.26403	-4.10637	8.90926	0.104986	8.18538	9.67302	3.88325	11.8899	-1.23482	5.82091	-1.93941	-4.27115	8.75909	0.414529	8.44272	10.254	3.20117	12.5744	-1.63503	5.17579	-1.43241	-3.82594	8.76119	0.523569	8.4043	9.38109	4.15366	11.9576	-1.64436	6.81475	-2.02099	-4.43446	8.96548	-0.116013	8.18827	9.40591	4.83383	11.8785	-1.57205	5.8551	-2.18394	-4.63737	8.65096	0.461757	8.0739	9.69754	4.80944	12.1672	-4.321145e+01	-3.816316e+05	-3.816748e+05
10	-2.04143	9.98956	8.68106	7.20892	6.76263	13.5634	3.90894	-2.12234	-4.35902	0.680601	0.0888451	0.1079	0.20375	0.394463	1.47352	0.553021	0.482994	0.239419	0.5059	0.201876	0.317449	0.347475	0.215002	0.433166	1.08726	0.413755	0.11694	0.438242	0.440651	0.4879	0.334582	-2.44732	6.52407	-2.93675	-3.49384	8.24924	-1.01727	8.92892	10.5654	3.34512	15.2575	-2.40723	7.59773	-4.26168	-5.4144	8.5633	-3.1934	8.64672	10.5768	3.7069	15.349	-2.41838	5.18019	-1.04851	-1.35854	6.84414	-0.435543	8.77752	11.0789	3.22623	16.8748	-2.40777	7.38863	-4.48738	-4.39545	7.59163	-1.8806	8.84461	10.6406	3.72165	15.2758	-2.40386	7.92907	-4.56606	-3.60203	6.23304	0.528661	9.38923	9.24906	4.32594	13.2142	-2.46748	6.1296	-2.38335	-4.65721	7.39486	-2.67418	8.79672	11.0996	3.10026	15.7847	-1.94465	6.70546	-4.56648	-4.76243	7.71484	-0.596256	8.55194	10.4465	3.53773	13.4993	-2.10459	7.78784	-3.72967	-4.20975	8.04639	-4.65147	8.73499	9.93596	3.2749	14.4181	-1.55273	6.14024	-5.82422	-4.99563	6.87288	-3.0366	8.3073	10.0309	3.1625	14.3048	-2.41538	7.08043	-5.87823	-4.83996	7.34792	-3.70626	7.9113	9.48486	4.31124	13.5981	-2.47961	7.96306	-1.97371	-4.29445	7.68061	-1.72416	8.0737	10.1873	4.9302	14.4281	-2.49658	5.92888	-5.59899	-4.63737	7.45468	-0.176181	8.1371	10.5681	4.56859	16.6946	-2.015866e+02	-1.502550e+04	-1.522709e+04
20	-2.27138	10.664	8.31269	6.3029	6.36935	15.0638	1.32018	-5.463	-4.889	-2.31423	0.0906752	0.236079	0.133114	0.173701	2.53853	0.493197	0.838569	0.222471	0.131137	0.262449	0.388164	0.863928	0.463648	0.526345	1.15261	0.492275	0.299054	0.478678	0.493287	0.4879	0.440078	-2.44732	6.22322	-4.44994	-3.89474	7.34696	-2.83648	9.2738	9.55503	3.1528	15.354	-2.45847	7.41048	-5.24313	-5.30705	8.20704	-5.48152	8.66684	9.657	3.36544	14.1442	-2.49909	5.02821	-1.20599	-1.75113	6.46338	-2.04772	8.89621	10.5353	4.02946	16.7549	-2.32364	7.1008	-4.82532	-4.93993	7.68132	-3.31225	9.22434	10.3795	3.65537	15.5859	-2.40386	7.94887	-5.84974	-3.33572	5.19988	-3.64112	9.38923	7.752	3.32499	15.3313	-2.43135	6.59299	-3.70379	-5.21472	7.35587	-4.61357	9.35905	10.7918	3.22694	15.5284	-2.34974	6.12642	-5.0108	-4.95353	7.17041	-1.1208	8.79084	10.0519	3.55708	14.9149	-2.46339	7.80643	-4.00681	-4.64526	8.04639	-4.21689	9.21082	9.93531	4.85113	16.4388	-2.46065	6.12595	-5.82864	-4.63456	6.87288	-4.56806	8.89639	10.0309	3.81423	17.2726	-2.42527	6.62544	-4.60381	-5.75781	7.2692	-4.58192	8.48975	9.54915	3.91859	15.1326	-2.47961	7.82917	-1.75684	-5.79906	5.46999	-2.32729	8.71873	10.0093	3.8211	14.0378	-2.47333	6.43209	-5.25049	-5.43944	7.28332	-0.619114	8.78387	10.4264	3.85185	15.6005	-1.702365e+02	-8.761508e+03	-8.931745e+03
30	-2.42562	9.99116	9.36243	7.72069	6.71366	16.5046	1.46745	-4.36153	-5.70532	-4.84543	0.0996743	0.218717	0.0559835	0.080935	2.40827	1.11645	1.01673	0.107294	0.11952	0.137313	0.541621	0.943336	0.617281	0.251632	1.11952	0.498768	0.378107	0.491481	0.496801	0.49337	0.49825	-2.49134	7.06366	-4.05118	-4.96489	6.25791	-4.54397	9.3665	9.56151	3.09687	16.796	-2.45706	6.27504	-5.47413	-5.17756	6.76204	-5.79185	8.98171	9.657	3.51695	15.7533	-2.49395	5.42601	-1.52139	-1.73857	6.46338	-1.64671	9.30869	10.5353	3.57561	16.3696	-2.38536	7.2883	-4.50053	-5.94423	7.68132	-5.80251	9.31998	10.0662	4.05489	15.969	-2.45593	7.77006	-5.18683	-2.76526	5.11292	-3.45185	9.21311	6.97301	3.75152	17.0236	-2.46381	6.6341	-4.97842	-4.47799	7.20922	-4.44398	9.29448	10.144	3.6102	15.887	-2.35365	7.42012	-3.97708	-5.81293	6.79261	-3.34084	9.09347	9.684	3.1717	16.1579	-2.46339	7.49676	-3.92054	-4.90247	8.07049	-5.24432	9.14972	9.85984	3.60449	16.1312	-2.38219	6.18276	-4.80977	-5.97013	6.69101	-4.97482	9.30577	10.0391	3.01482	16.6475	-2.2874	6.58191	-5.44314	-5.84722	6.97433	-5.42362	8.85102	9.46853	3.66715	17.9306	-2.47906	7.99718	-2.36159	-5.41029	4.73243	-2.23791	9.13022	10.0093	3.37184	16.3105	-2.47844	6.49532	-5.27998	-5.27233	7.10276	-2.4984	9.02784	9.98147	3.66608	16.6929	-1.279405e+02	-7.889378e+03	-8.017318e+03
40	-2.47763	10.3986	9.39207	6.30316	6.26883	16.5046	2.56845	-5.40373	-3.28074	-3.96272	0.189685	0.0768272	0.0789975	0.0646776	2.69347	2.03172	1.72143	0.176839	0.241449	0.0421825	0.53286	0.57923	0.629729	0.156998	0.538179	0.498768	0.476234	0.499776	0.498156	0.49337	0.49825	-2.47539	5.7133	-4.18969	-5.0575	6.26961	-4.24023	9.25081	9.96882	3.0542	16.4801	-2.46362	5.6436	-5.78691	-5.71775	6.76204	-5.4932	8.80936	9.80981	3.21051	15.5599	-2.49395	5.48086	-1.65723	-1.57592	6.42775	-1.64671	9.30869	10.3209	3.90351	16.8168	-2.42346	6.90724	-4.79741	-5.63227	7.27138	-5.48339	9.29455	9.7791	3.23843	16.4163	-2.45809	7.40712	-4.57303	-3.92631	4.27299	-2.7815	9.1973	6.91978	3.48203	16.0031	-2.49801	6.65438	-5.59013	-5.10984	7.19522	-5.47814	9.35232	10.1557	3.15648	15.9165	-2.42595	7.4907	-5.34705	-5.0775	6.99568	-4.84788	9.34073	10.1147	3.09281	16.2505	-2.46339	7.93924	-4.22822	-4.8259	8.19826	-4.39324	9.13148	9.56601	3.02133	17.1506	-2.45726	6.28341	-5.65593	-5.42322	6.75109	-5.20018	9.32311	10.2329	3.00301	16.8555	-2.4151	6.58212	-5.2727	-5.98584	6.77326	-5.90175	8.9536	9.41918	3.02397	16.3513	-2.49707	7.9936	-2.36364	-5.7922	4.75874	-2.13563	9.1923	10.1017	3.20099	15.8012	-2.49964	6.50669	-5.68588	-5.15426	7.10276	-4.88631	9.16795	9.7908	3.51321	16.1442	-1.168659e+02	-7.348244e+03	-7.465110e+03
50	-2.35458	9.59026	9.38352	7.29031	6.5979	15.9585	0.686906	-5.79548	-4.84414	-4.80719	0.319456	0.134697	0.133943	0.0836635	3.17682	1.23462	2.23759	0.0544979	0.135712	0.0421825	0.42301	0.385855	1.00491	0.0761437	0.767837	0.498768	0.476234	0.499776	0.49812	0.49337	0.49825	-2.48809	5.9672	-4.17618	-4.43544	6.30971	-4.5574	9.35703	9.64844	3.0542	16.5835	-2.47701	5.7012	-5.62578	-4.89261	6.99326	-5.51339	9.07942	9.82343	3.15856	18.0407	-2.46635	5.32937	-1.48047	-1.568	6.42775	-1.56313	9.34274	10.3209	3.17695	16.5513	-2.42346	6.74468	-4.58199	-5.34548	7.28166	-5.85556	9.32188	9.88615	3.29904	16.9084	-2.43846	7.41079	-5.79256	-2.30023	3.97593	-3.73273	9.35331	7.00164	3.19961	14.2872	-2.35031	6.81475	-5.55811	-5.10984	7.19522	-5.45457	9.05471	9.52096	3.48424	15.5545	-2.41668	7.22794	-5.92815	-5.38355	6.68933	-5.47875	9.32628	10.3999	3.09281	15.8867	-2.49383	7.83574	-3.69999	-5.0176	8.19826	-4.65033	9.31479	9.87099	3.02133	16.167	-2.42278	6.44589	-4.68447	-5.8866	7.0227	-5.88087	9.38292	10.2292	3.36022	14.6952	-2.39744	6.34062	-5.65314	-5.06862	6.7187	-5.76015	9.0877	9.59966	3.18107	15.6685	-2.48064	7.51719	-2.0615	-5.66122	4.93237	-2.29693	9.385	10.1017	3.27694	13.7617	-2.49964	6.34876	-5.68974	-5.88303	7.16678	-5.76153	9.06319	9.99043	3.07386	16.109	inf	-7.350263e+03	inf
60	-2.30146	9.44699	9.02541	4.76779	6.25965	17.4605	0.686906	-4.70944	-4.93367	-4.31793	0.204728	0.14122	0.183232	0.0635195	2.51654	1.008	2.31748	0.413645	0.362115	0.0670839	0.48409	0.490859	0.923453	0.0761437	0.588076	0.498768	0.498916	0.499776	0.497735	0.496663	0.495501	-2.31424	5.96327	-5.99405	-4.32887	6.09054	-4.41814	9.09419	9.45215	3.0542	16.8598	-2.49442	5.41674	-4.94935	-4.63402	7.38843	-5.02824	9.20753	9.85766	3.03982	17.327	-2.49926	5.28375	-1.49218	-1.55997	6.34362	-1.33646	9.09885	10.1832	3.0686	16.281	-2.45579	6.72758	-5.83909	-5.49574	7.34191	-5.37957	9.23776	9.84439	3.02162	15.2571	-2.49416	6.75359	-5.14332	-4.71899	3.73191	-1.61198	9.14378	7.2437	3.04809	16.4501	-2.47749	6.58135	-4.91557	-5.68264	6.70725	-5.65016	9.16797	9.6868	3.15055	18.3767	-2.44216	6.64444	-5.1789	-5.6562	7.03283	-5.24101	9.35787	9.76587	3.09281	16.9269	-2.46683	7.70819	-4.64192	-4.42588	8.19451	-4.4417	8.93867	9.39044	3.06581	16.9152	-2.41964	6.46273	-5.21799	-5.85085	6.96355	-5.78546	9.27738	9.97245	3.28503	16.2196	-2.48417	5.7282	-4.79719	-5.33633	6.11941	-5.33538	9.10184	9.65704	3.23165	16.2063	-2.48487	7.69347	-2.37296	-4.56902	4.93237	-2.3791	9.07075	9.77684	3.10118	16.1218	-2.46766	6.59905	-4.71837	-4.36679	7.21831	-5.99766	9.12582	9.98931	3.26547	17.4187	inf	-7.261310e+03	inf
70	-2.25015	8.66011	9.3801	7.15994	7.072	17.4315	0.686906	-5.23715	-5.7514	-4.29137	0.179079	0.152744	0.224742	0.0313825	2.57097	1.43823	2.6211	0.0782167	0.0632675	0.109329	0.474622	0.273753	1.69158	0.0761437	1.27356	0.498768	0.499907	0.499776	0.486658	0.494541	0.496825	-2.49661	6.76633	-5.21805	-5.61587	7.27395	-4.90401	9.11232	9.18512	3.0542	17.2252	-2.42532	6.02723	-5.05314	-4.84332	7.88704	-5.86802	8.94539	9.63425	3.03982	16.2614	-2.464	5.42595	-1.65234	-1.87858	6.39849	-1.68278	9.14416	10.125	3.45056	15.5607	-2.45723	6.91149	-5.85021	-5.89102	7.40197	-5.96724	8.88765	9.41322	3.40003	16.442	-2.47885	6.80477	-5.19937	-5.54785	3.20498	-1.25741	9.36624	7.32092	3.39981	18.0055	-2.37087	6.58135	-5.60271	-5.70118	7.17018	-5.39715	9.03708	9.61904	3.07935	18.352	-2.34978	6.80519	-5.69039	-5.8547	6.41285	-5.29021	9.35111	9.98792	3.09281	17.1671	-2.3858	7.91692	-4.36557	-4.25703	8.57347	-3.84031	9.18109	9.81053	3.43115	17.2105	-2.42515	6.14172	-4.49664	-5.53356	6.55937	-4.89726	9.0318	9.52045	3.3829	19.1848	-2.48417	6.12682	-5.54922	-5.11525	6.46084	-5.94538	9.18317	9.66841	3.10686	18.9315	-2.4887	7.65903	-2.30148	-4.12574	3.73316	-2.3791	9.2466	10.2176	3.1227	16.8767	-2.4622	5.7397	-5.85711	-5.92581	6.50752	-4.75997	9.22068	9.98457	3.08944	16.6731	inf	-7.262649e+03	inf
80	-2.47226	9.63089	9.35705	7.6354	6.75052	17.2804	0.686906	-4.50266	-4.68108	-4.07428	0.596994	0.0716851	0.18206	0.0394661	1.34232	1.1692	2.63162	0.637412	0.0937427	0.0471204	0.448609	1.33133	1.23471	0.0761437	0.812125	0.498768	0.499907	0.499776	0.496102	0.494541	0.496825	-2.44982	7.94343	-5.61591	-5.27112	6.81102	-5.10708	9.11416	9.30549	3.0542	16.1165	-2.45098	7.13787	-5.72485	-4.8099	8.24875	-4.77578	9.03986	9.63425	3.17805	14.9624	-2.48759	5.34547	-1.52482	-1.74103	6.47067	-1.66806	9.00159	9.96555	3.25891	16.5492	-2.46104	6.91149	-5.98889	-5.8908	7.35989	-5.81316	9.03266	9.50822	3.3107	17.4848	-2.41115	7.66886	-5.52039	-5.75736	5.0696	-5.86138	9.17282	7.16834	3.3696	16.8005	-2.43614	6.36327	-5.43583	-5.81199	6.86006	-5.4588	9.19619	9.92619	3.07935	16.6905	-2.41508	7.90149	-4.58711	-5.9876	7.15287	-3.49044	9.36751	9.9186	3.09281	17.475	-2.41741	7.99479	-3.67425	-4.22654	8.26676	-4.29784	9.18654	9.55623	3.28383	18.2491	-2.48461	6.46431	-5.36931	-5.05827	6.63156	-5.41976	9.26911	9.78759	3.15542	17.2676	-2.48417	6.52173	-4.59334	-5.75706	6.53619	-5.5032	9.23904	9.7625	3.09168	17.0494	-2.48072	7.71315	-2.12476	-4.86568	4.57615	-2.18558	9.34187	10.2883	3.2307	17.6558	-2.42176	5.66583	-5.51224	-5.32629	6.43745	-5.90104	9.38834	10.0039	3.41017	18.0446	inf	-7.263065e+03	inf
90	-2.29389	10.1633	9.3599	7.05979	6.03314	18.0091	0.686906	-4.68593	-4.63314	-5.80711	0.668486	0.262404	0.0796551	0.0597254	1.63275	1.25033	3.77729	1.18466	0.168378	0.0728142	0.356061	1.32421	1.01108	0.0761437	0.722222	0.498768	0.499907	0.499776	0.494428	0.497238	0.496954	-2.46798	7.75412	-4.5162	-4.89744	6.79199	-5.40648	9.37131	9.55153	3.0542	18.847	-2.46045	7.62281	-4.83802	-5.3247	8.66596	-5.91104	9.29674	10.0733	3.08363	18.5782	-2.46164	5.36231	-1.62863	-1.64679	6.41544	-1.45803	9.10395	10.1227	3.18235	19.467	-2.48615	6.84887	-5.52389	-5.73554	7.21355	-5.57696	8.6481	9.34215	3.27713	18.9157	-2.42661	7.77018	-5.32287	-3.97337	4.83608	-4.20341	9.3791	6.74964	3.28029	17.4109	-2.41098	6.64516	-5.56128	-5.84215	6.98003	-5.45895	9.19983	9.87353	3.50733	19.6097	-2.3618	7.11458	-4.53463	-5.41954	7.17879	-3.31547	9.36855	9.84953	3.09281	17.2007	-2.43018	7.65377	-3.73116	-4.33156	7.7851	-4.50945	9.39028	9.79543	3.77361	18.4646	-2.39011	6.26677	-4.32088	-5.33825	6.61294	-4.6981	9.18141	9.85221	3.45861	17.6932	-2.42874	6.06993	-5.40288	-5.52728	6.62322	-5.34172	9.36662	10.0323	3.30477	16.7057	-2.47926	7.50688	-1.64737	-5.69338	4.22592	-2.00597	9.20281	10.1313	3.01058	17.4263	-2.4919	5.66583	-5.80088	-5.74218	6.33014	-5.87296	8.97123	9.7591	3.03615	17.3544	inf	-7.255853e+03	inf
