iter	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnkDCVGC(1)	M_lnkDCVCC(1)	M_lnkElimDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkDCVG(1)	M_lnISkDCVC(1)	M_lnISkNDCVC(1)	V_lnkDCVGC(1)	V_lnkDCVCC(1)	V_lnkElimDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkDCVG(1)	V_lnISkDCVC(1)	V_lnISkNDCVC(1)	lnkDCVGC(1.1.1)	lnkDCVCC(1.1.1)	lnkElimDCVCC(1.1.1)	lnkElimNDCVCC(1.1.1)	lnISkDCVG(1.1.1.1)	lnISkDCVC(1.1.1.1)	lnISkNDCVC(1.1.1.1)	lnISkDCVG(1.1.1.2)	lnISkDCVC(1.1.1.2)	lnISkNDCVC(1.1.1.2)	lnISkDCVG(1.1.1.3)	lnISkDCVC(1.1.1.3)	lnISkNDCVC(1.1.1.3)	lnISkDCVG(1.1.1.4)	lnISkDCVC(1.1.1.4)	lnISkNDCVC(1.1.1.4)	lnISkDCVG(1.1.1.5)	lnISkDCVC(1.1.1.5)	lnISkNDCVC(1.1.1.5)	lnISkDCVG(1.1.1.6)	lnISkDCVC(1.1.1.6)	lnISkNDCVC(1.1.1.6)	lnISkDCVG(1.1.1.7)	lnISkDCVC(1.1.1.7)	lnISkNDCVC(1.1.1.7)	lnISkDCVG(1.1.1.8)	lnISkDCVC(1.1.1.8)	lnISkNDCVC(1.1.1.8)	LnPrior	LnData	LnPosterior
0	0.190402	0.0798002	0.112045	3.0689	0.62916	1.49321	0.721991	0.543659	0.17575	0.469144	0.0446101	3.41444	-0.977915	4.03521	1.92423	1.32347	1.33241	4.37778	0.0957471	0.0948276	0.0657157	0.125996	2.87554	1.4842	10.5932	3.30643	-1.00922	3.98247	1.36842	0.74659	-0.139173	3.11655	4.56405	2.73648	3.28178	0.390752	0.00844529	4.09863	0.755865	0.790296	2.58934	1.71224	0.378249	2.2525	-0.726677	3.06718	1.05396	4.0523	0.210546	3.876	-0.563073	1.60915	-1.00335	-6.158318e+001	-7.900990e+003	-7.962573e+003
50	0.475645	0.834961	0.939629	0.91406	0.667591	0.69645	0.605154	0.23582	0.616946	0.695678	0.851714	3.95975	-0.229612	0.985591	-0.327756	1.65319	-4.47504	0.101472	0.13667	0.107931	0.3331	0.106926	0.70801	1.6783	1.05018	3.73155	-0.0213667	0.158064	-0.26813	1.97898	-4.02765	-0.352681	1.97063	-3.54405	-0.216118	1.39331	-2.90426	1.08763	1.99594	-3.17582	0.607401	1.80927	-3.1952	-1.636	1.97604	-3.77759	-0.864572	2.47544	-2.86088	-0.913152	2.32402	-3.17035	0.238413	-5.167641e+001	-6.198708e+002	-6.715472e+002
100	0.750789	0.920598	0.542939	0.94432	0.403238	0.817847	0.586518	0.600295	0.594933	0.633112	0.8757	2.70931	-0.00707314	-2.83517	-0.26175	2.49318	-3.47563	-0.438676	0.184462	0.142217	1.06946	0.2157	1.47544	1.11794	4.18224	2.73599	-0.133926	-0.760328	-0.388737	1.35162	-3.49926	-1.25953	3.28576	-2.92035	0.785512	1.27249	-2.98468	-1.29458	2.88416	-2.24051	-2.80567	1.91311	-3.99318	0.0244349	2.64612	-2.87136	-0.52749	3.02344	-2.72574	-0.351026	2.58794	-3.90678	-0.135427	-6.471773e+001	-6.267052e+002	-6.914229e+002
150	0.508817	0.846833	0.917656	1.01746	0.451219	0.770397	0.934139	0.243687	0.44394	0.649032	0.670015	2.20229	1.14278	-1.35251	0.141802	3.52885	-3.95745	0.72862	0.106528	0.146851	0.0458424	0.0403785	2.8478	1.21912	0.94057	2.50012	0.204236	-1.35093	0.0814454	3.25643	-3.30079	1.7413	3.69192	-3.68062	0.753766	2.44762	-3.17663	0.554311	2.44801	-3.67593	0.964609	2.74608	-4.3059	0.52161	3.46605	-3.30077	-0.293888	3.46184	-2.88882	1.70294	3.99356	-4.23413	0.811716	-5.210867e+001	-6.142996e+002	-6.664083e+002
200	0.669009	0.956889	0.907973	0.821155	0.511736	0.743747	0.82688	0.671734	0.375794	0.621322	0.921444	1.85327	0.459548	-2.90637	0.222272	4.02039	-3.72606	-0.133842	0.112267	0.235949	0.149131	0.0857097	1.99963	1.08031	2.46428	1.7425	-0.509542	-2.84154	0.493614	3.19949	-2.85202	-0.161693	3.47324	-3.84914	0.0707256	3.55944	-1.55582	1.42969	3.6556	-1.87873	0.196613	3.57653	-3.46649	-2.33882	3.6368	-2.59045	0.682992	4.20666	-1.91374	-0.403868	3.86594	-4.05493	-0.987442	-5.839059e+001	-6.292629e+002	-6.876535e+002
250	0.528451	0.908	1.00061	0.915751	0.495321	0.821588	0.837518	0.282743	0.390891	0.627335	0.721082	1.52838	-0.725237	-2.72598	0.795519	4.19839	-2.05595	-3.01702	0.0859924	0.118519	0.30298	0.0553808	5.83791	0.873261	11.481	1.70517	-0.533611	-2.87022	0.824467	4.47772	-2.72308	0.590855	4.49683	-2.80737	0.225695	3.26259	-1.57882	1.05245	3.6345	-3.46711	-0.791472	3.25404	-3.60184	-4.45137	4.52184	-2.98434	-0.103419	3.81157	-1.81764	-0.905101	4.21182	-3.10149	-0.662845	-6.719830e+001	-6.161805e+002	-6.833788e+002
300	0.44292	0.889135	0.903938	1.06388	0.764165	0.880428	0.907853	0.298683	0.314505	0.54835	0.937509	1.25616	-0.211566	-1.62757	0.747189	4.57009	-4.09972	-1.17752	0.276284	0.156619	0.170282	0.0859272	2.11379	3.97566	3.13461	1.66885	-0.595969	-1.47565	0.777173	4.14022	-3.25775	-3.88328	4.52739	-3.47626	-1.1449	3.5846	-2.11945	0.844332	3.77829	-2.53032	-0.206425	4.10655	-3.45168	-4.09079	3.82623	-2.22611	-0.828249	4.30031	-2.3398	-1.12001	4.27379	-2.91686	-1.59983	-5.771876e+001	-6.207001e+002	-6.784188e+002
350	0.406041	0.928343	0.92337	1.04913	0.431146	0.928584	0.568492	0.438363	0.374866	0.874034	0.705291	2.45234	-0.616007	-0.95984	1.09108	4.35978	-3.9762	-0.685714	0.0998097	0.249457	0.127474	0.181754	0.895239	2.23785	0.738447	2.04711	-0.616468	-1.29944	1.19392	4.11079	-2.78569	0.710403	3.75672	-2.69546	-0.723656	3.33492	-1.94015	0.516902	3.89991	-0.906404	0.576847	3.76904	-3.51193	-0.0863562	3.49473	-2.34451	-1.36302	4.5472	-2.25058	-0.542214	4.3197	-3.37859	0.478409	-5.387054e+001	-6.172433e+002	-6.711138e+002
400	0.516389	0.895158	0.855181	1.11853	0.467701	0.877657	0.695109	0.394987	0.442982	0.648415	0.62475	1.58333	0.0535198	-0.797255	0.821626	4.13433	-2.75509	0.121491	0.109505	0.554335	0.287499	0.233821	1.20986	0.771088	1.52585	2.07894	-0.610947	-1.29944	1.04282	3.57836	-2.79176	0.409334	3.9547	-3.52203	-0.6118	2.8831	-2.26887	-0.0550806	3.54078	-2.25492	0.116698	3.45914	-3.32423	-0.751684	3.62822	-2.56963	-0.240358	4.1002	-2.3895	-0.477222	4.30355	-2.482	0.360738	-5.368771e+001	-6.104400e+002	-6.641277e+002
450	0.516864	0.917712	0.965657	1.12804	0.354185	0.862192	0.823998	0.386876	0.55293	0.670633	0.728299	1.63333	-0.70414	-1.30395	0.700313	4.33476	-2.62569	-0.197641	0.0634686	0.261147	0.108926	0.0900366	0.975526	1.32947	2.00304	1.82147	-0.620913	-1.63829	0.789754	3.70789	-2.87644	0.439724	4.19371	-2.71557	0.310238	3.37449	-2.56244	-0.440988	3.60209	-3.41591	-1.28983	3.72538	-2.98001	2.06926	4.41729	-2.08857	-0.227888	4.5495	-2.27446	-0.0796613	4.53645	-3.25271	-0.0626298	-4.896180e+001	-6.152791e+002	-6.642409e+002
500	0.460276	0.998355	1.01542	0.946349	0.380461	0.784088	0.701386	0.450481	0.51755	0.774589	0.58864	1.64561	-0.861721	-1.95417	0.71775	4.56217	-2.44246	0.34138	0.119564	0.035538	0.118512	0.221622	3.38857	2.86858	1.30139	1.66419	-0.787032	-1.9002	0.640484	4.23163	-2.9097	-0.815621	3.61782	-2.62282	-0.0416038	3.57117	-2.17914	0.541565	3.69001	-1.79396	1.24219	4.11085	-3.03723	0.701116	3.71451	-2.88136	-0.741603	4.40128	-2.08372	0.589628	4.50841	-1.26204	1.5497	-5.416536e+001	-6.141630e+002	-6.683284e+002
550	0.560075	0.91777	0.889694	1.15151	0.654365	0.755588	0.813016	0.302721	0.405884	0.779365	0.621283	1.28853	-0.854382	-2.21825	-0.386535	4.42948	-3.18156	1.21709	0.199813	0.476974	0.267677	0.140472	1.51424	1.26081	1.65136	1.57199	-0.886236	-2.34551	-0.0378964	4.00397	-2.41197	1.70515	4.4248	-2.56835	0.66497	3.44879	-1.55939	1.9292	3.29393	-2.96261	-1.60342	3.27794	-2.79091	1.39572	3.95815	-2.05612	-0.0877139	4.56809	-2.23941	-1.37057	3.86804	-3.24558	0.323557	-5.825824e+001	-6.166471e+002	-6.749053e+002
