iter	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnkDCVGC(1)	M_lnkDCVCC(1)	M_lnkElimDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkDCVG(1)	M_lnISkDCVC(1)	M_lnISkNDCVC(1)	V_lnkDCVGC(1)	V_lnkDCVCC(1)	V_lnkElimDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkDCVG(1)	V_lnISkDCVC(1)	V_lnISkNDCVC(1)	lnkDCVGC(1.1.1)	lnkDCVCC(1.1.1)	lnkElimDCVCC(1.1.1)	lnkElimNDCVCC(1.1.1)	lnISkDCVG(1.1.1.1)	lnISkDCVC(1.1.1.1)	lnISkNDCVC(1.1.1.1)	lnISkDCVG(1.1.1.2)	lnISkDCVC(1.1.1.2)	lnISkNDCVC(1.1.1.2)	lnISkDCVG(1.1.1.3)	lnISkDCVC(1.1.1.3)	lnISkNDCVC(1.1.1.3)	lnISkDCVG(1.1.1.4)	lnISkDCVC(1.1.1.4)	lnISkNDCVC(1.1.1.4)	lnISkDCVG(1.1.1.5)	lnISkDCVC(1.1.1.5)	lnISkNDCVC(1.1.1.5)	lnISkDCVG(1.1.1.6)	lnISkDCVC(1.1.1.6)	lnISkNDCVC(1.1.1.6)	lnISkDCVG(1.1.1.7)	lnISkDCVC(1.1.1.7)	lnISkNDCVC(1.1.1.7)	lnISkDCVG(1.1.1.8)	lnISkDCVC(1.1.1.8)	lnISkNDCVC(1.1.1.8)	LnPrior	LnData	LnPosterior
0	0.284514	0.0299983	1.38221	1.46109	0.862961	0.014545	1.36798	1.56041	0.0616898	0.0980748	0.0125927	-7.27644	-4.68716	-4.04725	2.89681	3.2611	0.572274	2.96831	0.0544566	0.129778	0.0531612	1.17106	1.2076	3.0015	3.01163	-7.05143	-4.35281	-4.13408	3.82083	2.95334	0.569621	3.30608	3.59665	-0.98698	2.29623	4.49239	1.21924	0.941658	4.05902	0.871787	2.2335	2.06085	1.52582	3.7428	3.93585	-0.843303	1.73853	2.98682	-1.82592	2.47448	3.90206	0.559499	4.16461	-5.218589e+001	-2.113058e+006	-2.113110e+006
50	1.5978	1.47918	1.38633	1.4954	0.51383	0.761725	0.646227	0.445659	0.657529	0.726005	0.965465	-7.77835	-4.14409	-3.04226	-0.478536	0.970592	3.5767	-0.171914	0.432741	0.0988258	0.0946232	0.151458	0.894582	0.73883	1.84339	-7.11925	-4.22963	-2.79091	-0.0566173	0.587302	3.47863	-0.136216	0.758625	4.20868	0.248188	1.51154	3.67964	1.20798	2.09656	4.60222	1.377	2.01215	4.20182	1.79049	0.283219	3.42898	1.1197	2.18909	4.34662	-1.94246	1.29198	3.78517	-0.285216	-6.023572e+001	-7.622738e+002	-8.225095e+002
100	1.60166	1.51486	1.37748	1.59081	0.610939	0.587155	0.305773	0.522114	0.665919	0.597751	1.04563	-7.44297	-4.18339	-4.14185	-0.761538	1.60211	4.16563	1.14522	0.124443	0.101176	0.289504	0.0807008	1.81779	0.717416	1.56363	-7.01226	-4.41953	-3.03632	-0.757292	1.1361	3.83556	-0.184513	0.642295	4.38387	2.17013	1.49137	3.96005	0.212471	0.927254	3.95279	0.0335933	0.800466	3.78641	1.78046	1.16881	4.4014	0.865099	1.59487	4.49466	-0.826209	1.05608	4.44165	1.37313	-5.551266e+001	-7.660620e+002	-8.215747e+002
150	1.49361	1.54707	1.5194	1.52324	0.339442	0.700792	0.682641	0.618613	0.399155	0.766427	1.11638	-7.84489	-4.52225	-3.30568	-1.03716	1.5551	4.11522	1.94589	0.109078	0.373566	0.309237	0.0844918	4.55847	0.689724	1.65182	-7.6252	-4.33758	-3.32372	-1.03523	1.61922	3.89728	2.04247	1.45989	4.27417	2.00813	1.80041	4.063	1.74281	2.79583	4.4444	2.37471	0.901539	3.24448	2.9046	2.00762	4.45158	1.00073	2.10103	4.23749	1.18697	1.52334	4.59279	-0.16174	-5.970652e+001	-7.504142e+002	-8.101207e+002
200	1.51423	1.61902	1.48328	1.54025	0.480328	0.629313	0.515475	0.72966	0.611845	0.751528	0.868287	-8.40149	-4.76618	-3.13792	-1.93009	1.56188	4.54707	1.30907	0.451291	0.175713	0.11359	0.42225	2.15137	0.924364	3.02901	-7.60926	-4.6067	-3.22895	-1.79473	1.44644	4.30673	1.35856	-0.125232	4.11291	3.28339	2.37008	4.50197	3.71675	2.08563	4.52101	0.353087	1.60612	4.05263	3.3366	1.99129	4.47323	3.05554	2.84552	4.48391	0.391902	1.64045	4.43109	2.47515	-6.125580e+001	-7.528229e+002	-8.140788e+002
250	1.41753	1.54337	1.42032	1.55283	0.353183	0.793556	0.669666	0.363062	0.579261	0.804428	1.15463	-7.80179	-3.85373	-3.76501	-1.21182	2.62498	4.30947	3.09006	0.110512	0.359731	0.0999043	0.313995	0.802001	1.38064	1.40021	-7.71898	-4.49199	-3.15751	-1.90666	1.96085	3.31588	3.00418	0.439503	4.33117	3.05909	2.6468	4.29383	3.78318	2.30747	4.11445	0.406102	1.27898	3.2503	4.55419	2.19367	4.41596	2.57473	2.52228	4.13526	3.48108	1.35179	4.52786	2.31608	-6.117427e+001	-7.548673e+002	-8.160415e+002
300	1.59825	1.6527	1.45266	1.53836	0.627165	0.655389	0.472624	0.599297	0.39825	0.8046	0.912232	-9.12306	-3.76569	-3.15936	-1.14995	2.13047	4.40035	3.18106	0.47237	0.0695653	0.0974308	0.0664644	0.920577	1.48218	1.09053	-8.20038	-3.91651	-3.21895	-1.04759	1.80281	3.90742	2.53016	1.32616	4.41082	2.44835	2.49546	4.45145	2.29143	2.21973	4.45454	2.80827	1.86792	4.18253	3.69687	1.81244	4.22586	2.36314	2.71475	3.88564	2.13813	1.33173	3.99636	2.52111	-4.976978e+001	-7.495970e+002	-7.993667e+002
350	1.55205	1.49948	1.41463	1.52886	0.387954	0.714355	0.64102	0.644368	0.563091	0.718489	1.1234	-7.82929	-3.44469	-2.43	-1.09618	2.99013	3.89915	2.18482	0.148604	0.0780227	0.0874599	0.196222	0.786121	2.37918	0.701877	-8.28303	-3.81161	-2.85576	-1.31191	2.28524	3.11496	-0.17363	2.30381	4.24531	2.2097	3.04628	3.89917	2.98022	2.76734	3.66605	3.54964	2.13008	3.62113	2.02097	2.20093	3.59998	1.53998	2.86608	4.00331	3.3553	1.85655	3.55567	1.25453	-6.016968e+001	-7.530184e+002	-8.131881e+002
400	1.64965	1.58385	1.443	1.5264	0.232012	0.651424	0.639219	0.611307	0.460713	0.94729	0.859265	-8.25561	-3.24853	-2.72852	-1.54352	1.93327	4.5447	2.18609	0.180622	0.116161	0.0986016	1.44895	1.68514	2.40679	3.47901	-7.98314	-4.01876	-2.84318	-2.06551	1.82943	3.38627	3.6159	1.84692	4.00675	3.9284	2.77474	3.98237	4.24834	1.99972	3.2995	1.29507	1.81475	3.46635	0.926689	1.84724	3.63162	2.95442	2.85972	3.99754	0.899511	1.47922	4.006	0.661812	-6.552789e+001	-7.490634e+002	-8.145912e+002
450	1.51892	1.50757	1.45799	1.45824	0.25193	0.642316	0.707711	0.466949	0.58885	0.689007	1.12946	-7.43372	-4.80986	-2.78193	-0.378588	1.51854	4.20185	2.0019	0.123931	0.157004	0.0586438	0.188134	1.46028	0.718226	0.941334	-7.29461	-4.68701	-3.04072	-0.987759	1.64388	3.88457	2.71023	1.50812	4.12456	1.61028	2.20214	4.359	1.44248	2.20393	3.9756	1.38638	1.55738	3.92701	1.2497	2.08825	4.36315	1.94104	2.117	4.19716	0.97225	1.94112	4.40407	2.60805	-4.961897e+001	-7.506397e+002	-8.002587e+002
