iter	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnVMaxDCVGC(1)	M_lnClDCVGC(1)	M_lnPeffDCVG(1)	M_lnPeffDCVC(1)	M_lnkDCVGC(1)	M_lnkDCVCC(1)	M_lnkElimDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkDCVG(1)	M_lnISkDCVC(1)	M_lnISkNDCVC(1)	V_lnVMaxDCVGC(1)	V_lnClDCVGC(1)	V_lnPeffDCVG(1)	V_lnPeffDCVC(1)	V_lnkDCVGC(1)	V_lnkDCVCC(1)	V_lnkElimDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkDCVG(1)	V_lnISkDCVC(1)	V_lnISkNDCVC(1)	lnVMaxDCVGC(1.1)	lnPeffDCVG(1.1)	lnPeffDCVC(1.1)	lnClDCVGC(1.1)	lnkDCVGC(1.1)	lnkDCVCC(1.1)	lnkElimDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkDCVG(1.1)	lnISkDCVC(1.1)	lnISkNDCVC(1.1)	lnVMaxDCVGC(1.1.1)	lnPeffDCVG(1.1.1)	lnPeffDCVC(1.1.1)	lnClDCVGC(1.1.1)	lnkDCVGC(1.1.1)	lnkDCVCC(1.1.1)	lnkElimDCVCC(1.1.1)	lnkElimNDCVCC(1.1.1)	lnISkDCVG(1.1.1)	lnISkDCVC(1.1.1)	lnISkNDCVC(1.1.1)	lnVMaxDCVGC(1.1.2)	lnPeffDCVG(1.1.2)	lnPeffDCVC(1.1.2)	lnClDCVGC(1.1.2)	lnkDCVGC(1.1.2)	lnkDCVCC(1.1.2)	lnkElimDCVCC(1.1.2)	lnkElimNDCVCC(1.1.2)	lnISkDCVG(1.1.2)	lnISkDCVC(1.1.2)	lnISkNDCVC(1.1.2)	lnVMaxDCVGC(1.2)	lnPeffDCVG(1.2)	lnPeffDCVC(1.2)	lnClDCVGC(1.2)	lnkDCVGC(1.2)	lnkDCVCC(1.2)	lnkElimDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkDCVG(1.2)	lnISkDCVC(1.2)	lnISkNDCVC(1.2)	lnVMaxDCVGC(1.2.1)	lnPeffDCVG(1.2.1)	lnPeffDCVC(1.2.1)	lnClDCVGC(1.2.1)	lnkDCVGC(1.2.1)	lnkDCVCC(1.2.1)	lnkElimDCVCC(1.2.1)	lnkElimNDCVCC(1.2.1)	lnISkDCVG(1.2.1)	lnISkDCVC(1.2.1)	lnISkNDCVC(1.2.1)	lnVMaxDCVGC(1.2.2)	lnPeffDCVG(1.2.2)	lnPeffDCVC(1.2.2)	lnClDCVGC(1.2.2)	lnkDCVGC(1.2.2)	lnkDCVCC(1.2.2)	lnkElimDCVCC(1.2.2)	lnkElimNDCVCC(1.2.2)	lnISkDCVG(1.2.2)	lnISkDCVC(1.2.2)	lnISkNDCVC(1.2.2)	lnVMaxDCVGC(1.3)	lnPeffDCVG(1.3)	lnPeffDCVC(1.3)	lnClDCVGC(1.3)	lnkDCVGC(1.3)	lnkDCVCC(1.3)	lnkElimDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkDCVG(1.3)	lnISkDCVC(1.3)	lnISkNDCVC(1.3)	lnVMaxDCVGC(1.3.1)	lnPeffDCVG(1.3.1)	lnPeffDCVC(1.3.1)	lnClDCVGC(1.3.1)	lnkDCVGC(1.3.1)	lnkDCVCC(1.3.1)	lnkElimDCVCC(1.3.1)	lnkElimNDCVCC(1.3.1)	lnISkDCVG(1.3.1)	lnISkDCVC(1.3.1)	lnISkNDCVC(1.3.1)	lnVMaxDCVGC(1.3.2)	lnPeffDCVG(1.3.2)	lnPeffDCVC(1.3.2)	lnClDCVGC(1.3.2)	lnkDCVGC(1.3.2)	lnkDCVCC(1.3.2)	lnkElimDCVCC(1.3.2)	lnkElimNDCVCC(1.3.2)	lnISkDCVG(1.3.2)	lnISkDCVC(1.3.2)	lnISkNDCVC(1.3.2)	lnVMaxDCVGC(1.4)	lnPeffDCVG(1.4)	lnPeffDCVC(1.4)	lnClDCVGC(1.4)	lnkDCVGC(1.4)	lnkDCVCC(1.4)	lnkElimDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkDCVG(1.4)	lnISkDCVC(1.4)	lnISkNDCVC(1.4)	lnVMaxDCVGC(1.4.1)	lnPeffDCVG(1.4.1)	lnPeffDCVC(1.4.1)	lnClDCVGC(1.4.1)	lnkDCVGC(1.4.1)	lnkDCVCC(1.4.1)	lnkElimDCVCC(1.4.1)	lnkElimNDCVCC(1.4.1)	lnISkDCVG(1.4.1)	lnISkDCVC(1.4.1)	lnISkNDCVC(1.4.1)	lnVMaxDCVGC(1.4.2)	lnPeffDCVG(1.4.2)	lnPeffDCVC(1.4.2)	lnClDCVGC(1.4.2)	lnkDCVGC(1.4.2)	lnkDCVCC(1.4.2)	lnkElimDCVCC(1.4.2)	lnkElimNDCVCC(1.4.2)	lnISkDCVG(1.4.2)	lnISkDCVC(1.4.2)	lnISkNDCVC(1.4.2)	LnPrior	LnData	LnPosterior
0	1.49057	0.0337288	0.247034	0.100849	1.29747	0.332875	0.8038	0.910483	2.6749	0.0717301	0.113381	-2.24768	-3.8173	4.1379	-4.08252	-6.88831	-2.07286	2.84488	0.114536	-4.52962	0.600095	0.841164	0.098389	0.0682117	0.124971	0.18954	0.116482	0.187702	0.182973	0.0546788	4.71269	1.57231	1.50035	-1.77706	4.54676	-3.85742	-4.09059	-7.54038	-2.6905	2.1328	-0.0776915	-4.46506	-2.4437	0.419448	-1.68051	4.2499	-3.55679	-4.29857	-7.81346	-2.78203	2.42974	-0.0685892	-3.76193	-2.10585	1.07112	-1.53921	5.03563	-4.10155	-4.04641	-7.50247	-2.18223	2.16865	0.0661592	-3.60675	-2.17107	0.509038	-2.10407	4.08291	-4.51772	-3.64839	-6.04584	-1.79907	2.44082	0.318504	-4.32488	0.0630976	2.82505	-2.46994	3.61838	-3.80747	-3.83593	-5.95846	-1.91517	2.31629	0.0538091	-1.84399	-0.401549	1.94497	-2.4232	4.27271	-4.43634	-4.06694	-6.24877	-1.81956	2.65959	0.673621	-1.95813	-0.0423981	3.52485	-1.70049	4.02496	-3.37505	-3.75671	-7.40428	-2.47082	2.66284	0.714893	-1.21958	2.5065	0.969743	-1.65929	3.7896	-3.54379	-3.48344	-7.31317	-2.47099	2.32658	0.88006	-3.23699	2.077	0.0754247	-1.70034	4.4796	-3.59818	-3.81475	-7.43891	-2.38391	2.80907	0.602469	-3.03866	1.2345	2.10482	-2.10875	4.46865	-4.35402	-3.77307	-6.97653	-2.52576	2.77308	-0.104759	-4.47661	0.352804	-1.85192	-2.22374	4.72736	-4.31823	-3.41956	-6.95239	-2.21436	2.14206	-0.15981	-4.04764	-2.54489	-3.0097	-2.50693	4.90443	-4.62022	-4.05804	-7.11054	-2.50455	2.41346	-0.0640294	-3.0735	0.926419	-1.72839	-1.063020e+02	-7.217561e+04	-7.228191e+04
50	0.467578	0.970009	0.880839	0.761152	0.781249	0.892503	0.893374	1.00222	1.25054	1.0599	0.592911	-2.24535	-6.59488	3.53384	-4.08252	-6.45732	-2.09241	0.546701	-0.136846	3.01931	-0.909787	-0.135356	0.114603	0.158009	0.90851	0.0260887	0.341102	0.0580823	0.620533	0.258914	1.865	1.09268	1.2848	-1.90508	3.51141	-3.83983	-6.53827	-5.73737	-2.34256	0.921844	-0.0811082	3.07641	-1.16465	-0.0859734	-1.63752	3.30015	-3.44755	-6.8257	-5.69938	-2.09341	-0.667564	-0.270263	4.54341	-0.364517	-0.569858	-2.10286	4.25114	-3.85821	-6.50874	-6.13551	-1.91479	0.484023	-0.181315	3.88783	-1.96687	1.46514	-2.62068	4.07099	-4.05487	-6.02207	-5.99062	-2.05551	0.519188	-0.57641	4.5134	-1.59163	-0.139596	-2.15112	4.71913	-4.05446	-5.73805	-5.37629	-1.86036	-1.09238	-1.34583	4.59888	-1.07256	-0.675018	-2.19776	3.8583	-4.08485	-5.69651	-5.72393	-2.16226	0.798632	0.255585	4.56948	-1.66541	-0.672842	-2.70492	5.07984	-4.20635	-5.64908	-6.1677	-1.81223	-0.0374968	-0.646774	3.32471	-1.00627	0.184363	-2.53869	5.54707	-4.082	-5.04769	-6.02473	-1.53626	-0.883154	-0.533087	3.999	0.0398402	-0.809136	-2.39402	4.3576	-4.1458	-5.80957	-4.84486	-1.91271	-0.254803	-0.0907789	4.16491	-1.50905	0.530726	-2.23026	4.576	-4.13989	-6.56514	-6.08419	-1.8676	2.43142	0.7671	-0.338505	0.225125	1.0753	-1.64727	3.85299	-4.03063	-6.88943	-5.06362	-1.91729	2.43256	-0.585115	-3.12259	0.549167	0.932931	-2.21641	4.31536	-4.09874	-6.67099	-5.66617	-1.27151	2.09378	0.140073	-0.915033	0.854205	1.39271	-1.493035e+02	-6.771041e+02	-8.264076e+02
100	0.521833	1.06601	0.963322	0.691398	0.707685	0.5082	0.281796	0.85274	1.05511	0.834598	0.0297441	-1.52823	-6.37618	3.97327	-4.68536	-5.18584	-1.08058	-0.375824	-0.446849	3.0901	-0.0693803	0.117916	0.107387	0.161008	0.0669898	0.230273	0.341437	0.209973	0.341772	0.0728213	1.03174	1.18727	1.64077	-1.88876	3.78367	-4.61608	-6.8665	-5.07333	-1.20815	-0.655821	-0.547735	3.68745	0.0567138	1.4427	-1.58416	3.71225	-4.39136	-6.75522	-5.3067	-0.544803	-1.31772	-0.855501	4.48498	0.464638	1.82298	-2.10286	3.55528	-3.85821	-6.85774	-5.41737	-1.78923	-1.01866	-0.32296	3.4932	-1.01506	2.15796	-1.4473	4.36503	-4.77789	-6.0196	-4.82986	-1.09066	-0.222285	-0.665454	4.49859	-0.816925	-0.0917807	-1.29027	4.34557	-4.97936	-5.55237	-4.71007	-1.50953	-0.865667	-0.35261	4.37489	-0.00395737	0.9354	-1.43969	3.91354	-4.83867	-5.88419	-4.74169	-1.2224	-0.370557	-1.00577	3.84427	-0.573814	-1.16262	-0.928673	4.00464	-3.99134	-6.29075	-5.43241	-1.06645	0.0206717	-0.44211	4.50839	0.711316	-0.923484	-0.621923	4.12658	-4.08285	-5.76752	-3.9816	-0.451302	0.590306	-0.886127	3.49265	-0.187157	1.16657	-0.996851	4.10142	-3.90823	-6.10062	-4.83316	-0.757586	-0.32878	-0.290136	3.74899	-0.757745	0.442729	-2.06283	4.30956	-4.70546	-6.68267	-4.83296	-1.14388	-0.180542	-0.3392	3.20505	-1.2183	0.358458	-2.37743	3.85359	-5.26959	-6.56083	-4.3843	-2.05046	0.0112075	-0.386313	3.67103	-1.89579	2.23355	-2.12299	4.30125	-4.47632	-6.8694	-3.85964	-0.793026	-0.746131	0.126451	1.90698	-2.68848	1.84156	-1.143708e+02	-5.951753e+02	-7.095462e+02
150	0.509453	0.881875	0.940952	0.845629	0.79931	0.440933	0.0161008	0.900847	0.794801	1.02657	0.0110014	-1.92575	-6.33571	3.9387	-4.27091	-4.7288	-0.729236	-0.517441	-0.391791	4.03006	-1.33317	2.22194	0.16104	0.218494	0.17451	0.076471	0.062804	0.406681	0.154542	0.0894131	0.758434	1.19842	1.49656	-2.1715	4.08722	-4.46165	-6.43954	-4.94594	-0.742754	-0.902209	-0.511707	4.52414	-0.394324	0.373642	-2.63772	4.07782	-4.69355	-6.5967	-4.86823	-1.16927	-1.15656	-0.638888	4.32394	0.567143	1.52854	-2.10299	3.55528	-3.85821	-6.79047	-5.36098	-1.08142	-1.01866	-0.32296	3.78292	-0.511507	2.15796	-2.19792	4.46042	-3.98204	-6.57629	-4.65979	-1.20602	-0.886529	-0.0957521	4.27137	0.10954	1.6987	-2.14022	4.31613	-4.22326	-6.16152	-4.71007	-1.38831	-1.26982	-0.0287932	4.49094	0.184436	0.738894	-2.37499	3.84349	-4.42476	-6.38365	-4.72359	-0.687978	-0.402745	-0.190843	3.92009	-0.742697	0.371539	-2.46706	4.22962	-3.6563	-6.37913	-4.37103	-0.908325	-0.398789	-0.68904	3.74196	-1.12973	2.35508	-2.32051	4.5263	-3.27043	-5.5233	-3.78534	-1.15665	0.514018	-0.579151	3.30599	-0.257048	0.339149	-2.27365	4.03208	-3.71144	-6.14497	-4.60763	-1.16888	-0.433199	-0.698259	3.73116	-0.465571	0.644418	-1.87607	4.31207	-4.7337	-6.70297	-4.11402	-0.697029	-1.25693	-0.235016	3.89437	-2.77592	2.22912	-2.14065	4.28438	-4.34855	-6.80549	-4.18276	-0.553714	-0.929674	0.110131	3.27146	-2.95234	1.96817	-2.12299	4.1381	-5.21097	-6.80449	-3.85964	-1.0726	-0.741812	0.126451	1.90698	-2.49181	2.0011	-1.048152e+02	-5.548663e+02	-6.596815e+02
200	0.678352	1.13432	0.941159	0.835555	0.630126	0.469003	0.0153411	0.941805	0.850438	1.04876	0.0106099	-1.42643	-6.53709	3.61214	-4.05463	-4.41322	-0.937964	-0.597057	-0.0667422	3.89831	-3.34118	0.419849	0.150253	0.30797	0.0456173	0.158987	0.104522	0.093496	0.105211	0.130651	2.42368	4.21718	1.20728	-2.13076	3.52475	-3.90901	-6.64376	-4.79444	-0.76269	-1.34938	-0.459804	3.92403	-0.662826	1.51104	-2.76195	3.39892	-3.80038	-6.29946	-4.78999	-0.800785	-1.96939	-0.38612	3.82051	0.76909	2.18398	-2.10299	3.55528	-3.85854	-6.79047	-5.36989	-1.02109	-1.02965	-0.318718	3.81946	-0.897665	2.15796	-0.922777	3.96039	-4.22188	-6.5888	-4.33154	-1.41579	-1.31933	0.210286	4.39244	-0.710322	0.105042	-0.716925	4.10419	-4.23918	-5.86475	-4.71451	-1.53872	-1.09049	-0.0987859	4.3318	0.242549	0.653333	-0.927024	3.84342	-4.79838	-6.13984	-4.82608	-2.24003	-1.12906	0.478702	3.93077	0.341745	0.502446	-1.06772	3.77737	-3.76995	-5.87815	-4.07884	-1.12238	0.125384	-0.0940887	3.8387	-3.47888	-0.650362	-1.54764	3.55527	-3.72388	-5.46372	-3.85054	-1.03253	0.568219	0.365762	3.26734	-0.233534	-0.651506	-1.09452	4.0541	-4.31172	-6.07448	-4.42439	-0.778064	-0.294257	0.359615	3.47382	-0.594642	0.0137324	-2.05291	3.85316	-5.03565	-6.8982	-4.07048	-1.07671	-0.919361	0.285376	3.17954	-2.95137	1.89334	-2.20025	3.66266	-4.45412	-6.8079	-4.30673	-0.588774	-1.13598	0.613128	3.26179	-2.78546	1.31343	-2.12299	4.06617	-5.21097	-6.74974	-3.83597	-1.0726	-0.512472	0.111241	1.90698	-2.58564	1.93656	-1.080381e+02	-5.502611e+02	-6.582992e+02
250	0.678672	1.09015	0.894984	0.690559	0.848106	0.600906	0.0109853	1.07884	0.984465	0.925634	0.0112277	-1.7902	-6.25258	3.9333	-4.47941	-4.70601	-0.766094	-0.44468	-0.0537771	3.282	1.2196	0.415346	0.142661	0.260883	0.0421179	0.179615	0.149793	0.0756335	0.155854	0.0955499	3.17568	2.71864	2.62314	-2.14228	3.70732	-4.21459	-6.54534	-5.26483	-0.77111	-1.20041	-0.149911	2.72222	1.94703	2.41415	-2.35206	3.89258	-3.60792	-5.86901	-5.15229	-0.562696	-1.7413	-0.359458	4.30644	1.06523	2.05082	-2.10299	3.56843	-3.85781	-6.79047	-5.40174	-1.02109	-1.02965	-0.335912	3.80308	-0.601618	2.14804	-2.93658	4.32652	-4.29905	-6.54126	-5.30673	-1.247	-0.392397	0.204451	2.96008	-0.345592	0.932356	-2.31587	4.15909	-4.52379	-5.67161	-4.97864	-1.46501	-1.35051	0.265268	4.48097	0.327775	0.735873	-2.70229	4.49472	-3.97209	-6.13265	-4.6818	-1.08659	-0.399232	0.337066	4.6014	-0.167967	-1.6268	-1.62745	4.21127	-3.88224	-6.12309	-4.09333	-0.615468	-0.00497143	0.192866	2.15106	0.368562	0.132765	-1.46836	4.21172	-3.50733	-5.771	-4.01481	-0.234911	0.351405	0.571802	3.23281	-0.441499	0.346469	-1.81313	4.21391	-4.13169	-5.87957	-3.8012	-0.822766	0.160606	0.167987	3.0558	-0.998788	-0.205791	-1.93676	3.8728	-4.81606	-6.08893	-4.10635	-0.6622	-0.475314	0.1479	3.30905	-3.65861	2.39004	-1.63081	3.7589	-4.4235	-6.40248	-4.49362	-0.486909	-0.439457	-0.250035	3.16375	-2.93181	2.48567	-2.11809	4.05211	-5.25928	-6.67695	-3.83681	-1.0726	-0.512472	0.114397	1.83903	-2.58564	2.10479	-1.147344e+02	-5.581320e+02	-6.728664e+02
300	0.783723	1.10313	0.896135	0.679824	0.813704	0.352607	0.0109853	0.960787	0.767058	0.964568	0.0120138	-1.70088	-6.48684	4.01419	-5.25951	-4.2907	-0.773753	-0.40288	0.0391846	2.96139	-1.36807	0.512178	0.0815342	0.335784	0.0458108	0.207463	0.232778	0.264269	0.420303	0.0674843	0.729398	1.19458	0.465224	-1.83909	3.72036	-4.10435	-6.21272	-4.7484	-0.622678	-0.840532	-0.336984	4.41651	-1.83305	1.93457	-1.97775	3.67045	-4.45501	-5.79094	-5.34927	-1.15942	-1.60108	-0.63361	4.34022	1.23684	2.29955	-2.10289	3.56882	-3.85726	-6.78861	-5.40174	-1.02109	-1.01925	-0.335912	3.85294	-1.06872	2.14512	-2.21768	3.99564	-5.75572	-6.84707	-4.51184	-1.61064	-1.04804	0.364425	3.3946	0.595703	1.22413	-2.36509	3.87724	-5.55787	-5.87617	-4.63787	-1.76861	-1.41818	0.591014	4.43385	0.784908	0.522169	-2.30956	4.09945	-6.24271	-6.25239	-4.66018	-1.09766	-0.586678	0.0974578	4.53883	0.289962	1.6136	-1.66682	3.6697	-5.71369	-6.29205	-4.02292	-0.141708	-0.31713	0.104365	2.99304	-0.228785	0.587872	-1.62274	3.74012	-5.41119	-6.18537	-4.00827	0.577119	-0.127412	-0.217579	3.0931	-0.833503	1.3558	-2.01001	3.66955	-6.26995	-5.90237	-3.66007	-0.993393	0.367118	-0.09453	3.06982	-0.292024	0.428055	-2.02481	3.90849	-5.35479	-6.60053	-4.56405	-1.14124	-0.393527	-0.12748	2.83693	-3.2379	1.54327	-1.99591	3.84657	-5.44012	-6.53082	-4.75439	-1.07342	-1.25297	-0.199048	3.43834	-2.11767	2.09539	-2.11809	3.99853	-5.22436	-6.80873	-3.81767	-1.06628	-0.512472	0.111758	1.83903	-2.58564	2.23417	-1.092863e+02	-5.505906e+02	-6.598769e+02
350	0.706285	1.03643	0.987332	0.731239	0.706665	0.458607	0.0151545	0.798791	0.603348	0.968823	0.0106033	-1.96922	-6.42356	3.8124	-5.22807	-4.68217	-0.824855	-0.841496	-0.132182	1.96099	0.649877	2.3348	0.0619396	0.0844905	0.0511463	0.275527	0.113531	0.142104	0.145112	0.0937362	1.3242	1.69652	0.798511	-1.89927	3.8929	-4.44826	-6.85999	-5.22695	-0.300086	-1.03459	0.0395141	4.19968	-0.693292	2.13399	-1.75207	3.58108	-3.88359	-6.28701	-4.99163	-0.898812	-1.81921	-0.476119	4.41687	1.16568	2.28789	-2.10289	3.57113	-3.85726	-6.78861	-5.40174	-1.02109	-1.0205	-0.269079	3.85294	-1.06919	2.14512	-2.1689	4.09647	-5.19358	-6.17178	-4.3955	-0.752492	-1.41621	0.133624	2.68824	-0.29331	1.52333	-2.07201	3.83482	-4.57079	-6.06824	-4.45966	-0.611995	-1.58648	0.22578	4.31196	0.501529	1.44886	-2.11086	4.15332	-5.31149	-6.10103	-4.5044	-0.870997	-1.30376	-0.101878	4.00058	0.213899	1.65099	-1.95582	3.79287	-4.43817	-6.11366	-3.95476	-0.371143	-0.563845	-0.0611827	2.1798	0.486316	1.55872	-2.20377	3.36335	-4.92117	-6.47358	-3.86513	0.395719	-0.611479	-0.670581	2.928	-0.526077	1.98703	-2.19495	3.90039	-4.89749	-6.41107	-3.69692	-1.36137	-0.572975	0.105254	 3.34	-0.0380208	0.262624	-1.85069	3.73185	-5.13317	-6.65421	-4.34403	-0.726076	-0.435996	0.274998	1.48989	-1.63053	2.34505	-1.99591	3.93898	-5.89275	-6.52633	-4.44446	-0.609985	-0.60747	0.24958	3.40341	-1.51509	3.31114	-2.10623	4.01789	-5.18246	-6.80873	-3.81767	-1.06628	-0.512472	0.111758	1.83903	-2.58564	2.23417	-9.866370e+01	-5.447440e+02	-6.434077e+02
400	0.437611	1.07323	0.939341	0.727682	0.717337	0.433421	0.0102575	0.973158	0.821707	1.09458	0.0126899	-2.31257	-6.5303	  3.9	-4.19652	-4.20878	-0.17265	-1.24433	-0.037365	2.14549	0.146158	-0.443607	0.065813	0.202608	0.139981	0.150203	0.164595	0.167701	0.0848717	0.0738987	1.96727	2.26514	2.46704	-2.31123	3.74724	-3.96383	-6.70588	-4.48934	-0.693806	-1.53146	-0.285498	3.71137	0.466952	1.64812	-2.67685	3.9261	-4.45914	-6.38384	-4.91978	-0.92409	-1.91219	-0.495725	4.42182	1.09835	2.15669	-2.1033	3.57253	-3.85726	-6.7884	-5.40174	-1.02109	-1.0205	-0.269079	3.85294	-1.0895	2.14512	-2.28832	3.84109	-3.75415	-6.2892	-4.19811	-0.335233	-1.47778	0.21038	4.57821	0.26596	0.165544	-2.44355	4.52346	-4.18945	-5.90669	-4.12496	-0.363262	-1.46829	0.248438	4.0953	-0.0539951	1.32155	-2.49432	4.02942	-3.57349	-5.87836	-4.6749	-0.0492901	-1.82352	0.463213	4.06378	0.370904	0.149882	-2.28003	4.15207	-4.87836	-6.77488	-4.34934	-0.421973	-1.19564	0.0904669	3.03469	-0.338692	-0.827396	-1.86324	4.43609	-4.92899	-5.99137	-4.25505	-0.268427	-0.775156	0.163795	2.79457	-0.450959	-2.65135	-2.35735	3.99887	-5.13103	-6.50225	-4.00871	-1.52182	-0.718163	0.0878095	3.626	0.00690607	0.00246011	-2.22443	3.98638	-4.532	-6.72451	-4.00281	-0.271233	-0.525531	-0.196168	1.88571	-1.52787	2.09951	-1.99053	3.99724	-4.11225	-6.54704	-4.11915	-0.159779	-0.883922	-0.556872	3.42391	-0.306027	2.53818	-2.11437	4.01789	-5.27728	-6.87069	-3.81767	-1.06628	-0.618884	0.11701	1.83345	-2.58564	2.23417	-1.017109e+02	-5.398368e+02	-6.415477e+02
450	0.534002	1.07068	0.928829	0.755635	0.84001	0.457279	0.0102575	0.76459	0.720426	0.996833	0.0101251	-2.68815	-6.87124	3.9123	-4.31153	-4.01484	-0.464108	-1.64304	-0.120141	2.91437	-0.190946	2.52667	0.189358	0.0880932	0.116954	0.192943	0.395025	0.0895113	0.385754	0.113376	3.49912	1.58787	3.70735	-2.34464	4.0893	-4.20916	-6.80936	-5.49632	-0.46332	-1.57254	-0.199917	3.81493	0.385484	3.12567	-2.64601	4.08987	-3.81861	-6.27829	-4.52732	-0.266075	-2.1629	-0.212243	4.35577	1.32056	2.2273	-2.10276	3.57254	-3.85726	-6.7884	-5.40174	-1.02109	-1.0205	-0.269079	3.78396	-1.11996	2.14433	-2.68746	3.90081	-4.33166	-6.36673	-4.33078	-0.448315	-2.00176	-0.0630529	4.32898	-0.592785	-0.481462	-3.34003	4.23351	-4.96604	-6.06682	-4.16837	-0.439321	-1.89902	0.324006	3.78946	-0.00847505	1.18358	-2.41362	4.05263	-3.92818	-6.09667	-5.02625	-0.347779	-2.10585	-0.161052	4.22736	0.314214	0.671498	-2.59034	4.14109	-4.69565	-6.52782	-4.27892	-0.245326	-0.972324	-0.620249	3.57015	0.517761	1.53822	-2.60009	4.01996	-4.70961	-6.2777	-4.26154	-0.468202	-1.78321	-0.855107	2.95444	-0.0762666	0.0352566	-3.48871	4.08859	-4.97352	-6.38542	-4.61048	-0.596002	-1.06863	-0.375579	3.4961	-0.633053	0.523127	-2.24619	4.17092	-5.30373	-6.84362	-3.94417	-0.372273	-0.548819	0.237089	2.68131	-0.384475	1.10344	-2.42013	4.12318	-5.52619	-6.57029	-4.21229	-0.0685272	0.295548	-0.203265	4.01139	-0.626573	2.33138	-2.10918	4.0221	-5.26405	-6.87069	-3.81767	-1.06933	-0.502397	0.116738	1.83345	-2.58564	2.17682	-1.164682e+02	-5.411127e+02	-6.575809e+02
