Level	Simulation	Output_Var	Time	Data	Prediction
1_1_1	1	CDCVGmol	1	3.55029e-06	3.46226e-05
1_1_1	1	CDCVGmol	2	2.08633e-06	3.44618e-05
1_1_1	1	CDCVGmol	6	-1	1.18811e-05
1_1_1	1	CDCVGmol	12	-1	2.01226e-06
1_1_1	1	CDCVGmol	24	-1	1.29659e-07
1_1_1	1	CDCVGmol	36	-1	9.47719e-09

1_1_1	1	CLivDCVGmol	1	6.01775e-05	3.68716e-05
1_1_1	1	CLivDCVGmol	2	3.70485e-07	3.32886e-05
1_1_1	1	CLivDCVGmol	6	-1	1.06398e-05
1_1_1	1	CLivDCVGmol	12	-1	1.85904e-06
1_1_1	1	CLivDCVGmol	24	-1	1.21069e-07
1_1_1	1	CLivDCVGmol	36	-1	8.85493e-09

1_1_1	1	CKidDCVGmol	1	5.31195e-05	3.45893e-05
1_1_1	1	CKidDCVGmol	2	1.75953e-05	3.448e-05
1_1_1	1	CKidDCVGmol	6	3.8299e-06	1.19001e-05
1_1_1	1	CKidDCVGmol	12	-1	2.01461e-06
1_1_1	1	CKidDCVGmol	24	-1	1.29791e-07
1_1_1	1	CKidDCVGmol	36	-1	9.48675e-09

1_1_1	1	CBrnDCVGmol	1	3.73629e-05	3.45132e-05
1_1_1	1	CBrnDCVGmol	2	-1	3.45188e-05
1_1_1	1	CBrnDCVGmol	6	4.35453e-06	1.19414e-05
1_1_1	1	CBrnDCVGmol	12	-1	2.01971e-06
1_1_1	1	CBrnDCVGmol	24	-1	1.30077e-07
1_1_1	1	CBrnDCVGmol	36	-1	9.50746e-09

1_1_1	1	CDCVCmol	1	1.01056e-05	3.8462e-06
1_1_1	1	CDCVCmol	2	-1	8.44373e-06
1_1_1	1	CDCVCmol	6	-1	1.96694e-05
1_1_1	1	CDCVCmol	12	-1	2.34469e-05
1_1_1	1	CDCVCmol	24	-1	2.43527e-05
1_1_1	1	CDCVCmol	36	-1	2.43457e-05

1_1_1	1	CKidDCVCmol	1	6.3405e-06	3.81651e-06
1_1_1	1	CKidDCVCmol	2	3.05308e-06	8.40667e-06
1_1_1	1	CKidDCVCmol	6	-1	1.96233e-05
1_1_1	1	CKidDCVCmol	12	-1	2.33986e-05
1_1_1	1	CKidDCVCmol	24	-1	2.43036e-05
1_1_1	1	CKidDCVCmol	36	-1	2.42967e-05

1_1_1	1	CBrnDCVCmol	1	5.94568e-06	3.77658e-06
1_1_1	1	CBrnDCVCmol	2	-1	8.37996e-06
1_1_1	1	CBrnDCVCmol	6	-1	1.96486e-05
1_1_1	1	CBrnDCVCmol	12	-1	2.34434e-05
1_1_1	1	CBrnDCVCmol	24	-1	2.43525e-05
1_1_1	1	CBrnDCVCmol	36	-1	2.43457e-05

1_1_1	1	CNDCVCmol	1	6.4727e-06	6.37155e-06
1_1_1	1	CNDCVCmol	2	5.73768e-06	1.02917e-05
1_1_1	1	CNDCVCmol	6	-1	6.96134e-06
1_1_1	1	CNDCVCmol	12	-1	2.14946e-06
