iter	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnkDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkNDCVC(1)	V_lnkDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkNDCVC(1)	lnkDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkNDCVC(1.1)	lnkDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkNDCVC(1.2)	lnkDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkNDCVC(1.3)	lnkDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkNDCVC(1.4)	LnPrior	LnData	LnPosterior
0	0.112312	0.12966	0.0273855	0.716914	0.265037	0.1794	0.0395245	0.0196719	2.5234	0.0816333	0.039726	2.63194	-0.686567	-0.868448	0.195264	0.284094	3.6155	3.37633	-0.972686	-1.6403	1.831	-0.0593109	0.668034	3.04085	-0.0910936	2.84071	2.74017	0.195002	1.94818	-1.436885e+01	-1.147734e+05	-1.147878e+05
100	1.00573	1.10078	0.570116	0.730212	0.632954	0.720182	0.90446	0.428305	0.434626	0.939163	0.492735	-2.04932	1.02647	0.821125	0.117118	0.189495	2.44017	-2.006	1.13915	0.972137	-1.7645	0.806509	1.0934	-2.16854	1.64903	0.303222	-1.71418	1.22659	-1.68836	-2.270553e+01	-3.372079e+02	-3.599135e+02
200	1.05984	1.03669	0.720501	0.739913	0.521558	0.941587	0.751352	0.381843	0.438739	0.697371	0.697157	-1.78637	1.25725	-0.77635	0.083996	0.0707469	2.77617	-2.17897	1.2463	0.573285	-1.78584	1.10986	0.484463	-1.8537	1.9474	0.899719	-1.67629	1.24863	-1.34767	-2.226378e+01	-3.344772e+02	-3.567410e+02
300	0.982826	0.934789	0.800342	0.442321	0.703666	0.72704	0.652845	0.211268	0.281148	1.02778	0.427341	-1.47032	0.992524	2.08283	0.141804	0.246759	1.27703	-1.95533	0.260477	2.06023	-1.45008	0.706421	1.63552	-1.93834	1.29422	1.50916	-1.49793	0.268787	0.23778	-2.303658e+01	-3.431720e+02	-3.662086e+02
400	1.10054	0.943059	0.717187	0.786248	0.60209	0.841876	0.836248	0.411452	0.403133	0.596189	0.837647	-1.5848	0.0220665	1.25931	0.0824793	0.414761	1.41311	-1.97731	0.943072	1.12469	-1.73537	0.144695	1.38881	-2.18895	0.0397546	2.57717	-1.34978	-0.476504	0.71423	-2.621545e+01	-3.379247e+02	-3.641402e+02
500	1.02406	1.09462	0.747688	0.696893	0.835495	0.824851	0.61556	0.430647	0.421176	0.76258	0.667784	-1.92875	0.374292	3.18019	0.123007	0.388649	2.53167	-1.77269	-0.0636043	2.06796	-1.62142	0.00650547	1.99096	-1.56234	-0.0724027	3.22376	-1.58556	0.527157	1.54566	-2.514553e+01	-3.383835e+02	-3.635290e+02
600	0.910884	1.07591	0.742982	0.940253	0.663606	0.789611	0.596117	0.300938	0.442704	0.810867	0.661604	-2.25212	-0.377925	1.74458	0.203487	0.0982335	2.40722	-2.48267	-0.20419	1.75035	-1.67472	-1.13685	2.85387	-2.82849	-0.0750261	2.39523	-1.52955	0.103131	2.1625	-2.695301e+01	-3.367624e+02	-3.637154e+02
700	1.18642	1.06728	0.727059	0.664777	0.558693	0.845696	0.69319	0.902412	0.476534	0.811395	0.464775	-1.89234	-0.885726	3.33606	0.125729	3.40837	2.27515	-2.22399	-0.944838	2.80834	-1.75687	-1.64411	3.54491	-2.43853	-0.95364	3.19623	-1.8493	-0.172343	0.117121	-3.677581e+01	-3.382214e+02	-3.749972e+02
800	1.01441	0.973656	0.553992	0.749583	0.67911	0.977591	0.614353	0.538712	0.606986	0.969599	0.897054	-2.23357	-1.96637	3.297	0.142823	0.254665	0.893627	-2.6114	-2.17722	3.11085	-1.47046	-1.74711	3.23395	-2.61286	-1.98074	3.52133	-1.92711	-0.816763	3.44842	-2.608163e+01	-3.430537e+02	-3.691354e+02
900	1.23516	1.01001	0.614487	0.852129	0.507915	0.885965	0.693915	0.542654	0.514084	0.890193	0.415802	-2.76926	-1.45957	1.1274	1.31473	0.258803	25.6646	-3.09051	-1.08418	2.57383	-0.95221	-1.86318	4.29378	-3.33677	-1.03505	-2.86885	-1.7527	-1.99898	-2.34667	-4.360869e+01	-3.387456e+02	-3.823543e+02
