iter	Ve_TotCTCOHmol(1)	Ve_TotLivTCOHmol(1)	Ve_TotBrnTCOHmol(1)	Ve_CPlasTCAmol(1)	Ve_CLivTCAmol(1)	Ve_CKidTCAmol(1)	Ve_CBrnTCAmol(1)	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnkDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkNDCVC(1)	V_lnkDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkNDCVC(1)	lnkDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkNDCVC(1.1)	lnkDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkNDCVC(1.2)	lnkDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkNDCVC(1.3)	lnkDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkNDCVC(1.4)	lnkDCVCC(1.5)	lnkElimNDCVCC(1.5)	lnISkNDCVC(1.5)	lnkDCVCC(1.6)	lnkElimNDCVCC(1.6)	lnISkNDCVC(1.6)	lnkDCVCC(1.7)	lnkElimNDCVCC(1.7)	lnISkNDCVC(1.7)	lnkDCVCC(1.8)	lnkElimNDCVCC(1.8)	lnISkNDCVC(1.8)	lnkDCVCC(1.9)	lnkElimNDCVCC(1.9)	lnISkNDCVC(1.9)	lnkDCVCC(1.10)	lnkElimNDCVCC(1.10)	lnISkNDCVC(1.10)	lnkDCVCC(1.11)	lnkElimNDCVCC(1.11)	lnISkNDCVC(1.11)	lnkDCVCC(1.12)	lnkElimNDCVCC(1.12)	lnISkNDCVC(1.12)	lnkDCVCC(1.13)	lnkElimNDCVCC(1.13)	lnISkNDCVC(1.13)	lnkDCVCC(1.14)	lnkElimNDCVCC(1.14)	lnISkNDCVC(1.14)	lnkDCVCC(1.15)	lnkElimNDCVCC(1.15)	lnISkNDCVC(1.15)	lnkDCVCC(1.16)	lnkElimNDCVCC(1.16)	lnISkNDCVC(1.16)	lnkDCVCC(1.17)	lnkElimNDCVCC(1.17)	lnISkNDCVC(1.17)	lnkDCVCC(1.18)	lnkElimNDCVCC(1.18)	lnISkNDCVC(1.18)	lnkDCVCC(1.19)	lnkElimNDCVCC(1.19)	lnISkNDCVC(1.19)	lnkDCVCC(1.20)	lnkElimNDCVCC(1.20)	lnISkNDCVC(1.20)	lnkDCVCC(1.21)	lnkElimNDCVCC(1.21)	lnISkNDCVC(1.21)	LnPrior	LnData	LnPosterior
0	1.69898	1.83879	0.0157389	0.171717	0.0921356	3.12513	0.0325135	0.165705	0.0282	0.523446	0.533597	0.353454	0.570913	0.0451191	0.998556	0.273102	0.0228502	0.0102656	4.24022	-6.15915	0.817917	0.157759	0.0630428	3.25758	4.09121	-5.92683	-0.254446	4.24798	-6.13512	0.504629	3.16241	-6.48429	1.6018	4.3046	-5.98538	3.1528	4.11057	-6.19053	-0.969049	3.79305	-6.2665	1.75165	4.12184	-6.30134	3.51454	4.40518	-6.15346	-0.745078	3.84786	-6.31041	0.598921	3.49198	-6.38909	1.4289	4.53175	-5.85979	-0.0233291	4.30901	-6.30787	-0.827944	3.64057	-6.43729	-2.19405	3.74551	-6.05319	-0.308497	4.23005	-6.00782	0.182507	3.73461	-5.95075	-1.01013	3.9398	-6.09871	1.35712	4.15831	-6.25119	-1.10709	3.77954	-6.41422	0.899023	4.14554	-6.41691	-0.260917	3.16256	-6.34179	1.18709	-4.099859e+01	-6.214888e+05	-6.215298e+05
100	0.577218	0.6944	1.35355	1.38653	1.49297	2.55436	3.29953	1.13717	1.11255	0.55307	0.41774	1.05559	1.18612	0.764914	1.3726	1.21192	1.40023	1.41174	4.56333	-7.01206	1.87203	0.0802469	0.33222	1.88977	4.32634	-7.55933	2.2107	4.44449	-7.06742	1.24192	4.25277	-7.835	0.194525	4.41951	-6.83463	2.85961	4.52176	-7.1085	2.49639	4.42874	-6.85039	1.21378	4.59057	-6.52485	0.246508	4.52939	-6.1138	3.05086	4.36958	-7.41722	1.54636	4.34439	-6.14282	4.18625	4.25192	-6.38812	1.84442	4.5393	-7.18701	1.31581	4.40556	-7.78187	1.43337	4.51003	-7.52732	2.02988	4.58251	-7.0008	4.05057	4.25234	-7.02031	1.16582	4.38063	-7.45165	1.45371	4.43281	-6.82851	0.379659	4.29481	-6.24452	0.68671	4.34596	-6.45216	0.43208	4.50106	-6.22746	3.2051	-6.407659e+01	-1.643547e+03	-1.707624e+03
200	0.277797	1.906	1.06519	2.98752	1.51813	2.05561	3.18419	1.14312	1.22822	0.630437	0.640895	1.05181	0.929293	1.198	1.57897	1.42447	1.23802	1.3525	4.54869	-8.5922	3.26438	0.100502	0.234435	1.43562	4.29826	-8.9687	3.66629	4.26034	-8.75499	3.32889	4.57759	-9.14354	3.40924	4.52506	-8.72505	4.01237	4.38857	-8.622	2.38289	4.21599	-8.09567	2.76049	4.06802	-8.45311	3.63218	4.49864	-8.3142	2.77549	4.31051	-8.16898	2.12297	4.45161	-8.74312	4.23718	4.17095	-7.67407	1.98204	4.38639	-8.13736	2.86292	4.48102	-7.88074	3.57847	4.23998	-9.00515	1.3214	4.37387	-9.15354	3.24524	4.56322	-8.67692	2.47101	4.12739	-8.48296	3.65109	4.42193	-8.69155	3.41492	4.4644	-8.70508	4.0681	4.30697	-7.72389	3.51988	4.40805	-8.4418	3.07914	-5.369352e+01	-1.648148e+03	-1.701841e+03
300	1.35936	0.539951	1.305	1.91808	1.27619	2.23093	2.83619	1.13614	1.08433	0.631551	0.64114	1.0213	0.891352	0.660978	0.979616	1.32424	1.27794	1.37672	4.59122	-8.94192	4.25771	0.10466	0.130648	4.19778	4.29675	-8.86912	2.16257	4.26022	-9.04726	1.18536	4.08904	-8.56364	2.17227	4.3577	-8.62554	3.75875	4.05339	-8.52564	2.21518	4.55025	-8.91921	1.17705	4.41921	-8.15179	2.10344	4.55714	-8.5402	4.23048	4.40444	-8.7686	4.23494	4.48415	-9.09719	1.90855	4.5828	-8.93409	0.161532	4.60167	-8.84513	3.32799	4.55225	-8.69243	2.31598	4.57795	-8.16629	2.88213	4.54034	-8.93533	4.51814	4.0242	-8.93464	1.66937	4.59994	-8.37846	3.37662	4.59417	-8.2875	4.08624	4.53793	-9.14026	4.00808	4.55412	-8.49639	4.15781	4.46787	-8.70941	1.12334	-5.293630e+01	-1.641959e+03	-1.694896e+03
400	1.71272	0.545218	1.12096	2.27988	0.98035	2.98952	2.63904	1.13272	0.953756	0.735028	0.736254	1.02929	0.951695	1.05104	1.50363	1.17735	1.30804	1.60345	4.58577	-8.66142	3.71753	0.0474844	0.2665	3.80185	4.49962	-8.20737	-1.15936	4.40905	-8.36054	3.99022	4.4438	-7.36401	1.90144	4.44245	-8.8041	-1.4625	4.38725	-7.60179	4.02208	4.47082	-8.84506	2.75781	4.4891	-8.65423	3.51938	4.24299	-8.73811	3.60236	4.59076	-7.99002	4.12854	4.53511	-8.85587	2.98426	4.55443	-8.75024	4.45672	4.53018	-8.2615	4.29782	4.44452	-8.76377	3.35688	4.51949	-8.63	2.08384	4.5779	-8.58726	3.12236	4.52576	-8.61802	3.58566	4.54656	-8.50485	4.09771	4.47411	-8.33376	1.36278	4.42897	-8.98007	0.418042	4.54796	-7.89364	3.02408	4.54106	-7.95992	4.57868	-5.728860e+01	-1.638203e+03	-1.695492e+03
500	0.973153	1.45845	1.23812	2.64642	1.3364	2.65167	2.31211	1.17363	1.1336	0.622496	0.850118	0.995903	1.0134	0.913077	1.22243	1.2715	1.12761	1.61405	4.58203	-8.82866	-0.609603	0.0925456	0.387007	2.35586	4.56121	-8.77649	-0.392106	4.11839	-8.955	-2.28226	4.42959	-7.42336	-1.33111	4.54126	-8.58139	0.406112	4.48291	-8.82018	-1.18044	4.38575	-8.97256	-0.913582	4.56454	-8.14982	-0.0105399	4.24316	-8.40728	-2.47903	4.56084	-8.77628	3.11866	4.35692	-8.52021	0.267892	4.44678	-8.70892	0.55805	4.13204	-8.21067	1.32657	4.19733	-8.15758	-0.214119	4.1928	-8.82173	-0.466239	4.53043	-8.61316	-2.22175	4.23797	-9.18788	3.07806	4.16778	-8.90553	2.1356	4.57946	-8.59547	-1.07743	4.52462	-8.0698	-0.127257	4.51692	-8.89707	0.845899	4.11315	-9.09243	0.237605	-6.972252e+01	-1.640533e+03	-1.710255e+03
600	1.17927	1.49038	0.780515	2.41054	1.19774	2.67561	2.75037	1.16595	1.10576	0.649327	0.907465	1.05892	1.15018	0.849712	1.33826	1.37861	1.402	1.59657	4.30444	-7.92369	1.28249	0.0762709	0.119678	3.59799	4.14917	-8.18645	1.69928	4.11586	-8.32681	-0.0409474	4.41659	-7.72317	2.46615	4.26231	-8.02066	1.80599	4.3987	-7.46394	0.651597	4.55923	-8.07697	3.71531	4.5858	-8.22369	-0.860775	3.87047	-8.21835	1.68671	4.37927	-7.38272	-0.326797	4.46927	-8.41839	1.68385	4.41695	-7.83763	-2.32156	4.37943	-7.89863	1.8589	4.59611	-8.14501	-0.486406	3.77016	-7.7618	3.10068	4.5757	-7.86702	2.35873	4.29055	-7.74011	1.05314	4.39477	-8.25998	1.8856	4.30091	-7.06368	1.37497	4.06239	-7.44632	2.75189	3.94593	-7.90768	3.46125	4.03021	-8.09979	-2.38251	-7.536297e+01	-1.641280e+03	-1.716643e+03
700	0.549985	0.55158	2.68299	2.74739	0.908684	3.24494	2.76628	1.14533	1.17117	0.768447	0.551395	1.0091	1.02988	1.47308	1.42564	1.33347	1.12691	1.48358	4.44667	-8.8076	-1.76608	0.0430515	0.0535532	1.99753	4.37446	-8.62675	-1.32578	4.45806	-8.87168	-1.66553	4.34767	-8.73284	-2.48409	4.38049	-8.86169	-1.57248	4.5121	-8.71817	-1.01698	4.42948	-8.71176	0.245153	4.26012	-9.00333	-0.0185265	4.5558	-8.81738	-2.49078	4.46569	-8.71794	-1.56743	4.37692	-8.76999	-2.43305	4.5179	-9.04902	-2.90676	4.41242	-8.73927	-3.38292	4.51972	-8.67601	-4.59135	4.45453	-8.99973	-2.65798	4.60498	-8.8572	-1.34254	4.34233	-8.85803	-2.33706	4.3572	-8.85928	-1.1117	4.57891	-9.08069	-4.59307	4.47578	-8.49508	-2.58586	4.43524	-8.3747	-1.58879	4.35926	-8.84437	-2.77613	-4.193763e+01	-1.642134e+03	-1.684072e+03
800	1.12453	1.38339	1.30972	2.28854	1.07867	2.56169	2.81098	1.14983	1.00443	0.727325	0.773957	0.974906	1.17692	1.0495	1.3176	1.25676	1.20646	1.52766	4.5215	-9.12829	-2.83438	0.185712	0.319986	1.84703	4.54112	-9.03336	-2.12875	4.03862	-8.89638	-3.44873	4.59811	-8.90861	-2.40118	3.60214	-9.03432	-4.35509	4.38961	-8.74579	-2.19795	4.57956	-8.80782	-4.29304	4.1267	-8.88234	-3.68089	4.13679	-8.95922	-0.574665	4.25833	-9.14342	-4.50451	4.5716	-9.05031	-2.60263	4.56541	-8.28567	-0.399264	4.40546	-7.85456	-2.81485	4.40718	-8.43981	-0.877704	4.54572	-7.89606	-3.16325	4.53962	-8.85956	-2.51993	4.44547	-9.1897	-1.886	3.88703	-7.66884	-3.64408	4.54248	-7.89783	-2.26463	4.02165	-8.11049	-2.26628	4.32152	-8.5424	-3.52117	4.39913	-9.02493	-1.22741	-7.045875e+01	-1.637908e+03	-1.708366e+03
900	0.633218	0.832853	1.22035	2.95695	1.10438	2.61616	2.47799	1.18638	1.11953	0.687348	0.563163	1.02375	1.02034	0.81699	1.20338	1.41407	1.11655	1.39608	4.48861	-8.27948	1.85113	0.138369	0.190072	9.68166	4.31112	-7.58736	3.86793	4.29436	-7.99182	0.468752	3.66079	-8.83909	2.78376	4.17743	-8.5366	-0.724016	3.70773	-8.28126	3.43222	4.36608	-8.55043	-0.796326	4.556	-8.2666	0.370382	4.45878	-8.5265	2.26098	4.56136	-8.86423	2.16867	4.56286	-8.40198	-1.52023	4.58287	-8.46019	2.331	4.45054	-8.40364	4.00006	4.23929	-8.09976	3.37174	4.1469	-8.60978	4.12258	4.51983	-7.63457	-2.76494	4.18479	-8.6207	-0.330904	4.49222	-8.97375	0.950225	4.38113	-8.28133	2.79745	3.87151	-7.53468	0.00215494	4.21733	-8.06429	-1.42652	4.3258	-8.02472	0.675618	-8.231014e+01	-1.641276e+03	-1.723586e+03
