iter	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnkDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkNDCVC(1)	V_lnkDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkNDCVC(1)	lnkDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkNDCVC(1.1)	lnkDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkNDCVC(1.2)	lnkDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkNDCVC(1.3)	lnkDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkNDCVC(1.4)	LnPrior	LnData	LnPosterior
0	1.15787	0.0119444	2.47586	0.0419655	1.08717	0.0967138	0.226037	2.5853	0.330913	0.374908	0.101524	-6.37824	-8.50833	1.28862	1.80032	0.0858373	1.26846	-6.31219	-8.67732	1.93616	-7.51199	-8.74682	2.05766	-6.80925	-8.24823	-2.75755	-5.44103	-8.35456	1.63743	-2.620711e+01	-2.300480e+04	-2.303101e+04
100	1.04742	1.16162	0.534846	0.768764	0.473482	0.719543	0.644391	0.715029	0.739859	0.785311	0.747548	-3.89013	-7.87733	-4.31455	0.230533	0.184517	5.28483	-3.81267	-7.96113	-4.53581	-3.26987	-7.82989	-0.0556368	-4.01423	-7.41287	-2.93891	-3.6538	-7.84493	-2.83145	-2.635278e+01	-3.537004e+02	-3.800531e+02
200	0.997865	0.864013	0.625637	0.762871	0.56828	0.745479	0.620038	0.501905	0.708662	0.840791	0.84151	-3.34557	-6.71347	4.21853	1.5422	0.418818	8.54664	-3.61808	-7.33335	3.45082	-2.23435	-6.00183	0.762777	-2.55975	-6.73086	1.82181	-1.51535	-7.76821	-0.0451743	-4.299440e+01	-3.498333e+02	-3.928277e+02
300	1.03513	1.05933	0.631956	0.84014	0.542691	0.750785	0.815238	0.678066	0.561813	0.855742	0.923438	-2.90869	-8.14521	1.46277	0.213972	0.212076	6.14472	-2.99534	-7.73328	1.07798	-2.21957	-8.17983	2.54654	-2.96627	-8.68151	2.61227	-2.81208	-7.58361	2.40288	-2.920396e+01	-3.440335e+02	-3.732374e+02
400	1.03403	1.01511	0.592862	0.741478	0.927127	0.694761	0.758323	0.550885	0.450148	0.824716	1.04032	-2.24154	-6.98155	3.75283	0.137291	0.308147	19.6634	-2.52968	-8.47901	-3.93045	-1.94393	-6.55308	2.49176	-2.73957	-6.94851	-4.24895	-2.14441	-7.27216	-1.07156	-3.876546e+01	-3.486650e+02	-3.874305e+02
500	0.95296	1.06148	0.549425	0.507609	0.565025	0.86882	0.647007	0.655365	0.570263	0.716185	0.950616	-2.02434	-8.62849	-2.5616	0.139626	0.197845	2.86185	-2.5133	-8.59146	-3.09604	-1.97559	-8.94704	-1.54341	-2.28661	-9.05806	-3.14309	-1.58088	-7.80934	-1.24376	-2.465106e+01	-3.482726e+02	-3.729236e+02
600	1.02202	1.02665	0.770776	0.558316	0.529422	0.9201	0.592725	0.495993	0.661995	0.67928	1.36408	-2.898	-5.8277	0.523338	0.119305	0.230903	3.0587	-2.81598	-6.51576	-2.49939	-2.55392	-4.97489	-0.621541	-3.20061	-5.6855	2.84013	-2.56289	-5.59469	3.81102	-3.008131e+01	-3.490477e+02	-3.791290e+02
700	1.18372	0.980171	0.701992	0.740277	0.531238	0.814056	0.79233	0.355893	0.794036	0.848912	0.919346	-2.70837	-4.79611	-3.25984	0.0888742	0.160191	1.87436	-2.73589	-4.55687	-3.2347	-2.77356	-4.73897	-3.81149	-3.26577	-4.84713	-2.85344	-2.51867	-5.26301	-4.26237	-2.080257e+01	-3.483148e+02	-3.691174e+02
800	1.06953	1.12252	0.677271	0.669014	0.594098	0.694857	0.51655	0.691205	0.700569	0.763088	0.83925	-2.09837	-4.33227	-3.73655	0.184367	0.148929	3.12363	-2.339	-3.99328	-3.31361	-2.05329	-3.83156	-4.33754	-2.3275	-4.7354	-3.91094	-1.2377	-3.85543	-2.18776	-2.524929e+01	-3.494726e+02	-3.747219e+02
900	1.19495	1.19682	0.655274	0.562213	0.658841	0.793525	0.708552	0.562725	0.911873	0.796746	1.10523	-2.64235	-4.0028	-1.02415	0.099293	0.716301	4.87519	-3.09954	-4.85474	2.15422	-2.4721	-3.08756	-1.33245	-2.89498	-4.32216	-0.543892	-2.48696	-4.14252	0.936209	-3.290589e+01	-3.491053e+02	-3.820112e+02
