iter	Ve_TotCTCOHmol(1)	Ve_TotLivTCOHmol(1)	Ve_TotBrnTCOHmol(1)	Ve_CPlasTCAmol(1)	Ve_CLivTCAmol(1)	Ve_CKidTCAmol(1)	Ve_CBrnTCAmol(1)	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnPBrnC(1)	M_lnPKidTCAC(1)	M_lnPBrnTCAC(1)	M_lnPKidTCOHC(1)	M_lnPBrnTCOHC(1)	M_lnPKidTCOGC(1)	M_lnPBrnTCOGC(1)	M_lnPLivDCVGC(1)	M_lnPKidDCVGC(1)	M_lnPBrnDCVGC(1)	M_lnPBodDCVGC(1)	M_lnPLivDCVCC(1)	M_lnPKidDCVCC(1)	M_lnPBrnDCVCC(1)	M_lnPBodDCVCC(1)	M_lnPLivNDCVCC(1)	M_lnPKidNDCVCC(1)	M_lnPBrnNDCVCC(1)	M_lnPBodNDCVCC(1)	M_lnkDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkNDCVC(1)	V_lnPBrnC(1)	V_lnPKidTCAC(1)	V_lnPBrnTCAC(1)	V_lnPKidTCOHC(1)	V_lnPBrnTCOHC(1)	V_lnPKidTCOGC(1)	V_lnPBrnTCOGC(1)	V_lnPLivDCVGC(1)	V_lnPKidDCVGC(1)	V_lnPBrnDCVGC(1)	V_lnPBodDCVGC(1)	V_lnPLivDCVCC(1)	V_lnPKidDCVCC(1)	V_lnPBrnDCVCC(1)	V_lnPBodDCVCC(1)	V_lnPLivNDCVCC(1)	V_lnPKidNDCVCC(1)	V_lnPBrnNDCVCC(1)	V_lnPBodNDCVCC(1)	V_lnkDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkNDCVC(1)	lnkDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkNDCVC(1.1)	lnPBrnC(1.1)	lnPKidTCAC(1.1)	lnPBrnTCAC(1.1)	lnPKidTCOHC(1.1)	lnPBrnTCOHC(1.1)	lnPKidTCOGC(1.1)	lnPBrnTCOGC(1.1)	lnPLivDCVGC(1.1)	lnPKidDCVGC(1.1)	lnPBrnDCVGC(1.1)	lnPBodDCVGC(1.1)	lnPLivDCVCC(1.1)	lnPKidDCVCC(1.1)	lnPBrnDCVCC(1.1)	lnPBodDCVCC(1.1)	lnPLivNDCVCC(1.1)	lnPKidNDCVCC(1.1)	lnPBrnNDCVCC(1.1)	lnPBodNDCVCC(1.1)	lnkDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkNDCVC(1.2)	lnPBrnC(1.2)	lnPKidTCAC(1.2)	lnPBrnTCAC(1.2)	lnPKidTCOHC(1.2)	lnPBrnTCOHC(1.2)	lnPKidTCOGC(1.2)	lnPBrnTCOGC(1.2)	lnPLivDCVGC(1.2)	lnPKidDCVGC(1.2)	lnPBrnDCVGC(1.2)	lnPBodDCVGC(1.2)	lnPLivDCVCC(1.2)	lnPKidDCVCC(1.2)	lnPBrnDCVCC(1.2)	lnPBodDCVCC(1.2)	lnPLivNDCVCC(1.2)	lnPKidNDCVCC(1.2)	lnPBrnNDCVCC(1.2)	lnPBodNDCVCC(1.2)	lnkDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkNDCVC(1.3)	lnPBrnC(1.3)	lnPKidTCAC(1.3)	lnPBrnTCAC(1.3)	lnPKidTCOHC(1.3)	lnPBrnTCOHC(1.3)	lnPKidTCOGC(1.3)	lnPBrnTCOGC(1.3)	lnPLivDCVGC(1.3)	lnPKidDCVGC(1.3)	lnPBrnDCVGC(1.3)	lnPBodDCVGC(1.3)	lnPLivDCVCC(1.3)	lnPKidDCVCC(1.3)	lnPBrnDCVCC(1.3)	lnPBodDCVCC(1.3)	lnPLivNDCVCC(1.3)	lnPKidNDCVCC(1.3)	lnPBrnNDCVCC(1.3)	lnPBodNDCVCC(1.3)	lnkDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkNDCVC(1.4)	lnPBrnC(1.4)	lnPKidTCAC(1.4)	lnPBrnTCAC(1.4)	lnPKidTCOHC(1.4)	lnPBrnTCOHC(1.4)	lnPKidTCOGC(1.4)	lnPBrnTCOGC(1.4)	lnPLivDCVGC(1.4)	lnPKidDCVGC(1.4)	lnPBrnDCVGC(1.4)	lnPBodDCVGC(1.4)	lnPLivDCVCC(1.4)	lnPKidDCVCC(1.4)	lnPBrnDCVCC(1.4)	lnPBodDCVCC(1.4)	lnPLivNDCVCC(1.4)	lnPKidNDCVCC(1.4)	lnPBrnNDCVCC(1.4)	lnPBodNDCVCC(1.4)	LnPrior	LnData	LnPosterior
0	0.122623	0.13717	0.0866622	0.175495	0.142687	0.401164	0.277901	0.590599	0.219061	0.0172354	0.668227	0.411728	0.971526	0.0124194	2.66197	0.0583928	0.0329432	0.041049	0.354402	-0.577377	-0.153251	-0.730795	-0.262803	1.17125	3.43537	0.0997113	-0.345813	-0.231369	0.0250276	-0.0895691	0.275538	-0.343881	0.0724301	0.573298	-0.410321	-0.166418	-0.0642603	-8.95892	-2.89815	3.23981	0.0665519	0.100028	0.0399888	0.0366478	0.0746385	0.079538	0.114412	0.131725	0.13771	0.0746684	0.172619	0.103763	0.214109	0.0609819	0.0739465	0.182824	0.0439835	0.0481484	0.114352	0.0997615	0.132536	0.871135	-8.85978	-2.32135	3.26897	0.524669	-0.767014	0.0615364	-0.765585	-0.276044	1.32491	3.17436	-0.0733525	-0.311385	-0.570876	-0.499076	-0.871488	0.445989	-0.648352	0.353935	0.941381	-0.274947	-0.185782	0.0214803	-8.85735	-2.56424	3.50642	0.172436	-0.377362	-0.0845136	-0.515907	-0.588194	0.651096	3.53847	0.448449	-0.762699	0.035987	-0.525196	0.0422844	0.576432	-0.504644	-0.0435511	0.68494	-0.623551	-0.314071	-0.233587	-9.14728	-2.95924	3.1756	0.174282	0.0884836	-0.484339	-0.487932	0.266425	0.77337	4.12571	0.155455	-0.175478	-0.455777	0.920903	0.258387	0.509756	0.276359	-0.0322759	0.074622	-0.480366	-0.309857	-0.0316379	-8.83377	-2.82869	1.95337	0.096519	-0.626576	-0.539031	-0.87885	-0.214204	1.59417	2.84602	0.652438	-0.735042	-0.681586	0.244488	-0.094392	0.996459	-0.446052	-0.293454	0.966258	-0.418651	0.139627	-0.116047	3.491956e+00	-2.337715e+04	-2.337365e+04
100	0.790429	0.945834	0.711878	2.12684	1.15982	1.38199	2.68205	0.873705	1.03416	0.60398	0.655116	0.623388	0.808049	0.663529	1.04379	0.931348	1.22204	0.100011	-0.640547	0.357445	-0.380212	-0.304896	0.357184	1.71705	4.07751	0.15878	-0.225544	0.182906	0.202712	-0.480869	-0.221232	0.0910384	-0.0223294	0.917597	-0.555456	0.64127	0.0575523	-9.02285	-1.33551	4.02437	0.374006	0.0664158	0.14947	0.0761018	0.0436295	0.342186	0.064739	0.039574	0.0770868	0.0760332	0.0848516	0.0942517	0.0819601	0.152816	0.0909295	0.142267	0.0436036	0.0596382	0.256302	0.178897	0.0808088	1.82357	-8.86051	-1.31331	3.21673	-0.469409	0.60108	-0.258493	-0.474417	0.151384	2.35779	4.23058	0.366018	-0.714373	0.101128	-0.0510029	-0.741088	-0.120518	0.0825721	0.170626	0.626475	-0.560521	0.742381	0.0221526	-8.97693	-1.44848	3.48323	-0.942932	0.673501	-0.293192	-0.560416	0.592524	1.54609	4.57919	0.308874	-0.125622	0.424202	0.178714	-0.0279503	-0.281485	0.0568041	-0.158225	0.717367	-0.224925	0.255704	-0.00779999	-8.77883	-1.2612	3.36448	-0.446611	0.485565	-0.971337	-0.32131	-0.127683	0.36331	4.02265	0.142328	-0.401027	0.0524553	0.490334	-0.590603	-0.614214	0.730361	0.185126	1.00346	-0.466881	0.24316	0.227394	-8.10256	-1.138	2.74137	-0.616184	0.229151	-0.192328	-0.430387	0.388454	1.9501	4.34105	0.232073	-0.31323	0.286181	0.34596	-0.391342	-0.324728	0.256259	-0.0631638	0.97942	-0.39604	0.664075	-0.0689576	-1.975248e+01	-3.637626e+02	-3.835150e+02
200	1.03797	0.603709	0.445778	1.86474	1.90375	1.59502	2.03405	0.855515	1.15973	0.697314	0.675754	0.58095	0.730931	0.633062	0.937415	0.950864	1.17895	0.0316076	-0.549005	0.682698	-0.292047	-0.485783	0.293379	2.26102	3.51774	0.232151	-0.25356	0.15077	0.132221	-0.468742	-0.282709	0.133766	-0.0586007	0.755982	-0.3665	0.280747	-0.0293866	-9.11159	-1.09788	2.65992	0.54455	0.0431696	0.0843245	0.110341	0.0647928	0.0914069	0.159516	0.046233	0.0697319	0.137891	0.247416	0.0970048	0.0650686	0.0914085	0.0955243	0.145433	0.0268489	0.0423592	0.0409373	0.0717365	0.0873824	3.75457	-8.80749	-0.980794	3.23905	-0.380723	0.585807	-0.397815	-0.540676	0.0333612	2.14594	3.65338	0.340196	-0.316517	0.104671	-0.160789	-0.748365	0.026035	0.0602071	0.262313	0.746529	-0.565575	0.244128	0.0605221	-8.97693	-1.44848	3.48323	-0.942932	0.673501	-0.293192	-0.560416	0.594167	2.00459	3.85119	0.308874	-0.125622	0.424202	0.178714	-0.0279503	-0.379894	0.0568041	-0.134347	0.717418	-0.257058	0.255704	-0.00779999	-8.77883	-1.2612	3.36448	-0.253535	0.485565	-0.971337	-0.32131	-0.127683	2.37494	3.16727	0.142328	-0.483821	-0.0959266	0.490334	-0.590603	-0.724853	0.193592	0.283273	1.00346	-0.309632	0.24316	0.227394	-9.07296	-1.2485	1.8436	-0.809658	0.7203	-0.38894	-0.596622	0.259297	2.3432	3.26164	0.446534	-0.250336	-0.281227	0.0642558	-0.213444	0.342733	0.578386	-0.900141	0.584048	-0.464056	0.103534	-0.264236	-1.406413e+01	-3.702626e+02	-3.843267e+02
300	0.726366	1.52497	0.664747	2.29424	1.46856	3.18494	3.13831	1.03225	0.989739	0.754037	0.457584	0.568453	0.67815	0.500576	1.29487	0.965086	1.2046	0.0115961	-0.44674	0.480706	-0.790169	-0.46314	0.120704	3.47846	3.25241	0.0341836	-0.178918	-0.00632104	0.0713928	-0.494543	-0.324944	-0.0123106	0.0178491	0.934382	-0.469357	0.265576	0.177472	-8.94688	-1.11114	3.33339	0.0541389	0.0469141	0.0863368	0.0234811	0.0306129	0.143754	0.0412989	0.0706478	0.094821	0.0548185	0.0758708	0.205562	0.0540569	0.0212314	0.0577231	0.101944	0.0371325	0.139066	0.0906526	0.146349	0.094651	2.54879	-8.87377	-1.20407	3.19353	-0.370882	0.591837	-0.406695	-0.534739	0.0168808	2.88111	3.29851	0.366517	-0.481934	-0.0278685	-0.141362	-0.748462	-0.0837608	0.0353232	0.0915103	0.705503	-0.563071	0.170187	0.0691503	-8.97697	-1.44848	3.48323	-0.942932	0.673501	-0.293192	-0.560416	0.59675	2.96838	3.14857	0.30902	-0.125622	0.424202	0.177275	-0.0279503	-0.379894	0.0568041	-0.137808	0.717418	-0.257058	0.255696	-0.00779999	-8.77811	-1.2606	3.37174	-0.254756	0.485624	-0.964012	-0.321555	-0.127683	3.4052	3.39009	0.141724	-0.4823	0.0233447	0.490678	-0.590353	-0.721969	0.19257	0.26968	1.00362	-0.311551	0.243246	0.227398	-8.45247	-1.06969	3.25815	-0.168767	0.118877	-0.740961	-0.537241	0.224888	3.2096	3.1173	-0.386845	-0.197645	-0.223157	-0.0367154	-0.352856	0.241175	0.113096	0.470484	0.885347	-0.515589	0.82743	-0.515443	-1.025852e+01	-3.609049e+02	-3.711635e+02
400	0.897257	1.50014	0.859197	2.17997	0.958271	1.50485	2.60191	0.980586	1.0373	0.598885	0.680957	0.562956	0.68558	0.906552	1.08725	0.98541	1.02169	0.0147327	-0.498994	0.210167	-0.60057	-0.21843	0.352632	3.1339	2.09178	0.148866	-0.20395	0.312516	0.240864	0.0422702	-0.469976	0.339934	0.116037	0.669289	-0.649628	0.331204	0.168051	-9.09649	-1.53035	2.93695	0.0441407	0.119844	0.108886	0.0681741	0.274375	0.245922	0.0968729	0.0843191	0.0466959	0.047958	0.118351	0.125329	0.0369963	0.171352	0.106272	0.0546263	0.0787529	0.0379826	0.0301055	0.0984333	0.169626	0.763405	-8.79547	-1.28981	3.17418	-0.399887	0.619132	-0.416778	-0.54284	0.0140852	2.58942	1.94109	0.358096	-0.422044	0.0169991	-0.130419	-0.696047	-0.122331	0.0653299	0.072931	0.694921	-0.567994	0.175505	0.0610479	-8.97697	-1.44848	3.4832	-0.942932	0.673501	-0.293192	-0.560416	0.59675	2.78083	1.294	0.30902	-0.125622	0.424202	0.177275	-0.0279503	-0.381686	0.0568746	-0.137808	0.717418	-0.257058	0.255696	-0.00779999	-8.77849	-1.26248	3.37406	-0.256145	0.488145	-0.960429	-0.321408	-0.1284	3.59278	1.60519	0.141465	-0.492079	0.0243828	0.491199	-0.590401	-0.731835	0.156782	0.40061	1.00345	-0.309147	0.24371	0.227227	-8.82964	-1.36364	3.98546	-0.38428	0.0752767	-0.926622	-0.584659	-0.0951697	3.49995	1.9582	-0.412498	-0.428548	0.535237	0.924729	0.101683	-0.457064	-0.0837175	0.330747	0.846175	-0.851556	0.678842	0.105506	-2.560420e+01	-3.563874e+02	-3.819916e+02
500	0.549724	0.613148	0.681262	2.45394	1.01874	2.30082	3.25878	1.07889	1.14643	0.762197	0.513303	0.733257	0.833146	0.577516	1.47722	1.03143	1.3317	0.0112011	0.110756	0.49188	-0.597892	-0.344273	0.450856	2.30955	1.16834	0.175459	-0.357037	0.0251757	0.125702	-0.460161	-0.0813821	0.0630581	0.05009	0.747544	-0.410114	0.226515	0.0400205	-8.79558	-1.17506	3.53052	0.560752	0.107111	0.0466455	0.0435018	0.0838248	0.0415535	0.0606485	0.035491	0.0492379	0.0728301	0.140744	0.0966411	0.101215	0.0828463	0.0425695	0.0842549	0.0536599	0.0886273	0.0801413	0.144241	0.0914466	1.89217	-8.81054	-1.23943	3.16571	-0.388231	0.609623	-0.41885	-0.539775	0.0155368	2.31627	1.47202	0.350398	-0.39298	0.0437429	-0.120015	-0.693998	-0.0832089	0.0630025	0.102106	0.680263	-0.557896	0.159933	0.0698135	-8.97697	-1.44848	3.4832	-0.942932	0.673501	-0.293192	-0.560416	0.59675	1.84346	1.01268	0.308977	-0.125622	0.424202	0.177275	-0.0279503	-0.381428	0.0567869	-0.137328	0.717419	-0.257058	0.255696	-0.00779999	-8.77927	-1.26331	3.37474	-0.256145	0.48785	-0.961076	-0.321446	-0.127945	2.21201	0.803902	0.14161	-0.494973	-0.155091	0.490641	-0.590911	-0.721968	0.157014	0.308354	1.00348	-0.308458	0.24405	0.227358	-8.87136	-1.22755	2.54442	0.217811	0.126391	-0.965637	-0.315889	-0.122177	2.27849	1.51406	0.0694129	0.0601358	-0.0922635	-0.258135	-0.0267696	-0.754015	0.0753934	-0.180513	0.854976	-0.473935	0.0670983	-0.358061	-9.792706e+00	-3.575791e+02	-3.673718e+02
600	0.816007	0.97697	0.553521	1.49051	1.54816	2.90038	3.13594	1.05666	1.0146	0.640866	0.732366	0.482829	0.800544	0.896462	0.900576	0.912134	1.13371	0.0101081	-0.49472	0.445995	-0.365552	-0.462369	0.311932	4.123	-0.487767	0.202166	-0.22624	-0.253418	-0.124379	-0.406585	-0.252761	0.282072	0.0523972	0.53325	-0.56508	0.327176	-0.0421053	-9.05045	-1.46993	3.337	0.0427233	0.0405637	0.931545	0.0353564	0.143882	0.144726	0.10169	0.163099	0.0706648	0.128406	0.218268	0.0924836	0.103869	0.0568008	0.0976312	0.0575121	0.0579061	0.127787	0.0967409	0.183455	0.0573927	0.949294	-8.80955	-1.23552	3.16949	-0.394444	0.602047	-0.415053	-0.541001	0.0177095	4.27422	-0.262275	0.342301	-0.405358	0.0418531	-0.124568	-0.675631	-0.0819602	0.0640832	0.0958488	0.676373	-0.555683	0.165128	0.0723047	-8.97697	-1.44848	3.4832	-0.942932	0.673501	-0.293192	-0.560416	0.596794	3.87444	-0.434443	0.308977	-0.125622	0.424202	0.177275	-0.0279555	-0.381428	0.0567869	-0.137328	0.717419	-0.257063	0.255696	-0.00779999	-8.77925	-1.26341	3.37459	-0.256034	0.488639	-0.959001	-0.321597	-0.128156	4.29187	-1.01652	0.141368	-0.497881	-0.176544	0.490553	-0.590873	-0.720912	0.161569	0.338196	1.00345	-0.309113	0.24405	0.227465	-9.11359	-1.69811	4.06755	-0.635305	0.590374	-0.851461	-0.189579	-0.0560773	4.24166	-0.131976	0.816898	-0.401682	-0.0789104	-0.690669	-0.186219	-0.448967	0.193614	0.00366957	0.230218	-0.0445318	0.310749	-0.0507982	-1.860265e+01	-3.485442e+02	-3.671468e+02
700	1.73364	0.923616	0.672022	2.63647	1.07238	1.85126	2.96745	1.06197	1.04732	0.608338	0.604779	0.474737	0.900652	0.718408	0.906129	0.877961	1.3045	0.0119017	-0.657498	0.499101	-0.219071	-0.498698	0.192788	2.07706	0.170231	0.306632	-0.308789	0.157814	0.140285	-0.630907	-0.165713	-0.0784451	-0.10586	0.608359	-0.22243	0.110118	-0.0324544	-8.90117	-1.20942	3.56215	0.110533	0.0172399	0.0757419	0.0578212	0.0633271	0.0407411	0.184823	0.0530687	0.031139	0.0683748	0.212284	0.187306	0.109982	0.0531901	0.0932434	0.0913483	0.0379896	0.131773	0.0465854	0.0938995	0.196846	1.14271	-8.82791	-1.24468	3.16016	-0.39861	0.597902	-0.418072	-0.545972	0.0200643	2.27482	-0.346951	0.344834	-0.412034	0.0449511	-0.131514	-0.684224	-0.0923083	0.0631035	0.0509285	0.680855	-0.559988	0.176415	0.0768702	-8.97697	-1.44848	3.4832	-0.942932	0.673501	-0.293192	-0.560417	0.596758	2.0641	-0.143184	0.308983	-0.125622	0.424202	0.177275	-0.0279524	-0.379757	0.0568008	-0.137328	0.717419	-0.257063	0.255728	-0.00779999	-8.77933	-1.26315	3.37507	-0.256034	0.488674	-0.95874	-0.321662	-0.127989	2.0233	0.821617	0.141389	-0.498941	-0.176544	0.490553	-0.590871	-0.721404	0.161569	0.338196	1.00337	-0.310448	0.244072	0.227445	-8.9803	-1.20766	3.85448	-0.862071	0.338415	-0.621594	-0.446203	-0.0304507	2.3819	0.354209	0.915174	-0.0823984	0.43691	-0.960504	-0.475952	0.458036	-0.290735	-0.122955	0.995583	-0.551986	-0.0905878	0.0179768	-1.407974e+01	-3.518761e+02	-3.659558e+02
800	0.973625	0.689035	0.465988	2.90194	2.87727	2.09974	2.84639	1.11928	1.1831	0.74205	0.801088	0.418977	1.07729	0.67812	0.766179	0.872533	1.14519	0.011661	-0.514716	0.488459	-0.46173	-0.478076	-0.179662	2.73519	2.73418	0.340023	-0.110696	0.121684	0.275537	-0.159384	-0.147605	-0.187404	-0.0422047	0.791007	-0.23892	0.35934	0.0594377	-8.75282	-1.26912	4.28915	0.0748711	0.0372281	0.27445	0.237436	0.106954	0.0747188	0.575866	0.0430894	0.0910242	0.0363673	0.093097	0.2372	0.127124	0.056336	0.112442	0.0793539	0.324551	0.111037	0.0326767	0.596662	0.276088	1.06834	-8.82791	-1.25656	3.15896	-0.39938	0.59646	-0.416589	-0.547866	0.0224196	3.03101	3.37368	0.344016	-0.420222	0.0467572	-0.135989	-0.676273	-0.0895349	0.0667908	0.0398647	0.682501	-0.5583	0.172988	0.0771627	-8.97697	-1.44848	3.4832	-0.942932	0.673501	-0.293192	-0.560417	0.596758	3.16328	3.2434	0.308962	-0.125622	0.424202	0.177275	-0.0279524	-0.379757	0.0568008	-0.137276	0.717417	-0.257063	0.255728	-0.00779999	-8.77929	-1.26373	3.37568	-0.256099	0.488237	-0.956578	-0.321538	-0.127667	2.68021	3.0097	0.141501	-0.502027	-0.138753	0.49043	-0.59067	-0.715611	0.161802	0.330761	1.00326	-0.309258	0.244116	0.227356	-8.08803	-1.90061	3.45651	-0.302055	0.618522	-0.812664	-0.188706	0.354338	2.63382	1.77153	0.232932	-0.188055	0.00606894	0.642505	-0.549092	-0.0543856	-0.2669	0.0346829	0.879185	-0.23019	0.603667	-0.0700236	-3.036232e+01	-3.614189e+02	-3.917812e+02
900	0.717026	0.490158	0.700293	1.46819	0.995387	1.86565	3.0646	0.944533	1.06284	0.748819	0.68256	0.614604	0.666239	1.24302	0.7925	1.02502	1.40598	0.0110125	-0.180292	0.61954	-0.783758	-0.511774	0.216439	3.17644	3.85323	0.156265	-0.284359	0.240095	0.204642	-0.101727	-0.00419083	-0.0857263	-0.0369994	0.985043	-0.234598	0.252253	0.120944	-9.01557	-1.41128	2.79273	0.131439	0.0497391	0.0850125	0.0350989	0.090249	0.0903148	0.0945077	0.128912	0.036974	0.0616198	0.115815	0.516697	0.160184	0.07179	0.159824	0.109169	0.106193	0.15265	0.0516706	0.111249	0.0406732	2.73088	-8.82386	-1.25727	3.15321	-0.398751	0.597875	-0.415363	-0.544713	0.0193143	3.5094	3.38406	0.343368	-0.403332	0.0506207	-0.13406	-0.67707	-0.110896	0.0711773	0.0465214	0.684895	-0.556354	0.171184	0.0757908	-8.97697	-1.44848	3.4832	-0.942932	0.673501	-0.293192	-0.560417	0.596758	3.27571	3.88021	0.308962	-0.125622	0.424202	0.177276	-0.0279524	-0.380506	0.0568214	-0.137276	0.717417	-0.257063	0.255728	-0.0078	-8.77963	-1.26232	3.37612	-0.256099	0.488121	-0.957041	-0.321534	-0.127265	3.16087	3.85432	0.141499	-0.503386	-0.0982743	0.490537	-0.590547	-0.717796	0.161404	0.312528	1.00315	-0.308234	0.244112	0.227202	-8.63672	-1.29323	1.99649	-0.333982	0.864632	-0.723887	-0.267571	-0.0498658	3.31186	3.88524	0.340763	-0.314562	0.194345	0.826222	-0.28433	-0.228613	-0.562111	0.250951	0.620854	-0.337999	0.299614	0.0350472	-1.113849e+01	-3.570233e+02	-3.681618e+02
