iter	Ve_TotCTCOHmol(1)	Ve_TotLivTCOHmol(1)	Ve_TotBrnTCOHmol(1)	Ve_CPlasTCAmol(1)	Ve_CLivTCAmol(1)	Ve_CKidTCAmol(1)	Ve_CBrnTCAmol(1)	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnkDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkNDCVC(1)	V_lnkDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkNDCVC(1)	lnkDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkNDCVC(1.1)	lnkDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkNDCVC(1.2)	lnkDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkNDCVC(1.3)	lnkDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkNDCVC(1.4)	LnPrior	LnData	LnPosterior
0	1.34185	3.04818	2.46742	0.073488	0.30998	0.0400946	0.371153	0.178906	0.176987	2.92441	1.11044	0.364185	1.10461	0.0175088	0.0716272	0.0448295	0.022007	0.0124336	-5.282	0.535595	-2.21931	0.512605	0.478823	4.0334	-5.23329	0.278113	-3.78066	-5.9016	1.92115	-1.30019	-4.63412	0.308757	-4.39297	-5.08387	-0.0995293	1.59524	-2.184347e+01	-1.232009e+04	-1.234194e+04
100	0.554967	0.666944	0.900748	2.23134	1.24338	2.58011	3.17075	1.09755	0.941236	0.640442	0.770374	0.555981	1.02174	0.7374	0.471075	0.524899	0.838517	0.391108	-2.06166	1.89985	-0.996452	0.255022	0.318447	2.60462	-1.83252	3.15055	-0.839589	-1.56464	2.05415	-0.516027	-1.63822	1.92091	0.934046	-2.2975	1.44472	-2.86068	-3.976415e+01	-3.589338e+02	-3.986979e+02
200	0.492428	1.37167	0.740656	1.53169	1.53444	1.9008	3.04172	1.05093	1.07855	0.53805	0.730835	0.716731	0.896422	0.916649	0.474082	0.474603	0.782593	0.444981	-1.81709	2.5066	-0.832671	0.12346	0.31318	5.9431	-1.88646	1.70974	0.0967628	-1.21302	2.27665	-0.317867	-2.757	1.78165	1.01008	-1.51922	2.3885	-1.57647	-4.277570e+01	-3.620309e+02	-4.048066e+02
300	0.916294	1.7196	1.43362	1.38741	1.28648	2.57557	2.62027	1.09809	1.04899	0.56319	0.897806	0.489348	0.702641	0.683246	0.298527	0.424663	0.84363	0.580452	-1.72351	2.70193	-1.22875	0.203034	0.303859	1.87616	-1.94305	3.65622	-1.39493	-2.02057	2.10224	-0.385028	-1.94602	3.2586	-0.107632	-1.07271	1.68597	-0.534595	-3.945731e+01	-3.605912e+02	-4.000485e+02
400	0.728678	0.881989	1.20109	2.36645	1.49608	3.2142	2.98644	1.04561	1.09339	0.675226	0.663293	0.553929	0.807422	0.836039	0.340029	0.410698	0.738845	0.500577	-1.95355	4.59112	-1.10649	0.171819	0.696633	3.79027	-2.18792	3.26669	-1.19739	-1.84011	4.47055	-2.6248	-1.9628	4.1811	-1.49487	-1.66233	3.54679	-0.959912	-3.873765e+01	-3.530640e+02	-3.918017e+02
500	0.965748	1.44134	1.22795	2.47559	0.944014	3.18899	3.22968	0.951752	0.997961	0.628836	0.571197	0.729522	0.791428	0.650728	0.614034	0.440543	0.786871	0.644777	-1.70898	2.61684	0.206645	0.215073	0.223759	2.80089	-2.65554	3.06982	-1.28049	-1.8947	2.40348	-0.709735	-2.31845	2.71327	0.273128	-1.6559	3.30635	-2.09657	-4.051295e+01	-3.559636e+02	-3.964766e+02
600	0.433903	1.07745	0.545424	2.66476	0.965096	2.33625	3.26629	1.10731	1.0826	0.629712	0.89242	0.677558	0.957706	0.704716	0.306345	0.462537	0.783556	0.53785	-1.81854	2.85049	-0.884812	0.0727123	0.278611	0.860327	-2.05217	2.78919	-0.769352	-1.43416	2.88588	-0.894954	-2.11757	2.93752	-0.445575	-1.7252	3.11249	-1.29773	-3.059318e+01	-3.546588e+02	-3.852519e+02
700	0.477596	0.837284	0.780658	1.48752	0.757868	2.69814	3.08263	1.00075	1.21665	1.12936	0.612188	0.598559	0.867366	0.835786	0.36472	0.519024	0.761014	0.691501	-2.8044	3.00734	-2.7322	0.464252	0.121119	1.12853	-3.28138	3.1488	-2.22008	-2.03504	2.62663	-2.25935	-2.79374	2.91098	-1.20939	-2.19936	2.90672	-3.45431	-3.489956e+01	-3.698081e+02	-4.047076e+02
800	0.56461	0.664021	0.764259	2.67033	1.19642	2.48409	3.27847	1.14442	0.975816	0.498365	0.854255	0.441595	0.824063	0.633564	0.256152	0.465113	0.93593	0.379703	-2.11523	3.33972	-3.32209	0.380525	0.664705	2.68899	-2.38014	3.38012	-0.923119	-1.66062	3.21943	-1.2237	-2.92337	3.76361	-1.48066	-1.72271	2.37811	-3.41369	-4.190287e+01	-3.626021e+02	-4.045050e+02
900	0.855346	0.856743	1.12053	1.84389	0.856103	2.04726	2.46314	1.14401	1.20608	0.731191	0.695751	0.626529	0.725637	0.644077	0.215245	0.537938	0.798837	0.587285	-1.94987	3.82602	-1.76626	0.189642	0.0748539	1.73398	-2.32894	3.85177	-1.78012	-1.40874	3.67135	-1.53727	-2.16091	3.85618	-1.60126	-1.46317	3.84892	-1.98134	-2.925086e+01	-3.581888e+02	-3.874397e+02
1000	0.609885	1.15392	1.06026	2.33572	1.04999	3.1084	2.94862	1.11438	1.09982	0.648179	0.652105	0.711224	0.710312	0.78956	0.476528	0.554015	0.726676	0.891119	-2.55299	4.49639	-3.12386	0.137291	0.145529	2.6877	-2.56906	4.51877	-3.04742	-1.90005	4.3603	-3.22648	-2.53721	4.45206	-2.4858	-1.88726	4.43342	-3.34402	-3.155580e+01	-3.565859e+02	-3.881417e+02
1100	0.701106	0.379474	0.890104	2.65376	0.745649	2.33647	2.83537	1.03914	1.22941	0.699305	0.904558	0.677858	0.700437	0.865074	0.484958	0.51557	0.762318	0.652069	-1.88582	3.32064	-1.49821	0.0811043	0.0773183	2.52956	-2.04706	3.45623	-1.79173	-1.63117	3.41181	-1.44836	-2.63095	3.16722	-0.704509	-1.92052	3.59176	-1.73571	-3.148080e+01	-3.598403e+02	-3.913211e+02
1200	0.329078	1.04466	0.399257	1.84291	0.911225	3.21224	3.09573	0.934998	1.04196	0.64436	0.681637	0.511571	0.733402	0.711765	0.322676	0.574636	0.78631	0.462128	-1.93559	3.27719	-1.37877	0.296468	0.24647	0.889332	-2.6814	3.04996	-1.84964	-1.34644	3.71163	-1.54653	-2.58933	2.10181	-0.0326112	-1.70865	3.464	-1.72525	-3.703716e+01	-3.588634e+02	-3.959006e+02
1300	0.962176	1.03064	0.72832	2.43488	1.28029	2.47951	3.07693	1.17306	1.0512	0.730919	0.852777	0.537122	0.695724	0.919981	0.573215	0.398809	0.940237	0.556644	-2.34994	3.2431	-0.477859	0.218855	0.128171	2.81982	-2.45509	3.40636	-1.38887	-1.67252	2.90187	-1.46328	-2.55411	3.66685	-1.50809	-1.92453	2.59653	-1.49466	-3.741747e+01	-3.559812e+02	-3.933987e+02
