iter	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnkDCVGC(1)	M_lnkDCVCC(1)	M_lnkElimDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkDCVG(1)	M_lnISkDCVC(1)	M_lnISkNDCVC(1)	V_lnkDCVGC(1)	V_lnkDCVCC(1)	V_lnkElimDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkDCVG(1)	V_lnISkDCVC(1)	V_lnISkNDCVC(1)	lnkDCVGC(1.1)	lnkDCVCC(1.1)	lnkElimDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkDCVG(1.1)	lnISkDCVC(1.1)	lnISkNDCVC(1.1)	lnkDCVGC(1.2)	lnkDCVCC(1.2)	lnkElimDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkDCVG(1.2)	lnISkDCVC(1.2)	lnISkNDCVC(1.2)	lnkDCVGC(1.3)	lnkDCVCC(1.3)	lnkElimDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkDCVG(1.3)	lnISkDCVC(1.3)	lnISkNDCVC(1.3)	lnkDCVGC(1.4)	lnkDCVCC(1.4)	lnkElimDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkDCVG(1.4)	lnISkDCVC(1.4)	lnISkNDCVC(1.4)	LnPrior	LnData	LnPosterior
0	1.00088	0.157321	0.343179	0.0195704	1.63093	0.0116751	1.42608	0.116573	1.1752	0.398764	0.0298485	-4.50075	-6.95434	-6.72494	-5.5927	1.98258	-0.534119	2.81079	0.139196	0.0928242	4.0791	0.133742	3.18228	2.82979	1.91482	-4.61198	-6.98944	-8.65702	-5.30231	2.54447	0.0300917	4.35559	-4.81066	-7.0538	-3.73201	-5.41257	-0.354435	1.39237	4.28491	-4.51399	-6.9579	-6.14438	-5.72435	1.68534	-0.638298	1.2291	-4.45449	-7.37935	-5.26457	-5.85537	4.34437	2.16842	4.01588	-5.003348e+01	-7.938644e+04	-7.943647e+04
100	0.960761	1.01686	0.588314	0.80217	0.544019	0.689276	0.489519	0.52913	0.581472	0.906693	0.776863	0.198535	-6.59627	-6.74608	-6.79984	2.79014	2.63726	-1.37248	0.0646177	0.171842	0.643009	0.155162	2.26996	2.0488	3.2075	0.0382312	-7.04918	-7.83317	-6.69724	3.57575	3.37388	-1.67675	0.523092	-7.16615	-7.40086	-6.79327	3.29999	3.88008	-1.68893	0.516102	-6.70631	-7.43681	-6.87447	3.04287	1.58852	1.31833	0.336309	-6.87873	-6.68971	-6.53387	3.7775	4.4101	0.994007	-5.361252e+01	-3.459168e+02	-3.995293e+02
200	0.932852	0.937976	0.763774	0.86938	0.593103	0.833604	0.5989	0.596093	0.501894	0.849458	1.20382	0.54767	-7.50908	-8.26995	-7.3302	3.97861	3.70561	1.055	0.0664975	0.0669909	0.0449801	0.157757	0.878197	2.82203	1.92361	0.701944	-7.78753	-7.92898	-7.44891	3.80838	4.21778	1.76509	0.490309	-7.19625	-8.07124	-7.73583	3.5997	4.4631	1.78779	0.483329	-7.37547	-7.92639	-6.82316	3.69156	2.77134	-0.832749	0.703295	-7.55642	-8.57132	-7.55572	4.54953	4.16891	2.4712	-4.161420e+01	-3.370697e+02	-3.786839e+02
300	0.668688	0.7156	1.1322	1.12855	0.619496	0.870464	0.603857	0.394438	0.471749	0.944583	1.1399	1.58031	-6.99918	-8.1765	-5.63037	4.54816	3.96567	-2.73508	0.0806783	0.0732524	0.0346828	0.252856	1.16717	3.28095	1.57942	1.77352	-7.17931	-7.98063	-5.07495	3.72163	3.06703	-2.09489	1.20648	-7.06508	-8.22593	-5.43497	3.67916	3.65111	-2.78234	1.27336	-6.4456	-8.29429	-5.08902	3.73084	2.2709	-4.42189	1.64566	-6.57066	-8.27351	-6.22018	4.14459	3.50274	-3.70934	-4.331429e+01	-3.423542e+02	-3.856684e+02
400	0.760853	0.977808	0.738002	0.789063	0.564743	0.733399	0.748185	0.347457	0.505131	0.619015	0.968177	1.89946	-6.90979	-8.89597	-6.76649	3.38454	2.8381	-2.63133	0.166143	0.11768	0.10157	0.172501	2.06615	1.45009	10.6044	1.72746	-6.75929	-8.74575	-6.89842	2.7469	2.87228	-0.238536	1.69786	-6.67554	-9.19504	-7.13875	2.30176	3.96873	-0.809008	2.15973	-6.95077	-8.49225	-7.9041	2.91935	2.03999	-3.61861	1.9141	-7.10184	-8.63785	-6.39193	3.62034	3.99376	-2.78545	-4.891499e+01	-3.386738e+02	-3.875888e+02
500	0.823194	1.00164	0.757227	0.930284	0.623035	0.843861	0.781343	0.78973	0.493695	0.928511	0.873528	0.919704	-7.27777	-9.07337	-5.85453	4.13971	3.14966	2.38961	0.287541	0.395477	0.0625866	0.138983	1.86746	1.82042	13.4354	1.00892	-7.92167	-9.1401	-5.40729	4.55355	4.28785	0.977912	1.31731	-7.61467	-8.9062	-5.4442	3.47343	4.35724	1.42733	-0.253975	-6.54857	-8.7852	-5.87727	4.1877	2.77306	-1.31557	1.06423	-7.04555	-8.9857	-6.28306	3.68248	4.1267	-4.28594	-5.660342e+01	-3.430661e+02	-3.996695e+02
600	0.931697	0.978831	0.660163	0.751901	0.860311	0.807707	0.721355	0.283813	0.615942	0.675165	0.967037	1.80398	-7.12571	-8.92095	-8.98882	2.74167	4.11565	-1.05089	0.371133	0.127216	0.169501	0.174959	1.97405	2.25837	0.835656	1.71875	-7.09363	-9.06176	-9.19567	1.95193	3.30892	0.192655	0.829441	-7.32955	-8.42786	-9.18492	2.78543	4.43024	-1.75187	1.57334	-6.79628	-9.01175	-8.2324	2.9906	3.23292	-0.339118	2.02397	-7.40217	-8.88526	-9.02346	2.65826	4.43666	-1.47076	-4.392638e+01	-3.415766e+02	-3.855030e+02
700	1.1192	0.982095	0.528296	0.751521	0.517956	0.851175	0.938886	0.52053	0.536062	0.811932	0.994315	0.392108	-7.24981	-8.26064	-8.92973	3.91557	4.57349	-1.95372	0.146103	0.146501	0.136932	0.363215	2.55881	1.31664	3.21379	0.389381	-6.96238	-8.40372	-8.6218	3.79735	3.42148	0.267457	0.729982	-7.30911	-7.95429	-8.33884	2.29411	4.3338	0.0128819	0.065193	-7.42754	-8.71288	-8.85565	3.54266	3.63176	-2.80949	0.871372	-7.22938	-7.83184	-8.39447	3.98549	4.41133	-3.57525	-4.515662e+01	-3.363233e+02	-3.814799e+02
800	0.783504	0.993134	0.766085	1.08974	0.442288	0.863389	0.866366	0.550036	0.654018	0.912371	1.03709	4.07512	-6.97736	-9.0143	-8.16652	1.58281	4.16251	-3.60631	0.266781	0.133702	0.178567	0.0755729	1.22066	1.60373	3.56266	3.91158	-7.22706	-9.01051	-8.20225	1.43623	3.17166	-1.26706	3.46148	-6.7023	-8.91581	-7.768	0.97747	3.73438	-3.90819	4.03091	-7.30229	-8.85481	-8.45693	1.06613	3.11179	-1.91647	3.55174	-7.00792	-8.94606	-7.89765	1.97664	4.22822	-4.4669	-4.188706e+01	-3.390650e+02	-3.809520e+02
900	0.970016	0.904438	0.670749	0.672487	0.509719	1.01573	0.746442	0.487418	0.666686	0.83373	0.888085	2.75689	-5.88683	-8.44518	-8.95368	3.98019	1.99968	4.57735	0.0859006	0.244767	0.129775	0.119338	2.2255	0.608314	2.53733	2.77494	-5.77679	-8.66014	-8.86275	2.05385	1.55044	4.33218	2.91695	-5.97259	-8.25084	-8.54797	0.443475	3.40461	3.60191	2.79819	-6.41365	-8.05075	-8.61783	1.3155	1.55857	2.09114	2.3587	-5.41841	-8.5371	-8.90487	3.38168	1.92726	2.77068	-4.668513e+01	-3.408882e+02	-3.875734e+02
