iter	Ve_CVenmol(1)	Ve_CLivmol(1)	Ve_CKidmol(1)	Ve_CBrnmol(1)	Ve_TotCTCOHmol(1)	Ve_TotLivTCOHmol(1)	Ve_TotBrnTCOHmol(1)	Ve_CPlasTCAmol(1)	Ve_CLivTCAmol(1)	Ve_CKidTCAmol(1)	Ve_CBrnTCAmol(1)	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnPBrnC(1)	M_lnPKidTCAC(1)	M_lnPBrnTCAC(1)	M_lnPKidTCOHC(1)	M_lnPBrnTCOHC(1)	M_lnPKidTCOGC(1)	M_lnPBrnTCOGC(1)	M_lnkDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkNDCVC(1)	V_lnPBrnC(1)	V_lnPKidTCAC(1)	V_lnPBrnTCAC(1)	V_lnPKidTCOHC(1)	V_lnPBrnTCOHC(1)	V_lnPKidTCOGC(1)	V_lnPBrnTCOGC(1)	V_lnkDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkNDCVC(1)	lnkDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkNDCVC(1.1)	lnPBrnC(1.1)	lnPKidTCAC(1.1)	lnPBrnTCAC(1.1)	lnPKidTCOHC(1.1)	lnPBrnTCOHC(1.1)	lnPKidTCOGC(1.1)	lnPBrnTCOGC(1.1)	lnkDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkNDCVC(1.2)	lnPBrnC(1.2)	lnPKidTCAC(1.2)	lnPBrnTCAC(1.2)	lnPKidTCOHC(1.2)	lnPBrnTCOHC(1.2)	lnPKidTCOGC(1.2)	lnPBrnTCOGC(1.2)	lnkDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkNDCVC(1.3)	lnPBrnC(1.3)	lnPKidTCAC(1.3)	lnPBrnTCAC(1.3)	lnPKidTCOHC(1.3)	lnPBrnTCOHC(1.3)	lnPKidTCOGC(1.3)	lnPBrnTCOGC(1.3)	lnkDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkNDCVC(1.4)	lnPBrnC(1.4)	lnPKidTCAC(1.4)	lnPBrnTCAC(1.4)	lnPKidTCOHC(1.4)	lnPBrnTCOHC(1.4)	lnPKidTCOGC(1.4)	lnPBrnTCOGC(1.4)	LnPrior	LnData	LnPosterior
0	0.219556	0.396947	2.44933	0.0114756	1.82344	0.944539	0.0977614	0.840069	0.526308	0.168007	0.0159465	0.367547	0.0201591	1.40901	0.211233	0.737357	0.353501	3.20504	0.0887564	0.570124	0.0425871	0.110017	0.198181	0.229096	-0.0177427	-0.737961	-0.0689618	-3.63542	-1.43145	-5.13071	1.41786	0.95903	0.0746477	0.0346174	0.0710099	0.0386754	0.190466	0.234708	0.450694	0.0612527	0.216659	1.85432	-4.97119	1.65939	1.70576	-0.21044	0.290514	0.325981	-0.861598	-0.0132528	-3.70201	-2.17338	-5.19234	1.23792	-0.623194	-0.124806	0.172398	0.0834577	-0.859694	-0.255521	-3.40046	-2.2275	-4.61871	1.28746	0.329964	-0.0684225	0.407513	-0.458672	-0.674785	-0.107505	-4.03464	-0.690895	-5.40524	0.641054	0.0413883	0.400155	0.10009	0.36145	-0.860803	-0.463431	-3.73238	-2.21169	-1.540225e+01	-2.283153e+04	-2.284694e+04
100	3.22294	2.61701	0.5008	2.89344	0.563534	0.595522	0.162957	1.07882	1.07018	2.03019	2.8131	1.01089	1.16833	0.657806	0.962645	0.728446	0.832559	0.741403	0.538106	0.502762	0.839428	0.567576	-0.0730141	0.801579	-0.584965	-0.427287	0.352289	-2.34289	-2.84998	-2.383	1.4114	0.749862	0.0807693	0.116799	0.0755879	0.0401995	1.29318	0.179149	0.525168	0.199698	0.190024	5.96522	-2.4634	1.03751	0.446415	-0.346437	0.716873	-0.617567	-0.65186	0.483634	-3.30699	-1.51598	-2.54772	1.77941	-0.893204	0.344148	0.59537	-0.614288	-0.516929	0.573042	-1.99059	-1.77754	-2.14539	1.105	0.835021	-0.035621	0.632639	-0.457542	-0.106574	0.494674	-1.90824	-1.98351	-1.67615	1.46016	-0.526801	-0.119038	0.9471	-1.00558	-0.524984	0.205411	-2.18661	-3.31399	-6.083043e+01	-3.317688e+02	-3.925992e+02
200	3.12749	1.77599	0.628319	1.31203	1.02793	0.699913	0.315764	3.00874	0.73973	1.50617	2.92252	1.00511	1.09492	0.605565	0.712553	0.537019	0.684452	0.898807	0.533312	0.466122	0.814661	0.43638	-0.538894	0.32752	-0.736274	0.687868	0.267632	-0.659486	-2.33222	-1.79867	2.39029	0.909217	0.17139	0.0766136	0.0477085	0.0500884	0.0926373	0.19878	0.0818792	0.091603	0.0887903	1.19048	-2.17282	2.5941	-0.527909	-0.434885	0.451133	-0.726738	0.790971	0.704112	-0.119655	-2.41637	-1.39551	2.28981	-0.134932	-0.508638	0.350704	-0.569132	0.340476	0.215312	-1.03218	-2.23665	-1.62549	2.32158	0.669032	-1.18574	0.671342	-0.707263	0.261279	0.632386	-0.866293	-2.08285	-1.76337	2.12798	-0.336877	-1.16951	0.45795	-0.978538	0.785952	-0.0855035	0.0615324	-2.39668	-3.686781e+01	-3.196395e+02	-3.565073e+02
300	2.82821	2.48622	0.722805	1.65662	0.757708	0.689353	0.0979084	2.40348	0.644863	2.15206	3.28711	0.895901	1.02766	0.738551	0.498305	0.423666	0.941799	0.857639	0.346436	0.529431	0.837535	0.520558	-0.168881	0.153657	-0.699466	-0.26717	0.512621	1.79311	-3.58163	-2.19626	3.5285	-1.83824	0.0140566	0.0823056	0.0465123	0.0710255	0.0844665	0.426558	0.0396972	0.0869963	0.138	2.48789	-2.61447	3.49649	-1.63904	-0.227669	0.327041	-0.627772	-0.445702	0.650015	2.7984	-3.74923	-1.74108	2.57741	-0.537568	-0.149084	0.603742	-0.689481	-0.508657	0.889205	1.4746	-3.60769	-2.6314	3.28901	-0.554495	-0.013227	0.43254	-0.878377	0.213867	0.704384	1.12667	-3.62467	-2.3248	4.06662	-2.11406	-0.436428	0.0516723	-0.839805	-0.253978	0.187504	2.53319	-3.55183	-4.355003e+01	-3.134706e+02	-3.570207e+02
400	3.01343	0.673405	0.364089	3.16303	0.702758	1.06098	0.100105	2.59722	0.618373	1.84835	3.19918	1.05062	1.15234	0.623264	0.67024	0.598327	0.865343	0.854529	0.424935	0.905728	0.8503	0.341125	-0.745201	-0.442369	-0.340648	0.492232	0.475331	2.20588	-3.66677	-2.66408	2.78253	-1.96735	0.0473083	0.136213	0.366405	0.102061	0.0379471	0.275029	0.0396418	0.32766	0.210583	2.84981	-2.48323	2.9462	-0.925005	-0.827757	-0.673457	-0.962485	0.603788	0.503591	1.94572	-3.58782	-2.08056	3.60685	-2.08788	-0.762572	0.253032	0.275533	0.636808	0.790983	1.5589	-3.60904	-3.41038	2.96297	-4.04876	-0.75043	-0.433856	-0.687087	0.260928	0.925643	1.37355	-3.35519	-2.63555	3.41294	-1.70869	-0.646665	-7.12839e-05	-0.796595	0.161277	0.352519	2.80784	-3.64378	-5.103707e+01	-3.252435e+02	-3.762805e+02
500	2.74034	2.30446	0.760023	0.969475	0.585296	0.609411	0.204839	1.43161	0.662697	2.96345	2.94263	1.28357	1.08458	0.553953	0.641363	0.609131	0.93288	0.691457	0.430331	0.428362	0.752939	0.364403	-0.321169	0.0875956	-0.342712	0.682254	0.429151	0.872785	-4.09898	-1.83857	2.70444	-0.286794	0.0415628	0.10081	0.0689354	0.0914984	0.118119	1.06348	0.0734354	0.122244	0.260638	0.954401	-2.27153	2.46985	-0.472804	-0.396226	0.337721	-0.718121	0.111556	0.494203	2.09408	-4.2642	-1.51732	2.61156	-0.986699	-0.524897	0.93601	-0.495139	0.369195	0.834599	-0.706058	-4.25185	-1.83472	2.89422	-0.267811	-0.371785	0.186771	-0.529064	0.558469	0.861826	-1.04786	-4.13793	-2.06337	2.45885	-1.06921	-0.368627	0.00959234	-0.00819514	0.739149	0.124733	1.53696	-4.10222	-4.564279e+01	-3.175061e+02	-3.631489e+02
600	3.19615	1.26042	0.548741	1.31662	0.32996	1.14827	0.0974371	2.56503	0.725011	2.46946	2.9719	1.17657	1.04966	0.698268	0.741904	0.518313	0.721266	0.990027	0.40964	0.496388	0.738662	0.387107	0.0682095	0.192074	-0.740488	0.0366141	0.603302	1.6472	-1.9895	-1.43296	3.03538	0.0517941	0.0899098	0.101891	0.0492411	0.0455896	0.111522	0.113144	0.0474553	0.0688173	0.442367	2.51765	-1.85122	2.59418	-0.328537	0.126476	0.198392	-1.00355	-0.0894414	0.302847	1.90351	-2.28857	-1.39682	2.59558	-0.499746	0.35432	0.439721	-0.77596	0.0417933	0.902464	1.51585	-1.82531	-1.57429	3.00414	0.109545	0.0483158	-0.731963	-0.656977	-0.385021	0.805512	1.06696	-1.97831	-1.14444	2.70991	-1.7403	-0.161987	0.11847	-0.680772	0.266387	0.204052	1.07681	-1.89951	-3.686397e+01	-3.175555e+02	-3.544195e+02
700	3.19299	2.65629	1.73132	1.07716	0.47377	0.961181	0.354141	1.97691	0.763401	1.95316	2.7842	1.03665	1.09233	0.682275	0.817661	0.605792	0.69961	0.800144	0.474321	0.544286	1.11523	0.351146	-0.0663045	0.342245	-0.0691908	0.0903987	0.611684	1.95746	-1.98146	-2.16671	2.37082	0.188106	0.129795	0.0489371	0.098119	0.0531243	0.192128	0.0542936	0.146345	0.19957	2.35774	2.81217	-2.06077	2.25254	-0.0092725	-0.283964	0.0190129	-0.827328	0.0688571	0.651085	2.22732	-2.27677	-1.57533	0.206702	1.77632	-0.27342	0.254964	-0.223444	0.527032	0.539034	1.73047	-2.28811	-1.9621	2.59586	-0.190176	-0.343406	0.423747	-0.804067	-0.0692016	0.997234	1.6704	-2.02821	-1.83143	1.05513	0.608009	-0.424179	0.280665	-0.524855	0.103502	0.317808	2.20993	-2.35768	-5.423485e+01	-3.184858e+02	-3.727207e+02
800	3.14673	2.40197	0.179579	0.683777	0.435794	0.907755	0.168999	1.35856	0.68853	1.85273	3.28589	1.07825	1.15888	0.731412	0.721475	0.434306	0.78683	0.685356	0.479758	0.349504	1.018	0.654873	-0.504427	0.869966	-0.34813	0.484475	0.025259	1.55306	-0.742113	-2.19629	0.230046	2.09964	0.0611994	0.0385817	0.0234637	0.0884007	0.0838957	0.0581848	0.283217	0.713012	0.176186	1.97911	-2.44695	0.537924	1.35431	-0.229994	0.851477	-0.363782	0.122643	0.0308557	1.46395	-1.19779	-1.65649	0.69501	1.22074	-0.669361	0.926842	0.00536257	0.61385	0.307616	1.24657	-0.783946	-2.67558	-0.29511	3.19168	-0.749975	0.412201	-0.503934	0.638193	0.300968	1.37029	-0.951641	-1.21701	-0.458738	2.20896	-0.366182	0.807117	-0.233725	0.815046	0.0305278	1.87527	-1.19347	-4.029574e+01	-3.186522e+02	-3.589479e+02
900	3.00367	2.56362	0.399849	1.05429	0.457421	1.36811	0.174443	1.12286	0.542917	1.15982	2.21793	1.06577	1.16255	0.710153	0.688246	0.742072	0.95036	0.78402	0.264575	0.422775	0.790512	0.58889	-0.749319	0.620951	-0.416833	0.123936	0.158398	2.01694	-1.2131	-1.77791	0.432995	3.77521	0.132449	0.0760629	0.105324	1.54204	0.0543998	0.217395	0.163823	0.108088	0.14174	5.67198	-2.23578	0.652463	1.39446	-1.17994	0.917613	-0.751842	-0.584671	-0.1152	2.08331	-0.646642	-1.53426	0.480927	1.36414	-0.341708	0.615061	-0.0091727	0.129824	0.0185994	0.924344	-1.02145	-2.27427	0.191516	2.4061	-0.735069	0.239126	-0.00781073	0.82595	0.386402	1.88826	-1.711	-1.85319	-0.101538	1.17633	-0.270618	0.117251	-0.540634	0.804842	-0.373051	2.24296	-0.948125	-5.780427e+01	-3.164631e+02	-3.742673e+02
