iter	Ve_CVenmol(1)	Ve_CLivmol(1)	Ve_CKidmol(1)	Ve_CBrnmol(1)	Ve_TotCTCOHmol(1)	Ve_TotLivTCOHmol(1)	Ve_TotBrnTCOHmol(1)	Ve_CPlasTCAmol(1)	Ve_CLivTCAmol(1)	Ve_CKidTCAmol(1)	Ve_CBrnTCAmol(1)	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnPBrnTCOGC(1)	M_lnPLivDCVGC(1)	M_lnPKidDCVGC(1)	M_lnPBrnDCVGC(1)	M_lnPBodDCVGC(1)	M_lnPLivDCVCC(1)	M_lnPKidDCVCC(1)	M_lnPBrnDCVCC(1)	M_lnPBodDCVCC(1)	M_lnkDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkNDCVC(1)	V_lnPBrnTCOGC(1)	V_lnPLivDCVGC(1)	V_lnPKidDCVGC(1)	V_lnPBrnDCVGC(1)	V_lnPBodDCVGC(1)	V_lnPLivDCVCC(1)	V_lnPKidDCVCC(1)	V_lnPBrnDCVCC(1)	V_lnPBodDCVCC(1)	V_lnkDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkNDCVC(1)	lnkDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkNDCVC(1.1)	lnPBrnTCOGC(1.1)	lnPLivDCVGC(1.1)	lnPKidDCVGC(1.1)	lnPBrnDCVGC(1.1)	lnPBodDCVGC(1.1)	lnPLivDCVCC(1.1)	lnPKidDCVCC(1.1)	lnPBrnDCVCC(1.1)	lnPBodDCVCC(1.1)	lnkDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkNDCVC(1.2)	lnPBrnTCOGC(1.2)	lnPLivDCVGC(1.2)	lnPKidDCVGC(1.2)	lnPBrnDCVGC(1.2)	lnPBodDCVGC(1.2)	lnPLivDCVCC(1.2)	lnPKidDCVCC(1.2)	lnPBrnDCVCC(1.2)	lnPBodDCVCC(1.2)	lnkDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkNDCVC(1.3)	lnPBrnTCOGC(1.3)	lnPLivDCVGC(1.3)	lnPKidDCVGC(1.3)	lnPBrnDCVGC(1.3)	lnPBodDCVGC(1.3)	lnPLivDCVCC(1.3)	lnPKidDCVCC(1.3)	lnPBrnDCVCC(1.3)	lnPBodDCVCC(1.3)	lnkDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkNDCVC(1.4)	lnPBrnTCOGC(1.4)	lnPLivDCVGC(1.4)	lnPKidDCVGC(1.4)	lnPBrnDCVGC(1.4)	lnPBodDCVGC(1.4)	lnPLivDCVCC(1.4)	lnPKidDCVCC(1.4)	lnPBrnDCVCC(1.4)	lnPBodDCVCC(1.4)	LnPrior	LnData	LnPosterior
0	0.967546	0.0227736	0.0489293	0.792309	0.0129691	0.164824	0.402821	0.20621	1.68043	0.0156715	0.01322	0.0972974	0.0463594	0.0962103	0.108624	0.201852	0.082164	0.0109976	0.314577	1.84358	0.368285	0.74524	0.413699	-0.502591	-1.47916	-2.48487	4.11116	2.8884	-0.594069	-0.884889	1.82049	1.17124	-9.01911	-2.45228	0.0435344	0.0648302	0.244366	0.159862	0.126392	0.0691051	0.0753676	0.355991	0.580961	0.136442	0.140659	2.98676	1.23301	-9.15058	-2.73013	0.315176	-0.54834	-1.83649	-2.99398	3.92565	3.25442	-0.757834	-1.5229	1.97325	1.37231	-8.7762	-0.410422	0.657529	-0.523328	-1.95422	-2.33535	3.48226	2.93055	-0.806064	-1.31365	2.57274	1.11935	-9.02492	-4.34905	0.35301	-0.742336	-0.800121	-2.79587	3.8542	3.07814	-0.566531	-0.468203	1.51101	0.898273	-9.06549	-1.18067	0.414645	-0.666914	-1.42587	-2.40928	3.77987	2.89387	-0.860993	-0.674575	2.19426	-1.346154e+01	-1.434096e+04	-1.435442e+04
100	2.6467	2.33126	0.350569	0.749376	0.427168	0.705691	0.252295	1.96019	0.642537	1.54295	3.15384	0.538266	0.951924	0.623391	1.22778	0.539474	0.969645	0.631697	0.459114	0.507144	0.655131	1.08463	-0.0734551	0.899394	1.85171	-1.98913	4.59844	0.561519	0.758993	-0.53977	2.96313	-2.71834	-5.63382	-3.45538	0.0987413	0.039483	0.178721	0.0642362	0.200624	0.0356999	0.129396	0.0246731	0.123222	0.152055	0.118506	3.1746	-3.43098	-5.53883	-2.24073	-0.959765	1.13701	1.86219	-1.6146	4.18568	0.564992	1.08785	-0.522625	2.39483	-2.50188	-5.76091	0.488373	0.0222711	1.15558	1.9909	-1.71934	4.58398	0.169243	0.839342	-0.736091	2.99621	-2.89405	-4.80545	-4.02086	-0.264403	0.774957	1.99198	-2.11075	4.24429	0.692306	-0.279235	-0.389663	2.86826	-2.17467	-6.15148	-2.69995	-0.516893	0.627043	1.76848	-2.06188	4.30713	0.693796	0.76038	-0.302744	3.36277	-5.726233e+01	-3.193934e+02	-3.766557e+02
200	3.28536	2.51479	0.467421	1.58258	0.631773	1.51843	0.240214	1.06511	0.800987	1.84675	2.71819	0.337843	1.10225	0.68118	0.861966	0.624242	0.985087	0.285524	0.442483	0.730739	0.652239	0.853386	-0.855328	1.31699	2.02683	0.00688006	4.55426	0.689382	0.195232	-0.230808	4.35785	-2.23786	-5.61999	3.68988	0.326656	0.0632947	0.0731773	0.0784531	0.0487695	0.0954749	0.0843079	0.170426	0.0646487	0.0842065	0.180481	1.07118	-2.80119	-5.05127	1.98939	-1.01279	1.17929	1.72229	0.166146	4.53826	0.454235	0.515646	0.378236	4.39301	-2.83772	-5.32376	3.6703	-0.599091	0.868993	1.83216	-0.0882734	4.34386	0.616826	0.209797	-0.857601	4.41731	-3.02578	-5.84823	3.12842	-1.31108	1.61747	1.87549	-0.225217	4.48376	0.492596	0.378688	-0.218614	4.09165	-2.36856	-5.08144	4.59024	-1.55586	1.29627	2.47465	0.178431	4.59915	0.392744	0.14677	-0.115066	4.50584	-4.748674e+01	-3.116641e+02	-3.591508e+02
300	2.84175	2.19508	0.156536	0.71072	0.719351	0.585597	0.229522	1.3015	0.750717	2.60719	2.44072	0.606473	1.03464	0.781547	0.652421	0.588652	0.652056	0.772836	0.517076	0.556325	0.811075	0.914274	-1.20038	1.31078	1.45608	1.19876	3.96964	0.396753	-0.13461	-0.689268	3.1251	-2.35928	-3.25548	2.81025	0.0713673	0.0703482	0.372576	0.183826	0.0497385	0.0404094	0.0500815	0.0990573	0.10756	0.647186	0.0911387	3.36075	-3.05964	-3.10592	2.6365	-1.08299	1.31918	1.07689	0.372117	3.91015	0.124748	-0.45628	-0.695058	2.95613	-1.9206	-3.10282	4.36745	-0.920405	1.11316	1.23484	1.07015	3.79657	0.292881	0.0531377	-0.620701	2.66745	-3.77524	-3.5813	1.69843	-1.16311	1.05443	1.07468	1.64333	3.99289	0.198557	-0.0107923	-0.602066	2.61126	-1.36852	-3.50695	-0.41339	-1.02274	1.47426	1.33736	1.00118	4.14175	0.00372341	-0.192566	-0.888433	2.77898	-5.351173e+01	-3.137460e+02	-3.672577e+02
400	3.21472	1.65369	0.385281	0.977015	0.539726	1.09922	0.364416	2.60131	1.21016	2.09225	2.91644	0.293955	1.02829	0.813319	0.636868	0.604489	0.84832	0.0132145	0.508778	0.489938	1.01224	0.243516	-1.97075	1.3932	2.75359	2.24696	4.41481	0.91567	-0.553036	-0.549439	1.04283	-2.86233	-2.5285	3.44515	0.061912	0.0562906	0.140962	0.0952646	0.0916352	0.0467404	0.135771	0.238852	0.0610898	0.138059	0.222689	3.25555	-3.19517	-2.14379	4.20326	-2.27886	1.40521	1.83629	2.36213	4.39789	0.63218	-0.407196	0.365612	1.28261	-2.80405	-2.19908	3.844	-1.83013	1.20357	2.00016	1.69723	4.52065	0.752781	-0.324673	-1.64637	1.05785	-3.62125	-2.26091	3.73365	-1.95556	1.03557	2.90283	2.15302	4.19983	0.566545	-0.173938	-0.471787	0.988996	-3.35744	-2.0617	4.32377	-1.91004	1.60265	2.65699	2.0697	4.46253	0.707148	-0.861832	0.510725	1.22552	-5.057532e+01	-2.846666e+02	-3.352419e+02
500	3.19125	1.15826	1.27035	1.02132	0.662584	1.3212	0.295623	1.98504	0.632395	2.54454	2.82851	0.3569	1.10228	0.866037	1.0481	0.559037	0.901695	0.0118128	0.601792	0.414228	0.789359	0.604986	-2.58856	1.55552	2.76657	2.26145	4.54938	0.727414	-0.013373	0.064941	0.772848	-2.61944	-2.13492	3.83943	0.0909155	0.071219	0.0835594	0.0714508	0.167293	0.10976	0.269447	0.910311	0.101666	0.176235	0.0687209	2.36602	-2.33398	-2.31861	4.57384	-2.38999	1.56098	2.68677	2.46288	4.02273	0.622435	0.351819	0.395876	0.632174	-1.73696	-1.93658	4.22676	-2.90471	1.02914	2.75856	2.25319	4.45758	0.884757	-0.158232	-1.88555	0.741698	-2.81723	-2.12262	3.81951	-2.7965	1.70115	3.05443	2.18251	4.18534	0.682546	0.393805	-0.496347	1.46193	-1.74989	-2.00836	2.42126	-2.28905	1.4913	2.39806	2.23258	4.31959	0.941685	-0.374468	0.608148	0.822307	-5.356818e+01	-2.912162e+02	-3.447844e+02
600	3.10439	3.24825	0.495008	0.899079	0.560875	0.754325	0.760212	2.81333	0.90305	2.14864	3.16329	0.368694	0.964288	0.764721	0.950118	0.51396	0.798738	0.0117323	0.218606	0.477444	0.897428	0.315357	-4.3935	1.02884	1.95651	2.2561	4.56195	-0.361218	-0.779157	-0.232791	-0.492294	-2.19035	-2.38899	3.85211	0.0685639	0.0333026	0.0386715	0.0848858	0.0534184	0.29409	0.0367029	0.458213	0.0999875	0.0831059	0.843994	1.36948	-2.33776	-1.76573	3.77949	-4.03895	1.08393	2.20635	2.07354	4.46631	-0.192145	-0.490921	0.323307	-0.155347	-1.628	-2.36696	4.50132	-4.4231	0.843901	2.13915	2.75151	4.23147	0.142033	-0.759784	-1.686	-0.397763	-2.51219	-2.91849	4.30148	-4.19203	1.20702	1.89192	1.87763	4.25274	-0.476628	-0.874091	-0.569091	-0.654978	-2.16072	-1.06917	3.3125	-4.11859	1.05997	1.76527	2.4744	4.44909	0.115054	-1.0989	0.616085	-0.201153	-5.001708e+01	-2.775181e+02	-3.275352e+02
700	3.06602	1.74569	0.267765	1.2928	1.63727	2.27688	0.463014	1.94886	1.15333	2.71491	3.01135	0.427127	0.953409	0.848218	0.610799	0.49582	0.869894	0.0121857	0.261523	0.229895	0.806241	0.237195	-1.30062	1.66603	2.64235	1.90108	3.95108	-1.04262	0.60269	-0.665042	0.204218	-1.51091	-1.36533	2.76441	0.08643	0.0251416	0.0598439	0.0894357	0.348931	0.0808654	0.118653	0.42766	0.0574075	0.0846474	0.122917	1.13474	-1.36728	-1.45004	3.61202	-1.11242	1.88607	2.85322	1.69108	3.72528	-0.987829	0.0936626	0.288389	0.206861	-1.61491	-1.5653	 3.56	-1.23531	1.85203	2.85201	1.65901	3.41634	-0.0966614	0.496668	-1.88569	0.150204	-1.5625	-1.4235	3.9516	-1.20558	1.46967	3.32816	1.75478	3.6982	-1.1934	0.0389018	-0.747877	0.475062	-1.47634	-1.88859	2.06071	-1.4859	1.62972	2.21645	2.31177	4.47219	-0.90269	0.428258	0.504646	-0.0597721	-5.593900e+01	-2.898242e+02	-3.457632e+02
800	2.64746	1.70146	0.583334	0.968842	0.615384	0.488693	0.540641	1.96189	0.891785	2.27913	3.21951	0.363188	1.01808	0.897287	0.703417	0.822481	0.590463	0.0101979	0.393145	0.425878	0.955456	0.230891	-0.165551	0.944414	1.3979	1.20485	3.86827	-0.926584	-0.0893315	-0.431255	0.318349	-1.31545	-0.674253	3.13406	0.0858257	0.168273	0.0304273	0.0314968	0.108358	0.0278283	0.0728615	0.615924	0.171162	0.253291	0.511143	3.15125	-2.10356	-0.763718	2.49047	0.235033	1.34971	1.20999	1.17999	4.04794	-1.03897	0.00353986	0.231986	1.38917	-1.54281	0.291063	1.37784	-0.315992	1.31248	1.47194	1.35234	4.08661	-0.754722	-0.176586	-1.82282	0.776245	-0.908702	-1.26657	3.92682	0.0279666	1.20422	1.18748	1.36067	4.58697	-1.14185	-0.0659538	-0.51122	-0.498389	-2.11442	-1.35103	2.55857	-0.258576	1.16856	1.10636	1.63686	3.881	-0.87415	-0.408498	0.648479	-0.391174	-6.646668e+01	-2.986748e+02	-3.651415e+02
900	2.97427	2.61728	0.645663	1.91897	0.536166	1.12479	0.278778	1.5431	0.471212	2.67434	3.11748	0.38253	1.02618	0.750249	0.872688	0.630965	0.785579	0.0103261	0.32697	0.486286	0.73185	0.574405	-0.933821	0.592228	1.3791	1.73408	4.14886	-0.599775	-0.415302	0.0225302	-1.41725	-1.19677	-0.50712	3.10896	0.184677	0.0506862	0.0496002	0.157069	0.0662432	0.0795082	0.10315	0.482256	0.211025	0.056995	0.222146	1.44534	-1.10649	0.0510322	2.28097	-0.732281	0.380749	1.41646	1.46621	4.33608	-0.859232	-0.208032	0.395577	-0.861835	-0.962698	-0.0347009	2.22581	-0.729334	0.826628	1.43728	1.46586	4.60136	-0.424298	-0.62231	-1.74252	-1.74617	-1.11319	-1.52701	3.33903	-1.1259	0.607665	1.66541	1.97137	3.98766	-1.24436	-0.946971	-0.340636	-1.63724	-1.20556	-1.15894	2.62741	-0.854192	0.75701	0.804105	1.10022	4.13898	-0.682976	-0.0391579	0.560904	-1.8688	-5.823934e+01	-2.839725e+02	-3.422118e+02
