iter	Ve_CVenmol(1)	Ve_CLivmol(1)	Ve_CKidmol(1)	Ve_CBrnmol(1)	Ve_TotCTCOHmol(1)	Ve_TotLivTCOHmol(1)	Ve_TotBrnTCOHmol(1)	Ve_CPlasTCAmol(1)	Ve_CLivTCAmol(1)	Ve_CKidTCAmol(1)	Ve_CBrnTCAmol(1)	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnPBrnC(1)	M_lnPKidTCAC(1)	M_lnPBrnTCAC(1)	M_lnPKidTCOHC(1)	M_lnPBrnTCOHC(1)	M_lnPKidTCOGC(1)	M_lnPBrnTCOGC(1)	M_lnPLivDCVGC(1)	M_lnPKidDCVGC(1)	M_lnPBrnDCVGC(1)	M_lnPBodDCVGC(1)	M_lnPLivDCVCC(1)	M_lnPKidDCVCC(1)	M_lnPBrnDCVCC(1)	M_lnPBodDCVCC(1)	M_lnPLivNDCVCC(1)	M_lnPKidNDCVCC(1)	M_lnPBrnNDCVCC(1)	M_lnPBodNDCVCC(1)	M_lnkDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkNDCVC(1)	V_lnPBrnC(1)	V_lnPKidTCAC(1)	V_lnPBrnTCAC(1)	V_lnPKidTCOHC(1)	V_lnPBrnTCOHC(1)	V_lnPKidTCOGC(1)	V_lnPBrnTCOGC(1)	V_lnPLivDCVGC(1)	V_lnPKidDCVGC(1)	V_lnPBrnDCVGC(1)	V_lnPBodDCVGC(1)	V_lnPLivDCVCC(1)	V_lnPKidDCVCC(1)	V_lnPBrnDCVCC(1)	V_lnPBodDCVCC(1)	V_lnPLivNDCVCC(1)	V_lnPKidNDCVCC(1)	V_lnPBrnNDCVCC(1)	V_lnPBodNDCVCC(1)	V_lnkDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkNDCVC(1)	lnkDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkNDCVC(1.1)	lnPBrnC(1.1)	lnPKidTCAC(1.1)	lnPBrnTCAC(1.1)	lnPKidTCOHC(1.1)	lnPBrnTCOHC(1.1)	lnPKidTCOGC(1.1)	lnPBrnTCOGC(1.1)	lnPLivDCVGC(1.1)	lnPKidDCVGC(1.1)	lnPBrnDCVGC(1.1)	lnPBodDCVGC(1.1)	lnPLivDCVCC(1.1)	lnPKidDCVCC(1.1)	lnPBrnDCVCC(1.1)	lnPBodDCVCC(1.1)	lnPLivNDCVCC(1.1)	lnPKidNDCVCC(1.1)	lnPBrnNDCVCC(1.1)	lnPBodNDCVCC(1.1)	lnkDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkNDCVC(1.2)	lnPBrnC(1.2)	lnPKidTCAC(1.2)	lnPBrnTCAC(1.2)	lnPKidTCOHC(1.2)	lnPBrnTCOHC(1.2)	lnPKidTCOGC(1.2)	lnPBrnTCOGC(1.2)	lnPLivDCVGC(1.2)	lnPKidDCVGC(1.2)	lnPBrnDCVGC(1.2)	lnPBodDCVGC(1.2)	lnPLivDCVCC(1.2)	lnPKidDCVCC(1.2)	lnPBrnDCVCC(1.2)	lnPBodDCVCC(1.2)	lnPLivNDCVCC(1.2)	lnPKidNDCVCC(1.2)	lnPBrnNDCVCC(1.2)	lnPBodNDCVCC(1.2)	lnkDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkNDCVC(1.3)	lnPBrnC(1.3)	lnPKidTCAC(1.3)	lnPBrnTCAC(1.3)	lnPKidTCOHC(1.3)	lnPBrnTCOHC(1.3)	lnPKidTCOGC(1.3)	lnPBrnTCOGC(1.3)	lnPLivDCVGC(1.3)	lnPKidDCVGC(1.3)	lnPBrnDCVGC(1.3)	lnPBodDCVGC(1.3)	lnPLivDCVCC(1.3)	lnPKidDCVCC(1.3)	lnPBrnDCVCC(1.3)	lnPBodDCVCC(1.3)	lnPLivNDCVCC(1.3)	lnPKidNDCVCC(1.3)	lnPBrnNDCVCC(1.3)	lnPBodNDCVCC(1.3)	lnkDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkNDCVC(1.4)	lnPBrnC(1.4)	lnPKidTCAC(1.4)	lnPBrnTCAC(1.4)	lnPKidTCOHC(1.4)	lnPBrnTCOHC(1.4)	lnPKidTCOGC(1.4)	lnPBrnTCOGC(1.4)	lnPLivDCVGC(1.4)	lnPKidDCVGC(1.4)	lnPBrnDCVGC(1.4)	lnPBodDCVGC(1.4)	lnPLivDCVCC(1.4)	lnPKidDCVCC(1.4)	lnPBrnDCVCC(1.4)	lnPBodDCVCC(1.4)	lnPLivNDCVCC(1.4)	lnPKidNDCVCC(1.4)	lnPBrnNDCVCC(1.4)	lnPBodNDCVCC(1.4)	LnPrior	LnData	LnPosterior
0	0.445608	0.0167064	0.0954416	0.0256871	0.0286807	0.491731	0.226913	0.0266689	1.77445	1.37284	0.0238274	0.282035	0.324213	0.0722217	0.0350638	0.165396	0.329269	0.0311243	0.405541	0.0119049	0.0704029	0.0550546	-0.273889	0.35892	0.315905	-0.311733	0.218386	2.676	3.0225	-3.23605	-3.29861	4.50814	-2.36787	-0.414024	4.26434	-1.3805	-2.10569	3.62606	0.640759	2.75318	1.69154	-3.87964	-6.17724	0.815843	0.208119	0.0478715	0.0669999	0.138843	0.051667	0.0358886	0.0389467	0.0701857	0.0561556	0.0499923	0.0995328	0.116051	0.0951839	0.083779	0.125487	0.0814873	0.202724	0.0766874	0.0400481	0.157649	0.107571	2.03945	-3.86793	-5.82063	0.0077796	-0.376396	0.474496	0.337608	-0.450159	0.228029	2.91899	3.05998	-2.6512	-3.55533	4.34314	-1.80091	0.197144	3.77441	-0.899222	-1.94957	3.38615	0.934546	2.97498	1.72508	-3.36114	-6.09837	0.998589	0.0243303	0.159029	0.55271	-0.240148	0.0158509	2.60128	3.13513	-2.7692	-3.46891	4.33854	-3.20448	-0.250694	3.95887	-1.43743	-2.25292	3.6398	1.78541	3.40439	1.70158	-3.36932	-5.92959	0.0915297	-0.537131	0.206845	0.690749	-0.661223	-0.126835	3.10245	2.97495	-3.28049	-3.21854	4.25965	-2.21241	-0.131163	4.28532	-1.32386	-2.2859	3.89964	0.850473	2.33909	1.86442	-4.17408	-6.10393	2.04499	-0.0838352	0.71151	0.233977	-0.471975	0.214955	3.07205	2.96552	-3.41851	-3.06697	4.41324	-1.77861	-0.358601	4.31056	-1.45519	-2.28645	3.6517	0.319815	2.83473	1.84458	-1.927467e+00	-1.299454e+05	-1.299474e+05
100	2.38528	2.38157	0.208175	0.745611	0.517919	1.52937	0.24995	2.85783	0.665373	1.88022	2.95632	1.30477	1.304	0.984837	1.30767	0.70291	1.24195	0.577656	1.03234	0.895401	1.09288	0.891725	-0.814567	0.597706	-0.650946	-0.291615	0.222158	1.82969	-0.700401	-2.39324	-2.453	2.90088	-2.27874	-0.314882	2.86581	0.640532	-2.80069	2.54249	2.57544	2.54984	2.01835	-1.50133	-5.68607	-0.193529	0.550781	0.288105	0.071351	0.33659	0.0216976	0.142637	0.263713	0.114332	0.257118	0.0742084	0.107023	0.072389	0.358588	0.207324	0.128531	0.105228	0.0878502	0.08997	0.0727576	0.0926233	0.350049	8.26923	-1.8733	-5.7272	0.460919	-0.767862	0.458513	-0.692242	-0.169328	0.439841	2.51318	-0.714486	-2.17339	-1.8748	2.52367	-2.12867	-0.607164	2.78086	0.406713	-2.41427	2.2255	1.75467	2.48321	1.79103	-1.41674	-5.55836	-2.33693	0.0221304	0.764232	-0.274268	-0.515408	0.327724	1.8474	-1.10894	-1.87244	-2.29051	2.4065	-2.16406	-0.136395	2.57314	0.276053	-2.49331	2.7789	2.80239	2.60682	1.9713	-1.58967	-6.28759	-1.50043	-1.01968	1.03007	-0.94357	-0.692914	-0.0241054	1.54378	-0.577874	-2.58438	-3.03812	2.89084	-2.27647	-0.383785	2.34308	0.60117	-2.7349	2.68031	2.6303	2.61393	2.4063	-1.28317	-6.1973	3.47827	-0.695445	0.0326467	-0.86498	-0.534897	0.193095	2.70547	-1.27024	-1.79495	-2.53672	3.01665	-1.99119	-0.353685	2.45045	1.57419	-3.04032	2.67058	2.88409	2.75609	2.04797	-9.229052e+01	-3.706281e+02	-4.629186e+02
200	3.01176	1.82665	0.548085	0.906045	0.829301	1.35845	0.132486	2.62383	0.401737	3.1719	3.05696	1.05893	1.09861	0.681291	0.771341	0.611547	1.1727	0.96636	0.762448	0.405156	0.739347	0.937126	-0.405041	0.280814	-0.620505	0.399181	-0.27194	1.76435	-0.885018	0.485442	0.547796	1.68478	-0.339193	-0.190486	2.62691	1.35264	-2.88823	0.960353	2.6338	2.5876	3.13131	-1.81538	-3.18541	-4.13819	0.191994	0.047468	0.109566	0.0327363	0.0784837	0.089589	0.0429874	0.0583384	0.0289485	0.0558943	0.0973395	0.179697	0.0493232	0.0375607	0.0909832	0.0692956	0.0979484	0.145484	0.0744866	0.0596409	0.202448	2.57401	-1.57685	-2.91345	-2.95343	-0.863098	0.179326	-1.08531	0.772815	-0.542053	2.47318	-1.05819	0.607652	0.451951	1.71599	-0.751839	-0.179689	2.185	1.59524	-3.16863	0.603668	2.395	2.4247	3.45852	-1.8961	-2.4204	-4.12189	-0.38256	0.132614	-0.244375	0.380072	0.0779152	1.90317	-0.770566	0.134811	0.885278	1.85155	-0.330648	-0.0417424	2.47755	1.42071	-3.17677	1.27988	2.8264	2.03265	3.09168	-2.04806	-3.39643	-2.301	-1.15227	0.0663915	-0.0071859	0.451451	-0.134241	1.59781	-0.429152	0.787891	0.527205	1.58944	-0.283038	-0.72567	2.62709	1.82133	-3.06999	0.875037	2.416	2.3484	3.55111	-1.97544	-3.76432	-4.36183	-0.708615	0.115134	-1.18163	0.225487	-0.606352	1.9632	-1.06444	0.801142	0.64552	1.34546	0.148802	0.127753	2.96948	1.48355	-2.73756	1.29207	2.77113	2.44661	3.1559	-5.390150e+01	-3.279993e+02	-3.819008e+02
300	3.08526	2.86752	0.316415	2.59201	0.536592	0.555663	0.352213	3.09213	0.438639	2.78759	1.19831	0.655431	1.13009	0.600636	0.668731	0.615852	0.880789	0.747205	0.347168	0.503545	0.651274	1.15858	-0.351007	0.183375	-0.183881	-0.221444	0.310335	1.5673	-0.625473	1.59754	1.21994	1.69454	-1.17907	0.267973	1.37087	0.352055	0.214931	-0.863798	1.16938	2.35051	2.29515	-1.34308	-1.75897	3.57476	0.25339	0.0363544	1.97737	0.0426046	0.0780605	0.0713785	0.139466	0.036717	0.0320939	0.230476	0.0445871	0.081305	0.103788	0.225423	0.0184182	0.0822231	0.0428843	1.0858	0.377608	0.838785	0.0916801	6.0742	-1.82821	-2.2235	3.88439	-0.371085	0.718552	-2.00452	-0.419322	-0.388837	1.47972	-0.197093	1.77608	0.917593	1.76448	-1.5254	0.550658	1.88016	-0.110619	0.331276	-0.783401	1.23363	0.851754	2.78859	-0.733153	-1.56755	2.65735	-0.337272	0.260681	-1.00409	-0.249841	0.0850745	1.11361	-0.794987	1.55663	1.14736	1.87702	-1.24851	0.58161	1.00466	0.0144544	0.305738	-0.815784	0.681401	0.757866	3.10727	-1.85244	-1.72268	1.28008	-0.868895	0.20825	1.65977	0.0362245	0.0458996	1.72347	-1.05522	1.77572	1.22622	1.89307	-1.0713	0.703972	0.839822	-0.224788	0.271312	-0.66113	0.722632	1.84961	2.91451	-0.372001	-1.66682	-1.95604	-0.331864	0.106267	-4.24851	-0.125921	0.618363	1.75942	-1.24721	1.91396	1.05364	1.01809	-1.17829	0.0351149	0.796706	0.558438	0.0844819	-0.812863	1.17099	3.44161	2.5913	-1.034287e+02	-3.089299e+02	-4.123586e+02
400	2.81685	1.64613	0.566643	0.455866	0.998677	1.13415	0.126773	1.71864	0.635029	1.81884	2.02483	0.560177	1.02589	0.634076	0.782333	0.590435	1.09785	0.590578	0.437189	0.377857	0.916628	1.33542	-0.877946	0.587384	-0.681009	0.504136	0.385591	1.74729	-1.2044	1.52872	1.2498	1.94616	-1.91212	0.356799	-1.1986	-0.68276	-0.790202	-0.40898	0.114233	2.19095	2.91818	-0.403376	0.275875	0.602374	0.0671234	0.0246183	4.83184	0.134188	0.0827017	0.0970539	0.110134	0.137214	0.0916968	0.296838	0.0604943	0.138438	0.193222	0.789576	0.0654306	0.101023	0.125145	0.157731	0.0991592	0.0687327	0.0990934	1.90568	-0.649127	-0.118267	0.567631	-1.06134	0.675487	-2.33489	0.464617	-0.209562	1.64399	-0.893084	2.24928	1.53144	1.74118	-1.72906	0.0270043	-0.984295	0.0282737	-0.581892	-0.728624	0.361246	1.1083	3.51097	-0.868467	0.676065	-1.92118	-0.553082	0.768662	-1.39941	0.0275721	0.792128	1.9587	-1.0042	1.77787	1.59601	2.28204	-1.71605	0.311064	-1.21498	-1.70073	-0.619543	-0.46313	-0.0161587	2.26974	2.79036	-0.731299	0.294855	2.0548	-0.529906	0.417328	0.769935	0.0869873	0.585773	1.57576	-0.543988	1.55084	1.2645	2.0456	-2.30934	-0.284027	-1.68414	-0.349025	-0.754735	-0.510544	0.754515	2.15635	3.23561	-0.644041	0.515383	-1.18956	-1.08769	0.770611	-2.25327	0.47304	0.048304	2.10414	-1.71036	2.46502	1.25773	2.74445	-1.70981	0.582498	-0.578049	0.552021	-0.946983	-0.476209	-0.354787	2.29256	2.87578	-9.967872e+01	-2.958528e+02	-3.955315e+02
500	3.15924	2.495	1.0691	0.880414	0.617344	1.5458	0.200832	1.3221	0.39839	1.78587	3.16042	0.574138	1.13811	0.435146	0.485732	0.521878	0.680161	0.406439	0.333716	0.55398	0.959653	0.979543	-0.647143	0.408913	-0.868155	-0.0844375	0.184293	1.79511	-0.999321	2.22871	1.69374	2.09467	-1.7703	-0.299737	-0.216048	-0.847557	-1.12385	-0.28919	0.0248226	0.894165	2.92406	-0.616891	0.439875	-2.47459	0.110603	0.0794408	0.06788	0.068396	0.0309605	0.274123	0.445418	0.115012	0.162854	0.0456529	0.0803216	0.0623354	0.100121	0.23194	0.179595	0.0982477	0.103611	0.104915	0.0902353	0.0669543	0.14067	1.13529	-0.902425	0.190425	-3.04534	-0.688944	0.605918	-1.09693	0.102965	0.0453093	2.23205	-1.17635	2.63084	2.18586	1.89734	-1.70304	-0.481647	-0.274831	-0.102819	-1.10917	-0.516428	-0.485864	1.1963	2.80891	-0.623912	0.322182	-3.1015	-0.724327	0.3457	-0.831385	-0.239633	0.34695	2.16157	-1.78291	1.66701	2.29731	2.42447	-1.18333	0.0398548	-0.456168	-1.9976	-1.57982	-0.366016	-0.100392	0.156176	2.61969	-0.611875	0.690652	-1.41457	-0.679618	0.375988	-0.374003	-0.498026	0.0928803	0.912108	-0.908571	2.20886	1.74544	1.77953	-1.97695	-0.550494	-0.260415	-1.20594	-0.580861	-0.57724	-0.227773	0.987335	3.38659	-0.456605	0.63271	-2.68759	-1.18266	0.587511	-1.10138	-0.323776	0.130796	2.11242	-2.02725	2.63107	1.63407	2.02431	-1.84818	-0.40435	-0.0331045	-0.327526	-1.26267	-0.57132	0.427021	1.37857	2.89436	-6.441254e+01	-2.895745e+02	-3.539870e+02
600	2.50761	2.20051	1.35077	0.627728	0.516766	2.69482	0.133212	2.43857	0.668178	1.85546	3.01241	0.533592	0.99825	0.522751	0.630637	0.722366	0.765914	0.038111	0.20063	0.428466	0.622009	0.65315	-0.0429961	0.495316	-0.709951	0.114162	0.787446	2.29741	-2.34234	1.7094	1.51401	2.19793	-1.88838	0.439914	0.243058	-0.479617	-2.02236	-0.903408	0.530985	-0.960344	4.52713	-0.698398	0.366041	-4.51583	0.119693	0.0671087	0.0213609	0.0377811	0.173715	0.163404	0.0752343	0.253087	0.0383571	0.202547	0.0506824	0.167325	0.0513185	0.205949	0.577114	0.0406707	0.100367	0.0675255	0.0662377	0.123425	0.104903	2.0335	-0.593237	-0.314584	-2.36849	-0.700325	0.901671	-0.723534	0.193463	0.447097	2.78889	-2.70718	1.54648	1.24433	1.47859	-2.16362	0.159931	0.399697	0.306862	-2.20137	-0.725115	0.500865	-0.859599	4.57343	-0.473594	0.237188	-3.92053	0.323328	0.29394	-0.551855	0.329281	1.16463	2.33884	-2.15169	1.32787	1.79784	2.76559	-2.63202	1.20939	0.629914	-1.90721	-0.127375	-0.963656	0.519998	-0.967589	4.47941	-0.825329	-0.220453	-3.1322	-0.247812	0.0431651	-0.761105	0.285947	1.17743	1.77809	-2.16886	2.29987	1.61255	2.03161	-1.83901	0.33038	0.325857	-0.711265	-2.22123	-0.716113	0.420169	-0.796314	4.31857	0.0557816	0.435696	-3.19611	-0.289762	0.448182	-0.660114	0.114702	0.316606	2.66184	-2.50388	2.50677	1.56253	2.67894	-1.72155	0.137586	0.542881	0.236577	-1.92182	-0.918665	0.427845	-0.983107	4.33297	-6.835462e+01	-2.807442e+02	-3.490988e+02
700	2.85384	1.09571	0.322048	1.46569	0.418061	0.614623	0.127533	2.15691	0.920347	1.30883	2.89644	0.79443	1.03677	0.475388	0.781241	0.529766	0.839804	0.0105746	0.186459	0.334736	0.879329	0.325187	-0.478722	0.606752	-0.804411	0.341739	0.501041	2.02969	-3.69148	2.20228	2.3403	2.02048	-0.626404	0.831595	-1.10415	-0.346257	-4.16438	-1.2246	0.874633	-1.20559	4.46882	-0.808742	-0.329839	-3.36114	0.101873	0.0460135	0.0887405	0.123458	0.0467152	0.147444	0.219848	0.124536	0.294342	0.0817757	0.0725814	0.0803923	0.0346242	0.553772	0.0777335	0.0666471	0.1061	0.0385175	0.0698956	0.0974471	0.35385	3.12096	-0.975017	-0.6017	-3.36714	-0.548635	0.705201	-0.94346	0.155722	0.616056	2.37557	-3.25172	2.51645	2.40941	2.40145	-0.641848	0.505239	-1.14054	0.400848	-4.24453	-0.886808	1.57226	-1.07152	4.2737	-0.613316	-0.407623	-2.96192	-0.277094	0.0275417	-1.03818	0.0768587	0.966801	1.12999	-3.59491	1.95775	2.40866	2.02166	-0.517334	1.24991	-0.658301	-1.70562	-4.00495	-1.00246	1.00718	-0.966178	4.56172	-0.554854	0.420123	-2.81327	0.0198934	0.774006	-0.972217	0.719309	0.472047	1.94828	-4.10734	2.69891	2.19818	2.00075	-1.0502	0.833308	-1.2297	-0.564911	-4.29192	-1.63185	0.790556	-1.05576	4.58251	-1.19215	-1.27559	0.37621	-0.604222	0.773836	-0.897485	-0.3582	0.123012	1.69973	-3.88628	2.57956	1.53439	2.09429	-0.175855	0.904027	-1.54825	0.319435	-4.4428	-1.08897	0.499468	-1.40224	4.02121	-6.767258e+01	-2.717445e+02	-3.394171e+02
800	2.9088	2.93182	0.450411	0.783581	0.260204	1.24497	0.0659735	2.74185	0.63051	2.54999	3.01371	0.563052	1.3192	0.399169	0.706809	0.44206	0.786699	0.0102423	0.292904	0.201964	0.610902	0.114156	-0.468837	0.233958	-0.761962	-0.232729	0.0286036	1.26836	-3.93234	2.94427	2.8573	3.27422	0.453659	0.520283	-0.220609	0.0152988	-4.5185	-1.15947	0.33521	-1.37256	4.32243	-0.397159	-0.893756	-1.56528	0.267073	0.04419	0.218188	0.0851825	0.796748	0.164689	0.0639987	0.0741932	0.0795077	0.187124	0.273139	0.0301883	0.0205254	1.32746	0.0997039	0.237432	0.141587	0.0375495	0.106144	0.372522	0.135243	2.1353	-0.804777	-1.17627	0.276615	-0.187232	0.263375	-1.16228	0.107563	0.450295	1.97145	-4.1123	3.15454	2.5449	2.57972	0.0146902	0.483374	-0.258325	0.186526	-4.59294	-0.850846	0.443968	-1.232	4.26108	0.0598445	-0.658738	0.762062	-0.75259	0.501348	-0.565939	-0.430153	1.12979	1.01558	-3.87677	2.26442	2.80396	2.8695	0.583134	0.569866	-0.277495	-1.80503	-4.11877	-0.931241	-0.0998243	-1.20587	4.40481	-0.373682	-0.878329	0.0388653	-0.468838	0.375549	-0.48737	-0.461746	0.96332	0.742557	-3.83957	2.66639	2.51086	2.9914	0.32324	0.698484	-0.361705	-0.762342	-3.75149	-2.02351	-0.0760728	-1.09665	4.39978	-0.405094	-0.928048	-3.49276	-0.949325	-0.0242005	-1.13051	-0.10226	0.459464	1.62244	-3.96575	3.08149	2.14189	2.76766	0.612154	0.559164	-0.20102	0.397672	-4.51407	-0.926894	0.287553	-1.58878	4.03469	-7.681146e+01	-2.637399e+02	-3.405514e+02
900	3.1901	2.86408	0.382198	1.11419	0.304934	1.40907	0.186153	2.7202	0.514304	1.8215	3.22296	0.736654	1.06238	0.51272	0.978202	0.501768	0.76003	0.0102423	0.137188	0.328971	0.624205	0.531423	-0.323632	0.649474	-0.629125	-0.188333	0.374305	1.30887	-3.77172	3.06535	2.69757	1.59574	-2.45327	0.566235	-1.40725	-0.82632	-3.88056	-1.05013	0.276275	-0.77887	4.08967	-0.607813	-2.74138	-1.5327	0.0518745	0.0497168	0.0433763	0.0878974	0.125859	0.295737	0.0871283	0.0693288	0.0440385	0.0467602	0.039798	0.127604	0.0936881	0.357769	0.252643	0.0661645	0.0483384	0.115869	0.0660977	0.233357	0.363361	1.3292	-1.29184	-3.30247	-1.86155	-0.25121	0.857101	-0.672293	-0.282471	-0.0725426	2.81655	-3.68006	2.58682	2.64184	1.7347	-2.64284	0.757766	-1.2526	0.316058	-4.29889	-1.06699	0.554307	-0.75814	4.2543	-0.265535	-1.98051	-1.54946	-0.0521689	0.890796	-0.298406	-0.0432088	0.976148	1.13635	-3.71949	2.72328	3.15936	1.25674	-2.3874	0.820146	-1.04943	-1.75435	-3.39047	-1.05113	0.37547	-1.64279	4.21168	-0.849183	-2.22265	-1.18358	0.0522937	0.609144	-1.07488	-0.697729	0.751885	0.809224	-3.42346	3.05257	2.44346	1.65918	-2.33792	-0.104182	-1.45891	-0.758964	-3.94719	-0.848759	0.0905457	-0.229637	4.17191	-0.303538	-2.08893	-1.29738	-0.298356	0.701144	-1.03982	-0.289819	0.174758	1.77368	-3.97464	3.44067	2.36761	1.90876	-2.40372	0.504885	-1.84397	0.31992	-3.45466	-0.54426	0.525049	-0.737518	4.20249	-6.604121e+01	-2.659794e+02	-3.320206e+02
