iter	Ve_CVenmol(1)	Ve_CLivmol(1)	Ve_CKidmol(1)	Ve_CBrnmol(1)	Ve_TotCTCOHmol(1)	Ve_TotLivTCOHmol(1)	Ve_TotBrnTCOHmol(1)	Ve_CPlasTCAmol(1)	Ve_CLivTCAmol(1)	Ve_CKidTCAmol(1)	Ve_CBrnTCAmol(1)	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnPKidTCAC(1)	M_lnPBrnTCAC(1)	M_lnPKidTCOGC(1)	M_lnPBrnTCOGC(1)	M_lnPLivDCVGC(1)	M_lnPLivDCVCC(1)	M_lnPLivNDCVCC(1)	M_lnkTSD(1)	M_lnkAS(1)	M_lnkAD(1)	M_lnVMaxC(1)	M_lnVMaxDCVGC(1)	M_lnClDCVGC(1)	M_lnkDCVGC(1)	M_lnkDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISOx(1)	M_lnISTCA(1)	M_lnISConj(1)	M_lnISkDCVG(1)	M_lnISkDCVC(1)	M_lnISkNDCVC(1)	V_lnPKidTCAC(1)	V_lnPBrnTCAC(1)	V_lnPKidTCOGC(1)	V_lnPBrnTCOGC(1)	V_lnPLivDCVGC(1)	V_lnPLivDCVCC(1)	V_lnPLivNDCVCC(1)	V_lnkTSD(1)	V_lnkAS(1)	V_lnkAD(1)	V_lnVMaxC(1)	V_lnVMaxDCVGC(1)	V_lnClDCVGC(1)	V_lnkDCVGC(1)	V_lnkDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISOx(1)	V_lnISTCA(1)	V_lnISConj(1)	V_lnISkDCVG(1)	V_lnISkDCVC(1)	V_lnISkNDCVC(1)	lnVMaxDCVGC(1.1)	lnClDCVGC(1.1)	lnkDCVGC(1.1)	lnkDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkDCVG(1.1)	lnISkDCVC(1.1)	lnISkNDCVC(1.1)	lnPKidTCAC(1.1)	lnPBrnTCAC(1.1)	lnPKidTCOGC(1.1)	lnPBrnTCOGC(1.1)	lnPLivDCVGC(1.1)	lnPLivDCVCC(1.1)	lnPLivNDCVCC(1.1)	lnkTSD(1.1)	lnkAS(1.1)	lnkAD(1.1)	lnVMaxC(1.1)	lnVMaxDCVGC(1.2)	lnClDCVGC(1.2)	lnkDCVGC(1.2)	lnkDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkDCVG(1.2)	lnISkDCVC(1.2)	lnISkNDCVC(1.2)	lnPKidTCAC(1.2)	lnPBrnTCAC(1.2)	lnPKidTCOGC(1.2)	lnPBrnTCOGC(1.2)	lnPLivDCVGC(1.2)	lnPLivDCVCC(1.2)	lnPLivNDCVCC(1.2)	lnkTSD(1.2)	lnkAS(1.2)	lnkAD(1.2)	lnVMaxC(1.2)	lnVMaxDCVGC(1.3)	lnClDCVGC(1.3)	lnkDCVGC(1.3)	lnkDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkDCVG(1.3)	lnISkDCVC(1.3)	lnISkNDCVC(1.3)	lnPKidTCAC(1.3)	lnPBrnTCAC(1.3)	lnPKidTCOGC(1.3)	lnPBrnTCOGC(1.3)	lnPLivDCVGC(1.3)	lnPLivDCVCC(1.3)	lnPLivNDCVCC(1.3)	lnkTSD(1.3)	lnkAS(1.3)	lnkAD(1.3)	lnVMaxC(1.3)	lnVMaxDCVGC(1.4)	lnClDCVGC(1.4)	lnkDCVGC(1.4)	lnkDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkDCVG(1.4)	lnISkDCVC(1.4)	lnISkNDCVC(1.4)	lnPKidTCAC(1.4)	lnPBrnTCAC(1.4)	lnPKidTCOGC(1.4)	lnPBrnTCOGC(1.4)	lnPLivDCVGC(1.4)	lnPLivDCVCC(1.4)	lnPLivNDCVCC(1.4)	lnkTSD(1.4)	lnkAS(1.4)	lnkAD(1.4)	lnVMaxC(1.4)	LnPrior	LnData	LnPosterior
0	2.45977	0.0724351	0.847496	0.0308146	0.445608	0.0167064	0.0954416	0.0256871	0.0286807	0.491731	0.226913	0.153101	1.77445	1.37284	0.0238274	0.374607	0.324213	0.0722217	0.0350638	0.0133372	0.329269	0.0311243	-0.359495	-0.0962532	-1.50543	-1.89598	0.914478	-1.85519	-4.33205	-3.32114	0.618066	-6.55712	-0.44449	-6.43293	5.78821	1.71149	4.13854	-7.15658	-3.29861	4.50814	-2.36787	-0.414024	4.26434	-1.3805	0.0462297	0.134054	0.034282	0.208119	0.0678548	0.094968	0.196801	1.83087	0.897214	0.973669	0.382245	0.0877431	0.078113	0.15552	0.181329	0.148725	2.09448	3.13716	2.03718	5.06809	1.91719	1.0012	-6.77579	6.04473	2.18041	4.64735	-7.03075	1.19394	2.34017	-0.443075	0.0690021	0.220037	-1.30591	-1.4195	0.745321	-2.12691	-3.8793	-2.70302	0.232569	-7.13291	-0.311245	-6.14854	5.24761	1.76061	4.26432	-6.96785	1.0543	3.10084	-0.96974	-0.219586	0.382865	-1.83635	-2.55527	0.333465	-2.27704	-4.51857	-3.98344	-0.245459	-5.94893	-0.199402	-6.23126	5.33456	1.76701	2.79964	-7.02736	-0.829673	2.24175	-2.90583	-0.289071	-0.052376	-1.63702	-1.91568	0.828533	-1.64836	-3.35799	-3.88217	2.10557	-6.70799	-0.447677	-6.32956	6.01485	2.2346	4.59685	-7.28081	3.23963	4.38405	-1.35115	-0.271563	-0.463872	-1.20018	-1.97667	1.01025	-2.27067	-4.37458	-3.11062	0.78058	-6.5524	-0.839071	-7.774714e+01	-1.552561e+05	-1.553339e+05
100	2.49249	1.54384	1.32733	1.327	0.508868	0.275329	0.0323682	1.32305	0.964256	1.22449	3.1216	0.566996	0.788599	0.905118	0.889739	0.842015	0.866265	0.759599	0.409366	1.30375	0.669886	0.817293	0.27306	-0.700121	-1.60988	-1.55091	-1.23941	-2.61376	-4.38994	-2.42663	-0.761384	-7.12385	-0.823476	-6.86341	5.91271	4.00991	2.22994	-7.79456	-4.0838	-2.89024	-4.22385	2.44738	-3.99878	0.373696	0.148399	0.0893805	0.0425411	0.0621693	0.138	0.236293	0.0464977	3.94213	1.35054	5.24966	0.347511	0.112719	0.10076	0.0648793	0.123278	0.08195	1.78651	4.43501	1.52327	2.15402	0.661629	2.75991	-6.89884	5.79169	3.84105	2.65113	-7.52904	2.35847	-4.20334	0.0416668	0.710401	-0.995738	-1.63128	-1.42964	-1.13781	-3.33949	-4.56059	-0.498177	-0.584666	-6.13428	-0.758393	-6.6204	5.85705	3.84524	2.23915	-8.15313	2.15441	-3.63755	3.61644	0.147132	-0.91708	-1.60893	-1.22629	-1.08428	-3.19003	-4.33128	-1.6283	-0.956621	-7.15213	-0.19093	-6.11859	6.06083	3.89344	2.30289	-7.56489	1.87795	-2.5623	2.30934	0.806178	-0.745831	-1.49557	-1.30274	-0.547879	-3.34712	-4.24587	-3.39976	-1.29889	-2.87819	-0.468668	-6.65671	6.30009	3.7857	2.37868	-7.33945	2.91293	-3.31774	1.98728	0.730184	-0.980822	-1.65835	-1.48503	-0.758472	-3.16784	-4.34322	-0.187322	-0.958653	-6.14219	-1.03442	-1.096563e+02	-3.130158e+02	-4.226722e+02
200	3.23244	1.87507	0.793162	1.18365	1.25845	0.722546	0.106421	1.42799	0.426885	1.93211	2.1085	0.416026	0.774995	0.694772	0.832787	0.678156	0.811977	0.731883	0.515552	0.709859	0.841486	0.536735	0.212854	-0.782329	-0.75761	-0.716832	-0.782981	-2.83708	-0.593318	-2.12405	0.820743	-6.71475	-0.495948	-6.02639	1.59147	4.43609	2.18878	-5.69953	-4.26982	-3.37248	-3.34458	4.19078	-3.59269	3.6098	0.0548235	0.345067	0.0428538	0.0301916	0.0468215	0.106389	0.205987	1.69834	3.25817	1.46671	0.611825	0.0826341	0.298091	0.155184	0.106458	0.651488	9.01692	7.13267	3.33762	3.40897	7.06047	1.78615	-6.28767	0.999535	4.43266	1.49702	-4.98515	1.02128	-3.25156	3.2178	0.510658	-1.6167	-0.886942	-1.04053	-0.500453	-2.75782	-0.346425	-0.435741	-1.2356	-6.08272	-0.8847	-5.75819	0.823079	3.88768	1.95782	-4.99692	2.06575	-3.42894	3.51989	0.122037	-0.460275	-0.677287	-1.08921	-0.760982	-2.73377	-0.0132029	-0.642311	1.52218	-6.18238	0.0184572	-6.40824	1.16553	3.70027	2.02228	-6.08097	2.33185	-3.58268	1.70781	0.281717	-1.72607	-0.925515	-0.867632	-0.727447	-2.70268	-0.955908	-2.11306	-1.60538	-4.83616	-1.0647	-6.05018	1.64721	4.56665	1.89094	-5.03652	2.20017	-2.49704	1.81115	0.334267	-0.821606	-0.64505	-0.988322	-1.00454	-3.18905	-0.57197	-0.991223	-1.71213	-6.64148	-0.614244	-1.358865e+02	-2.911723e+02	-4.270588e+02
300	1.82255	2.95404	1.67992	2.39166	0.437187	1.3605	0.0458943	2.34297	0.638704	1.89622	2.94519	0.10173	0.816718	0.727776	0.774209	0.5798	0.781313	0.668479	0.280826	0.49128	0.58715	0.019495	0.870279	-0.792688	-1.64905	-0.199315	-0.79592	-1.97431	0.356324	-0.826711	-1.84973	-6.98103	-0.732193	-6.01641	-1.44628	3.65391	2.42706	-4.91721	3.39586	1.38851	-2.18289	2.50366	-3.48227	3.4822	0.0613387	0.048464	0.0271424	0.0573524	0.205101	0.33719	0.0859197	4.32444	3.45829	1.4494	0.312257	0.0857384	0.42685	0.0993177	0.368493	0.138415	1.59414	1.26167	5.128	2.9048	2.11531	1.83098	-5.87852	-1.20654	3.38294	1.85578	-4.95796	2.46586	-4.29191	3.39079	0.860301	-0.951055	-1.58899	-0.501626	-1.17458	-1.81894	0.172874	1.1534	0.0632013	-5.40466	-0.670609	-6.24651	-1.22953	3.80091	2.27511	-5.06274	1.82603	-2.90693	4.20439	0.953748	-0.526285	-1.92892	-0.0559246	-1.25401	-2.54237	0.572146	-0.594821	-1.39203	-7.11832	-0.525883	-6.07455	-1.5654	4.24759	2.0831	-5.06904	1.6275	-4.0278	2.74549	0.579933	-0.943784	-2.0466	-0.17163	-0.560116	-2.22447	-0.544799	-1.96337	-1.63879	-5.59132	-0.884149	-5.62444	-1.4323	3.83019	1.84459	-5.08023	2.36443	-3.3501	1.4262	0.782229	-0.888125	-1.59967	-0.262484	-1.44514	-2.56282	0.0999906	0.600485	-1.06346	-5.8416	-1.29608	-1.186740e+02	-2.589483e+02	-3.776223e+02
400	2.8954	0.863706	1.06331	2.35318	1.07522	0.780645	0.342898	2.09874	0.7982	1.63202	3.29511	0.0969001	0.865376	0.613395	0.728024	0.272372	0.703865	0.471392	0.232028	0.639293	0.566833	0.0154955	0.164042	-0.235566	-2.86887	-0.475172	-1.12612	-1.99023	-0.142836	0.73582	0.144541	-6.37532	0.117478	-6.45637	-1.80077	3.27975	2.25151	-5.29149	-1.45916	-1.73455	-3.6288	2.23717	-3.84751	2.95214	0.383177	0.0558409	0.0725042	0.0607734	0.334414	0.0499139	0.103557	1.97604	5.41026	2.69665	3.13792	0.320453	0.134901	0.0762326	0.295448	0.061094	6.94246	1.10551	2.33684	2.3808	4.45199	2.43121	-5.29645	-2.34747	3.3011	1.74441	-5.32699	2.15556	-4.50576	1.68085	0.540728	-0.363094	-2.54761	-0.877078	-0.51719	-1.98106	-0.028742	-0.414022	-0.970451	-6.97057	-0.30827	-6.04115	-1.77152	3.60705	2.15424	-5.20783	2.00541	-3.08966	4.07224	0.532818	-0.285314	-2.77515	-0.518745	-1.20898	-2.21271	0.580894	0.477714	2.8479	-4.73565	-0.312941	-6.22782	-1.52212	3.49769	2.62349	-5.45423	1.92924	-3.7984	2.68765	0.611026	-0.486012	-3.26061	-0.248205	-1.65955	-1.96092	-0.315175	1.42934	3.04272	-6.63124	0.201183	-5.8701	-2.27993	3.29946	1.78727	-5.46011	2.72645	-3.01263	0.377185	0.778385	-0.174526	-2.90169	-0.596287	-1.44302	-2.29618	0.270243	1.17746	-0.274064	-4.866	-1.01436	-1.246878e+02	-2.417748e+02	-3.664626e+02
500	2.44011	1.40998	0.997956	1.73123	0.380422	1.04198	0.0336772	1.76085	0.557708	1.21848	2.73905	0.114475	0.873742	0.661783	0.673472	0.346624	0.5736	0.66122	0.36746	0.428833	0.544246	0.011333	0.50112	-1.11016	-4.48623	-1.0405	-1.27408	-2.37304	-0.41225	-1.7993	-1.45479	-5.97935	-0.791821	-5.97038	-1.61218	4.01387	2.34103	-5.10561	-0.815492	-0.122583	-3.37244	3.70203	-4.20482	2.87515	0.0264782	0.0999125	0.0594966	0.138436	0.0460907	0.0500446	0.079621	2.75339	3.48647	2.59555	0.298298	0.191577	0.600731	0.224992	0.068589	0.456103	8.21521	2.43983	2.39947	1.61247	4.30284	3.97696	-5.73142	-2.46625	4.03331	2.37914	-5.50188	1.87212	-4.52973	3.92602	0.418835	-1.0509	-3.93377	-0.708043	-1.31707	-2.31341	-0.140636	0.322754	-0.5645	-5.90991	-0.676216	-5.92717	-2.27529	2.97907	2.65329	-4.9258	2.89254	-3.24199	4.08973	0.401106	-1.34418	-4.43036	-0.707307	-1.18327	-2.80321	0.326652	-0.757967	1.13604	-4.5584	-0.645807	-6.03652	-1.59063	3.51259	2.3202	-4.91256	2.63025	-3.96541	1.3362	0.703949	-0.836744	-4.27368	-0.30839	-1.43293	-2.24524	-0.649212	-0.813805	-1.48489	-5.49996	-0.355441	-6.23311	-1.27855	3.59857	2.26793	-5.73999	2.61252	-2.22106	1.50797	0.431737	-1.43505	-4.26162	-1.20623	-1.44576	-2.63795	-0.189101	1.25911	0.592758	-6.00173	-0.995161	-1.197360e+02	-2.357410e+02	-3.554770e+02
600	2.42558	2.7021	1.74511	2.91907	0.839758	1.05316	0.0352811	1.60711	0.340512	1.26412	2.45412	0.154274	0.869725	0.635954	0.453063	0.348828	0.683681	0.754712	0.367731	1.03652	0.573113	0.0157908	0.585438	-0.72199	-4.10444	-0.396943	-0.89462	-2.64714	-0.596203	0.32646	0.892475	-5.6702	-0.325286	-5.98711	-1.73702	2.87367	2.49451	-4.49724	-1.73369	-0.0612285	-1.56444	4.30902	-4.5173	4.1931	0.0440456	0.0829354	0.0418866	0.175663	0.0637174	0.127853	0.0732855	0.833139	3.97243	0.785239	0.145305	0.344679	0.713627	0.158689	0.102476	0.821744	2.86831	7.76403	4.63239	5.18644	2.38483	15.1008	-5.64996	-2.6377	2.63808	1.90219	-5.73208	2.31896	-3.81652	3.32961	0.778981	-0.665293	-4.31489	-0.15383	-0.758834	-2.46476	-0.787777	0.76039	-0.616718	-6.29009	-0.875575	-6.01268	-2.59548	2.48038	2.21671	-4.42271	2.90995	-3.22455	3.82659	0.535813	-1.2118	-3.92754	-0.49503	-1.2444	-2.51181	-0.710976	1.33402	3.39017	-5.36474	-0.492531	-6.01249	-2.08166	3.44759	2.86222	-3.74819	2.46329	-4.04167	1.26481	0.595023	-0.850748	-3.92107	-0.658246	-1.23328	-2.64331	-0.613071	-1.42808	-1.4807	-5.72355	-0.397425	-6.62826	-0.613635	2.70436	2.76647	-3.25081	2.4143	-2.80591	0.257829	0.59118	-0.825105	-4.22036	-1.25711	-0.859123	-2.7185	-0.587081	1.72588	1.10337	-6.45106	-0.6082	-1.317418e+02	-2.434181e+02	-3.751600e+02
700	3.21109	1.21291	2.18491	1.76473	0.564707	1.1122	0.0160972	2.32762	0.60703	1.06475	3.22932	0.0941423	0.704127	0.68646	0.61419	0.29839	0.713936	0.550395	0.324311	0.601881	0.656556	0.0123614	0.429462	-0.600418	-4.00079	-1.08128	-0.467015	-2.56751	-0.466814	-0.370177	-0.656711	-5.04483	-0.116972	-5.47312	-2.60605	2.2513	1.84232	-4.6913	-0.376943	4.29798	-3.77393	2.66859	-4.30903	4.48474	0.044277	0.0998291	0.252138	0.104431	0.0219007	0.10508	0.252883	14.3166	1.41676	1.12767	0.313508	0.198351	0.262624	0.331194	0.140602	0.066514	5.52026	1.71818	2.54592	3.93224	2.91164	3.48048	-5.14179	-2.75241	1.8836	1.29953	-4.70403	3.7745	-3.81171	2.56322	0.430518	-0.751916	-3.89049	-0.45101	-0.408773	-2.62195	0.0514053	-0.140495	-0.681575	-5.44064	-0.851614	-5.44037	-3.04736	3.16972	1.59907	-4.62581	1.80717	-3.29915	4.19391	0.652709	-0.602076	-3.46454	-0.82574	-0.25123	-2.26483	-0.81517	-0.218402	0.152832	-5.37742	-0.41514	-5.64643	-3.32714	1.45183	1.86719	-5.11059	3.69168	-3.04918	4.18293	0.990859	-0.436381	-3.95348	-1.52307	-0.612544	-2.76398	-0.998032	-3.01302	-1.53479	-4.59782	-0.305587	-5.93258	-2.39545	2.33828	1.62841	-4.99839	2.43001	-2.83317	2.51037	0.1992	-1.31864	-4.40035	-1.2845	-0.484663	-2.25467	-0.542721	1.36805	0.272479	-4.86016	-0.926543	-1.219981e+02	-2.331351e+02	-3.551332e+02
800	1.96131	1.54289	1.04732	1.07284	0.716114	0.585575	0.237925	1.72298	0.665246	0.877356	3.28414	0.0962362	0.772271	0.624789	0.721705	0.262879	0.695319	0.681019	0.346723	0.6246	0.748483	0.0126708	0.505142	-0.468203	-3.94496	-0.633333	-0.111042	-2.40622	-0.874628	-2.55729	-1.32272	-5.55577	-0.767959	-4.9977	-3.2326	2.75849	1.79445	-4.74803	1.46982	-0.37565	-2.02601	1.24182	-4.60496	1.87206	0.0969787	0.0826765	0.441159	0.0464123	0.598285	0.050414	0.17468	3.29092	2.90071	3.32595	0.7938	0.11743	0.122777	0.107384	0.131408	0.353265	7.415	1.07507	1.26199	2.21227	2.24089	2.74596	-4.77644	-3.83624	2.51321	1.28239	-4.17049	3.13527	-3.30558	2.48687	0.766047	-0.701161	-3.85167	-0.544232	-1.14586	-2.31964	-0.322474	0.280983	-0.672999	-7.07804	-0.850877	-5.46304	-2.91325	2.80294	1.71985	-4.73333	1.59101	-3.89905	3.82471	0.619796	-0.268113	-4.12863	-0.564923	0.139768	-1.99955	-0.967762	-3.54799	2.59096	-5.69814	-0.256385	-5.22094	-3.05233	2.89735	1.08919	-3.93544	1.45157	-2.40407	0.854114	0.216145	-0.687005	-4.02218	-0.641578	0.397914	-2.58143	-0.813011	-2.03224	-1.63992	-5.05397	-0.399856	-5.24566	-3.38455	2.74276	2.31525	-5.66505	0.886348	-2.57101	4.12579	0.888091	-1.01749	-4.32982	-0.386364	0.447557	-2.48974	-0.856718	2.00417	0.113062	-3.57875	-0.897493	-1.313348e+02	-2.462894e+02	-3.776242e+02
900	1.6401	2.07359	1.64222	1.13737	1.07818	0.51569	0.0692765	2.47481	0.723445	0.573539	2.89987	0.147623	0.875301	0.67199	0.651217	0.314078	0.773683	0.420234	0.528701	0.357288	0.502598	0.0137734	0.790024	-0.507783	-3.57257	-0.721796	-0.228546	-2.63943	-0.478462	0.40349	0.153177	-4.83224	-0.976215	-5.12105	-2.92077	3.37772	1.97667	-4.23111	-1.94696	0.898915	2.20808	2.41915	-3.57503	0.104733	0.0463315	0.0457765	0.0526875	0.55925	0.0753007	0.167204	0.0847042	1.04306	2.68681	4.24663	0.245114	0.181528	0.298367	0.124841	0.11719	0.173524	2.42054	6.66638	2.00334	3.27435	2.42435	1.8401	-5.11792	-3.14779	3.33983	1.56532	-4.48054	1.94312	-3.16311	-2.30126	1.02726	-0.45027	-4.11368	-0.464752	-0.425962	-2.72718	0.326919	0.156084	-0.782391	-5.92943	-0.834645	-5.2434	-3.61762	3.41795	2.25569	-3.9758	1.02731	-3.62124	2.99734	0.941474	-0.764392	-3.76654	-0.352857	-0.338194	-2.17276	-0.296502	0.192581	-0.181482	-4.45511	-0.710015	-5.64122	-3.36136	3.37421	1.76922	-3.36411	1.17354	-2.08881	0.0727574	0.686435	-0.631854	-3.67749	-0.340857	0.0496941	-3.54824	-0.62471	-1.43146	-1.57314	-4.73842	-0.644729	-4.78942	-3.28462	3.51962	2.09096	-3.82097	0.613	-2.89829	1.32694	0.786483	-0.230117	-3.33992	-1.17775	-0.454454	-2.64223	-0.490375	2.38009	1.43865	-5.30013	-0.468986	-1.220677e+02	-2.445366e+02	-3.666043e+02
