iter	M_lnPC_duod(1)	M_lnFu_duod(1)	M_lnFu_colon(1)	M_lnV_central(1)	M_lnVmax_vitro(1)	M_lnKm_vitro(1)	M_lnKc2p(1)	V_lnPC_duod(1)	V_lnFu_duod(1)	V_lnFu_colon(1)	V_lnV_central(1)	V_lnVmax_vitro(1)	V_lnKm_vitro(1)	V_lnKc2p(1)	Ve_lnC_central(1)	lnPC_duod(1.1)	lnFu_duod(1.1)	lnFu_colon(1.1)	lnV_central(1.1)	lnVmax_vitro(1.1)	lnKm_vitro(1.1)	lnKc2p(1.1)	lnPC_duod(1.1.1)	lnFu_duod(1.1.1)	lnFu_colon(1.1.1)	lnV_central(1.1.1)	lnVmax_vitro(1.1.1)	lnKm_vitro(1.1.1)	lnKc2p(1.1.1)	lnPC_duod(1.1.2)	lnFu_duod(1.1.2)	lnFu_colon(1.1.2)	lnV_central(1.1.2)	lnVmax_vitro(1.1.2)	lnKm_vitro(1.1.2)	lnKc2p(1.1.2)	lnPC_duod(1.1.3)	lnFu_duod(1.1.3)	lnFu_colon(1.1.3)	lnV_central(1.1.3)	lnVmax_vitro(1.1.3)	lnKm_vitro(1.1.3)	lnKc2p(1.1.3)	lnPC_duod(1.1.4)	lnFu_duod(1.1.4)	lnFu_colon(1.1.4)	lnV_central(1.1.4)	lnVmax_vitro(1.1.4)	lnKm_vitro(1.1.4)	lnKc2p(1.1.4)	lnPC_duod(1.1.5)	lnFu_duod(1.1.5)	lnFu_colon(1.1.5)	lnV_central(1.1.5)	lnVmax_vitro(1.1.5)	lnKm_vitro(1.1.5)	lnKc2p(1.1.5)	lnPC_duod(1.1.6)	lnFu_duod(1.1.6)	lnFu_colon(1.1.6)	lnV_central(1.1.6)	lnVmax_vitro(1.1.6)	lnKm_vitro(1.1.6)	lnKc2p(1.1.6)	lnPC_duod(1.2)	lnFu_duod(1.2)	lnFu_colon(1.2)	lnV_central(1.2)	lnVmax_vitro(1.2)	lnKm_vitro(1.2)	lnKc2p(1.2)	lnPC_duod(1.2.1)	lnFu_duod(1.2.1)	lnFu_colon(1.2.1)	lnV_central(1.2.1)	lnVmax_vitro(1.2.1)	lnKm_vitro(1.2.1)	lnKc2p(1.2.1)	lnPC_duod(1.2.2)	lnFu_duod(1.2.2)	lnFu_colon(1.2.2)	lnV_central(1.2.2)	lnVmax_vitro(1.2.2)	lnKm_vitro(1.2.2)	lnKc2p(1.2.2)	lnPC_duod(1.2.3)	lnFu_duod(1.2.3)	lnFu_colon(1.2.3)	lnV_central(1.2.3)	lnVmax_vitro(1.2.3)	lnKm_vitro(1.2.3)	lnKc2p(1.2.3)	lnPC_duod(1.2.4)	lnFu_duod(1.2.4)	lnFu_colon(1.2.4)	lnV_central(1.2.4)	lnVmax_vitro(1.2.4)	lnKm_vitro(1.2.4)	lnKc2p(1.2.4)	lnPC_duod(1.2.5)	lnFu_duod(1.2.5)	lnFu_colon(1.2.5)	lnV_central(1.2.5)	lnVmax_vitro(1.2.5)	lnKm_vitro(1.2.5)	lnKc2p(1.2.5)	lnPC_duod(1.2.6)	lnFu_duod(1.2.6)	lnFu_colon(1.2.6)	lnV_central(1.2.6)	lnVmax_vitro(1.2.6)	lnKm_vitro(1.2.6)	lnKc2p(1.2.6)	LnPrior	LnData	LnPosterior
0	0.133105	-2.38942	-1.03776	-1.7874	1.39213	6.57122	1.03701	0.225173	0.0873039	0.454969	0.225841	0.204023	0.0589122	0.098221	0.0473731	0.101797	-2.57396	-1.68148	-2.18438	1.43109	6.63104	0.620211	0.689296	-2.39121	-1.57032	-1.70139	0.785814	6.26283	0.360119	0.960318	-2.79593	-2.44713	-1.32113	1.5367	6.59131	0.34349	0.499243	-2.51861	-1.41097	-1.82749	1.84655	6.60556	0.489716	0.325488	-2.79625	-1.15972	-1.5803	1.57243	6.47052	0.553345	0.22069	-2.63929	-2.09799	-1.77414	1.68819	6.52056	0.666079	0.530935	-2.60514	-2.26951	-1.68764	1.1243	6.65916	0.99629	0.0701143	-2.61815	-0.610082	-1.93555	1.01667	6.53588	0.989134	0.0718079	-2.51274	-0.763401	-1.31222	0.502655	6.40042	0.641112	0.464751	-2.52366	-0.145094	-1.8668	0.829526	6.34148	1.0678	0.369602	-3.16177	-0.873439	-1.44378	0.623046	6.22743	1.04458	0.129825	-2.19615	-0.449245	-1.27133	0.851179	6.1984	1.10868	0.729962	-2.57699	-0.139078	-2.18748	1.02171	6.64983	0.748888	0.32816	-2.23769	-0.233278	-1.47628	1.87683	6.61149	1.09504	-1.093511e+01	-1.134704e+05	-1.134813e+05
100	0.991718	-1.59189	-2.38915	-1.48661	1.17954	5.6831	1.16395	0.254484	1.05349	0.0794231	0.0583643	0.293353	0.18159	0.162457	0.499743	0.847458	-2.84621	-1.5325	-1.40175	1.00301	5.85666	1.31712	1.47618	-2.81458	-1.09088	-1.5411	1.93507	6.15546	1.29624	1.26808	-3.42176	-1.76184	-1.67402	0.274793	5.42701	1.05851	0.955832	-4.31188	-1.27399	-1.56661	0.885849	5.50352	1.43755	1.70954	-4.05521	-0.927536	-1.103	0.891631	6.05459	1.47388	0.596922	-3.84584	-1.63144	-1.51559	1.41555	6.01266	1.01234	0.746061	-4.50886	-1.13466	-1.38232	1.45062	5.64977	1.29403	1.30441	-2.14049	-2.19301	-1.54881	1.35525	5.92804	1.22193	0.883072	-2.57036	-2.04236	-1.39698	1.19602	5.70595	1.54215	2.1504	-2.06651	-2.57646	-1.8619	1.15602	5.84356	1.08915	1.43454	-2.5066	-2.50803	-1.46911	1.28961	5.53391	1.34353	1.46897	-3.01413	-2.02422	-1.40357	0.90568	5.91345	1.14704	0.341071	-2.20453	-2.40768	-1.83981	0.517461	5.46384	1.05422	1.06278	-0.312163	-1.7681	-1.5015	1.20619	5.6993	1.43876	-4.848313e+01	-1.083196e+04	-1.088045e+04
200	1.74215	-1.75801	-2.31893	-2.00486	0.496568	6.01491	0.430403	0.0872456	0.169421	0.0870264	0.233037	0.264185	0.129747	0.203832	0.499942	1.86818	-1.62805	-2.4803	-2.24913	2.09862	5.66518	0.284137	1.91494	-1.81535	-1.84269	-1.96818	1.71319	6.18867	0.217192	1.89174	-0.864212	-2.16936	-1.74302	2.22432	5.66905	-0.122691	1.8424	-1.20173	-2.18669	-2.12846	2.12484	5.36359	0.734333	2.08052	-1.81989	-2.33301	-2.24926	2.06141	5.47358	0.109506	1.85225	-1.65956	-2.41877	-1.88779	1.96968	6.05621	0.106128	1.55033	-1.79786	-2.51937	-1.96015	1.75997	5.69295	-0.125085	1.20283	-1.74319	-1.99561	-2.26323	-0.259014	5.72874	0.841153	0.951849	-1.28068	-1.69358	-2.16777	-0.680695	5.4597	0.362582	1.79132	-1.49786	-1.55149	-1.77184	-0.317082	5.53524	1.24199	0.8093	-1.66887	-1.84861	-2.2369	-0.134174	5.54914	1.10174	1.41459	-1.99015	-1.79811	-1.87744	0.0507715	5.70709	1.17293	1.49624	-1.68155	-2.3823	-1.77793	-0.226797	5.48411	1.01282	1.2404	-1.8093	-2.25827	-1.804	-0.467536	5.84891	0.739544	-1.952772e+01	-1.082770e+04	-1.084723e+04
300	1.41711	-1.82603	-2.06783	-1.93275	-0.134888	6.26701	0.504681	0.19864	0.056667	0.0645708	0.128891	0.154764	0.28086	0.493535	0.499982	2.03057	-2.17128	-2.11581	-1.67306	-0.147169	6.3328	0.166964	1.24528	-2.16561	-2.01267	-1.06311	0.23377	6.07965	-0.381477	1.81214	-2.1696	-2.00192	-2.09678	-0.139228	6.43194	0.868344	2.1314	-2.38788	-2.3915	-1.30639	-0.282645	6.4114	0.0230129	2.0957	-2.23811	-2.3782	-1.39292	0.571272	5.45309	-0.42009	1.86643	-2.29214	-1.76355	-1.959	-0.0479036	6.26729	-0.303583	1.29466	-2.42252	-1.72826	-1.44558	-0.769552	6.41666	-0.220791	1.21437	-2.02715	-1.95947	-1.79668	-0.579628	6.10056	0.798085	0.847983	-2.3511	-2.53584	-1.94422	-0.322932	5.99428	0.999856	1.35313	-1.93527	-1.95242	-2.02858	-0.238865	5.96439	-0.358782	1.9177	-1.87226	-2.19087	-1.80416	-0.38064	6.23774	-0.634829	0.107793	-1.92947	-1.92601	-2.16648	-1.40662	5.60763	0.368183	1.36771	-2.06184	-2.19457	-2.25076	-1.27384	6.39494	-0.226881	1.58088	-1.66633	-1.67016	-1.95653	-0.691076	6.25159	0.126201	-3.609457e+01	-1.082685e+04	-1.086295e+04
400	0.490958	-2.29324	-1.39674	-1.96933	0.594372	5.53186	0.266403	0.16155	0.119599	0.241624	0.0782247	0.45662	0.11576	0.0950132	0.499994	0.578795	-2.10553	-0.797944	-1.65367	1.39591	5.5362	0.229861	0.443539	-2.43969	-0.71098	-1.71294	1.62803	5.60866	0.0450976	1.18596	-2.25159	-0.67896	-1.45537	1.75133	5.80968	0.301576	0.0585919	-2.60125	-0.133275	-1.57101	1.76489	5.8777	0.420475	0.229054	-1.73614	-0.858135	-1.80474	0.860822	5.47177	0.772305	1.22242	-1.66226	-0.723374	-1.81937	0.869966	5.65829	0.260725	1.11109	-2.0982	-1.17539	-1.55967	0.931311	5.7563	-0.0908201	0.750779	-3.25951	-1.39176	-2.12838	-0.704055	5.34156	0.297811	1.10836	-3.49712	-1.64959	-2.08523	0.921458	5.59383	0.139	1.10446	-3.38829	-1.0489	-2.15783	-1.2986	5.60913	0.61628	0.761951	-2.90746	-1.44278	-2.15172	-0.616944	5.43618	0.811077	1.01965	-2.83861	-1.25865	-1.80881	-1.41981	5.86228	0.38045	0.437615	-2.74082	-1.41596	-2.26191	-1.24717	5.34019	0.847295	0.803189	-3.28588	-1.26166	-2.06588	0.479374	5.58398	0.594121	-2.753121e+01	-1.082659e+04	-1.085412e+04
500	0.440343	-2.90568	-0.896166	-0.986851	-0.418119	5.6294	0.117391	0.0958196	0.293111	0.0986969	0.0906873	1.68024	0.69515	0.261873	0.499987	0.701597	-3.07476	-1.16895	-1.10865	2.16539	6.66786	0.92121	0.725579	-2.7306	-1.2395	-0.855013	1.75581	6.11669	0.428519	0.923651	-3.21645	-0.789972	-0.820406	2.17588	5.82897	1.20649	1.11907	-3.11806	-1.99438	-0.35763	1.08699	5.95351	1.22808	0.844073	-3.31459	-0.887759	-1.43379	-0.20421	6.24124	-0.00382219	0.962048	-3.50838	-0.984755	-1.62541	0.670049	5.61893	0.188481	0.824692	-2.90892	-1.37196	-0.956332	1.826	6.04114	0.828361	0.252515	-3.14636	-1.19749	-0.819279	-1.16898	6.05347	0.0260501	0.129983	-3.32383	-1.17465	-0.961162	-1.76355	5.42203	-0.482932	0.595607	-3.63303	-1.79018	-1.42419	-0.666201	5.76452	0.725963	0.158006	-2.53641	-0.924735	-0.864067	-0.652464	6.38749	-0.0502407	0.547777	-3.03208	-1.48255	-1.12708	-1.92495	5.31628	-0.22285	0.605569	-3.33251	-1.10913	-0.891628	-0.264668	6.63802	-0.203938	0.177334	-3.50863	-1.13411	-0.419818	0.350911	5.48038	0.332997	-5.677289e+01	-1.082675e+04	-1.088352e+04
600	0.355835	-3.04653	-0.514759	-0.838402	0.708816	6.2129	1.13973	0.334828	0.167723	0.343215	0.314285	2.15024	0.145552	0.0614197	0.499929	0.304708	-3.02545	-0.788451	-0.291735	1.95069	6.4555	1.32263	0.598789	-3.24022	-0.31835	-0.603185	1.40281	6.0316	1.47483	0.164259	-2.84243	-0.900719	-0.0867607	1.60095	6.10686	1.54885	1.48066	-2.64974	-0.588788	-0.0984379	1.8114	6.42096	1.52845	0.804621	-3.14827	-0.630462	-0.379425	-0.730585	6.25131	1.41634	0.943677	-3.46953	-0.218156	-0.469932	2.11614	5.93331	1.40202	0.690007	-3.59299	-0.670758	-0.578322	1.0238	6.64365	1.34153	1.43418	-2.97536	-0.946757	-0.680037	0.384377	5.60755	0.6483	0.675679	-3.10934	-1.47303	-1.75796	0.577292	6.02653	0.599575	0.391431	-3.23767	-1.02196	-1.23496	-1.73816	5.53728	0.689126	1.79005	-3.25085	-2.03564	-1.35045	0.509614	6.01699	0.403023	0.858438	-3.315	-1.37229	-0.142994	-0.246575	5.86837	0.366855	1.59063	-3.65768	-1.04591	-1.23748	1.71034	6.04048	0.341485	1.57135	-2.57457	-0.646688	-1.46	-0.807615	5.74467	0.240509	-5.885185e+01	-1.082798e+04	-1.088683e+04
700	0.426192	-3.91187	-0.632204	-1.31387	0.264996	5.71285	1.29388	0.157919	0.649246	0.070229	0.0957706	0.0781354	0.0564415	0.186622	0.499911	0.0344257	-3.15048	-0.646611	-1.43338	0.222147	5.70982	1.52691	0.504958	-3.11309	-0.858007	-1.03025	0.606253	5.64763	1.2287	0.0285439	-4.39207	-0.901221	-1.59189	0.171669	6.17266	1.2574	0.146373	-0.671309	-0.169572	-1.60882	0.14206	5.73644	1.17068	0.0324053	-2.7853	-0.592757	-1.28276	-0.0865133	5.55364	1.43156	0.519175	-4.72051	-0.521948	-1.79877	0.0140395	5.64166	1.34258	0.0552456	-2.81665	-0.62592	-1.42869	0.359639	5.85634	1.41344	0.733732	-4.06797	-0.789983	-1.50084	0.447486	5.94487	0.67967	1.19438	-3.14986	-0.790614	-1.66442	0.668207	5.97619	0.566918	0.983077	-4.46595	-0.964865	-1.45858	0.501751	5.75421	0.762964	0.632012	-5.85784	-0.573992	-1.63975	0.27684	5.65662	0.869887	1.16608	-2.88603	-0.768734	-1.53151	0.823695	5.83716	0.822052	0.240464	-3.30921	-0.71209	-1.59582	0.377013	6.23996	1.51154	1.058	-4.05392	-0.914264	-1.94304	0.348026	6.3922	0.946113	-2.108723e+01	-1.082838e+04	-1.084946e+04
800	0.567819	-3.88322	-0.951707	-0.714686	0.133148	5.35827	1.08655	0.095375	0.510101	0.104377	0.299497	0.34204	1.56897	0.102107	0.499964	0.388183	-3.80909	-1.4064	-1.34611	0.821626	5.8492	1.58376	0.609935	-3.91625	-1.49985	-1.10984	2.19617	5.4089	1.12603	0.38931	-3.17625	-1.13168	-1.01303	1.63994	5.97263	1.59471	0.36132	-2.3714	-1.19243	-1.87404	0.84417	5.60848	1.25372	0.247979	-2.59148	-1.67428	-1.13765	1.21736	6.02764	1.43856	0.502626	-4.15101	-1.65954	-0.624991	0.144257	6.59889	0.82557	0.277571	-5.1521	-1.42173	-1.63124	-0.0360697	6.18999	1.07803	0.464573	-3.21304	-1.0367	-0.602326	0.525796	6.13382	1.33068	0.624331	-2.00445	-1.42173	-0.558184	1.17953	6.31274	1.39622	0.658418	-3.47081	-1.23268	-0.654056	1.11819	5.92448	1.22916	0.184615	-3.83649	-0.905142	-0.142449	0.33045	5.59674	0.557659	1.26797	-3.1937	-1.22891	-0.992797	0.613063	6.41347	0.887738	0.302408	-3.45264	-0.856834	-0.893995	1.29982	6.15951	1.09231	0.897433	-4.16419	-0.885658	-0.974698	0.080223	6.57655	1.56283	-5.549250e+01	-1.082724e+04	-1.088273e+04
900	0.285814	-4.53365	-1.39278	-0.564337	-0.521793	5.58509	0.548272	0.104242	0.0499987	0.092425	0.198996	0.269786	0.220126	0.446873	0.499991	0.569312	-4.46455	-1.55653	-0.773373	-0.237085	5.46111	0.154194	0.849099	-4.68822	-1.90946	-1.04502	-0.405911	5.72193	-0.262824	0.830236	-4.52718	-1.21454	-0.533187	0.0883719	5.3995	0.29059	0.44672	-4.48822	-1.47809	-0.485157	0.403995	5.53747	0.475931	0.60529	-4.48555	-1.52982	-0.716936	0.609306	6.0227	1.02875	0.138318	-4.56379	-1.23322	-1.47504	0.304534	5.65658	0.0335455	0.918709	-4.41937	-1.71434	-0.54875	-0.225413	6.27118	0.877961	0.639831	-4.86157	-1.22015	-0.259592	-0.395216	6.46739	0.799819	0.777671	-4.76236	-1.18199	-0.573554	0.295334	6.25102	0.63861	0.258669	-5.06882	-0.942693	-0.660601	-0.887294	5.49503	0.146997	0.562912	-4.76725	-1.16635	-1.47674	-0.360844	5.81788	1.08407	0.47527	-4.93673	-1.18447	-0.217584	-1.11724	6.49037	0.422246	0.411641	-4.65592	-1.15448	-1.10053	-0.108727	5.97328	0.419532	0.835278	-5.19023	-0.801877	-0.614133	-0.954508	6.46255	0.298604	-2.920309e+01	-1.082665e+04	-1.085585e+04
