iter	M_lnPC_stom(1)	M_lnPC_jeju(1)	M_lnPC_colon(1)	M_lnFu_jeju(1)	M_lnV_central(1)	M_lnVmax_vitro(1)	M_lnKm_vitro(1)	M_lnKmet(1)	M_lnKc2p(1)	M_lnKp2c(1)	V_lnPC_stom(1)	V_lnPC_jeju(1)	V_lnPC_colon(1)	V_lnFu_jeju(1)	V_lnV_central(1)	V_lnVmax_vitro(1)	V_lnKm_vitro(1)	V_lnKmet(1)	V_lnKc2p(1)	V_lnKp2c(1)	Ve_lnC_central(1)	lnPC_stom(1.1)	lnPC_jeju(1.1)	lnPC_colon(1.1)	lnFu_jeju(1.1)	lnV_central(1.1)	lnVmax_vitro(1.1)	lnKm_vitro(1.1)	lnKmet(1.1)	lnKc2p(1.1)	lnKp2c(1.1)	lnPC_stom(1.1.1)	lnPC_jeju(1.1.1)	lnPC_colon(1.1.1)	lnFu_jeju(1.1.1)	lnV_central(1.1.1)	lnVmax_vitro(1.1.1)	lnKm_vitro(1.1.1)	lnKmet(1.1.1)	lnKc2p(1.1.1)	lnKp2c(1.1.1)	lnPC_stom(1.1.2)	lnPC_jeju(1.1.2)	lnPC_colon(1.1.2)	lnFu_jeju(1.1.2)	lnV_central(1.1.2)	lnVmax_vitro(1.1.2)	lnKm_vitro(1.1.2)	lnKmet(1.1.2)	lnKc2p(1.1.2)	lnKp2c(1.1.2)	lnPC_stom(1.1.3)	lnPC_jeju(1.1.3)	lnPC_colon(1.1.3)	lnFu_jeju(1.1.3)	lnV_central(1.1.3)	lnVmax_vitro(1.1.3)	lnKm_vitro(1.1.3)	lnKmet(1.1.3)	lnKc2p(1.1.3)	lnKp2c(1.1.3)	lnPC_stom(1.1.4)	lnPC_jeju(1.1.4)	lnPC_colon(1.1.4)	lnFu_jeju(1.1.4)	lnV_central(1.1.4)	lnVmax_vitro(1.1.4)	lnKm_vitro(1.1.4)	lnKmet(1.1.4)	lnKc2p(1.1.4)	lnKp2c(1.1.4)	lnPC_stom(1.1.5)	lnPC_jeju(1.1.5)	lnPC_colon(1.1.5)	lnFu_jeju(1.1.5)	lnV_central(1.1.5)	lnVmax_vitro(1.1.5)	lnKm_vitro(1.1.5)	lnKmet(1.1.5)	lnKc2p(1.1.5)	lnKp2c(1.1.5)	lnPC_stom(1.1.6)	lnPC_jeju(1.1.6)	lnPC_colon(1.1.6)	lnFu_jeju(1.1.6)	lnV_central(1.1.6)	lnVmax_vitro(1.1.6)	lnKm_vitro(1.1.6)	lnKmet(1.1.6)	lnKc2p(1.1.6)	lnKp2c(1.1.6)	lnPC_stom(1.1.7)	lnPC_jeju(1.1.7)	lnPC_colon(1.1.7)	lnFu_jeju(1.1.7)	lnV_central(1.1.7)	lnVmax_vitro(1.1.7)	lnKm_vitro(1.1.7)	lnKmet(1.1.7)	lnKc2p(1.1.7)	lnKp2c(1.1.7)	lnPC_stom(1.1.8)	lnPC_jeju(1.1.8)	lnPC_colon(1.1.8)	lnFu_jeju(1.1.8)	lnV_central(1.1.8)	lnVmax_vitro(1.1.8)	lnKm_vitro(1.1.8)	lnKmet(1.1.8)	lnKc2p(1.1.8)	lnKp2c(1.1.8)	lnPC_stom(1.1.9)	lnPC_jeju(1.1.9)	lnPC_colon(1.1.9)	lnFu_jeju(1.1.9)	lnV_central(1.1.9)	lnVmax_vitro(1.1.9)	lnKm_vitro(1.1.9)	lnKmet(1.1.9)	lnKc2p(1.1.9)	lnKp2c(1.1.9)	lnPC_stom(1.1.10)	lnPC_jeju(1.1.10)	lnPC_colon(1.1.10)	lnFu_jeju(1.1.10)	lnV_central(1.1.10)	lnVmax_vitro(1.1.10)	lnKm_vitro(1.1.10)	lnKmet(1.1.10)	lnKc2p(1.1.10)	lnKp2c(1.1.10)	lnPC_stom(1.1.11)	lnPC_jeju(1.1.11)	lnPC_colon(1.1.11)	lnFu_jeju(1.1.11)	lnV_central(1.1.11)	lnVmax_vitro(1.1.11)	lnKm_vitro(1.1.11)	lnKmet(1.1.11)	lnKc2p(1.1.11)	lnKp2c(1.1.11)	lnPC_stom(1.1.12)	lnPC_jeju(1.1.12)	lnPC_colon(1.1.12)	lnFu_jeju(1.1.12)	lnV_central(1.1.12)	lnVmax_vitro(1.1.12)	lnKm_vitro(1.1.12)	lnKmet(1.1.12)	lnKc2p(1.1.12)	lnKp2c(1.1.12)	LnPrior	LnData	LnPosterior
0	-2.26907	2.26467	1.83449	-5.67358	-0.892715	1.33611	5.1211	0.0750596	1.86472	0.606084	0.352191	0.386782	0.141906	0.118106	0.109858	0.299874	0.235077	0.100287	0.195912	0.124252	0.0455061	-1.83922	0.341634	1.82742	-5.8019	-1.05326	2.05935	5.4506	0.166814	1.68855	0.9808	-1.69891	-0.17686	1.52733	-5.6641	-0.936752	1.88816	5.19782	0.378917	2.21642	0.797607	-1.88959	1.30094	2.11999	-5.80148	-1.17687	1.75715	5.68937	0.379257	1.25661	0.544939	-2.14166	1.07157	1.60145	-5.52391	-0.754649	1.88076	5.41526	0.508576	1.38429	1.36242	-2.16113	0.792774	1.26091	-5.5879	-1.36894	1.52692	5.31059	0.765624	1.00568	1.25377	-1.85037	0.521959	1.2795	-5.34208	-1.17949	0.867977	5.25792	0.535104	1.76732	0.746514	-2.06041	-0.0202782	2.2247	-5.58234	-0.914459	1.97513	5.42165	0.73048	2.13845	0.56897	-1.64197	1.04904	1.77857	-6.43471	-1.02282	1.69078	5.20725	-0.374217	2.25009	1.68361	-1.64093	0.690359	1.72318	-6.57885	-1.03641	1.94408	4.62626	-0.0709278	1.21277	0.622513	-1.44895	0.342127	1.89324	-5.81406	-1.37537	1.23936	5.48606	0.737927	2.29735	1.40511	-1.87352	-0.00293289	1.69715	-5.38197	-1.24018	1.95001	5.95972	-0.109395	1.91771	1.23876	-0.759041	0.125054	1.66492	-5.4564	-1.80001	2.15635	5.91754	-0.117286	1.22915	0.834069	-1.81067	0.221388	0.765937	-5.78907	-0.83639	1.39795	5.6964	-0.0572243	2.09783	0.444525	-6.365822e+01	-1.055686e+04	-1.062052e+04
100	-0.196101	1.68786	2.28165	-6.35569	1.12916	0.772076	6.61189	-0.827208	1.96024	1.52747	0.195948	0.106091	0.131906	0.630932	0.245862	0.212235	0.230354	0.0813536	0.0804001	0.147616	0.0602112	-0.60155	2.02188	2.27732	-6.75919	1.27676	-0.187704	5.87996	-0.767445	2.28484	0.523806	-0.746526	1.79155	1.96782	-6.8848	0.78264	-0.0648221	5.17974	-1.3796	2.08506	-0.180986	-0.932933	1.95149	2.15312	-6.78527	1.39819	-0.292084	6.89295	-1.11093	2.29616	0.739908	-1.17549	1.96051	1.51391	-5.04066	0.997919	-0.044773	5.40256	-0.912098	2.24141	0.0228986	-0.758641	2.17429	2.26831	-6.24337	1.49046	-0.158968	6.06148	-1.01786	2.11558	0.870255	-0.0888294	2.25869	1.95366	-5.65592	1.31411	0.710385	6.70712	-0.788295	1.97553	0.32618	-0.0286371	1.11842	1.95055	-6.36166	1.56552	0.694914	5.4225	-1.10481	1.87427	0.230946	-0.895795	2.24036	1.86572	-6.22699	1.33447	-0.582959	5.88095	-0.956744	2.29246	0.709478	-0.328625	1.56961	2.15129	-6.60551	1.46343	-0.596419	6.08694	-0.605125	2.2887	0.778535	-0.563817	1.64617	2.148	-5.89366	2.14897	-0.414809	5.99816	-1.02215	1.97537	0.804261	-1.09034	2.21549	2.13965	-6.28243	1.95998	0.028424	6.18995	-1.26348	2.09682	0.939828	-0.528898	2.13614	2.06356	-6.89386	1.40346	-0.211218	5.92765	-1.01842	2.09595	0.153318	0.170802	1.88866	2.21945	-4.35354	0.804391	-0.0972235	6.12273	-0.790759	2.1245	0.0264355	-4.574550e+01	1.758748e+00	-4.398675e+01
200	-0.850994	1.97854	1.94785	-6.35626	2.04912	0.987898	4.70726	-1.53153	1.90113	1.31683	0.0986921	1.46293	0.123567	0.188344	0.245271	0.482299	0.168827	0.185851	0.0612691	0.147621	0.0361872	-0.858404	1.74643	2.04045	-6.61345	1.92174	-0.711641	4.91088	-1.1405	2.15976	0.906999	-0.586484	0.716936	2.20651	-6.58601	1.57862	-1.70224	4.68876	-1.40292	2.14558	0.807716	-0.541931	1.30723	1.94156	-6.41077	2.14893	-1.0295	4.64272	-1.91424	2.1337	1.55131	-1.07295	1.41156	1.61337	-6.72681	1.47031	0.856316	4.63103	-0.72048	2.05145	0.232476	-0.677074	2.01067	1.73788	-6.774	1.85574	-0.602686	5.13733	-1.24182	2.12318	1.19056	-0.349833	1.93719	2.16159	-6.88442	1.51042	-0.711324	4.67097	-0.792555	2.2832	0.594816	-0.135415	-0.48073	2.20377	-6.21139	1.41513	0.0720129	5.12669	-0.446388	2.25615	0.444976	-0.616231	2.27955	2.27411	-6.36851	1.84016	-1.29195	4.68361	-1.60216	2.18745	1.58268	-1.30634	1.90607	1.60327	-5.96684	1.62782	-0.926099	4.8858	-1.39334	2.16695	0.876297	-0.641934	1.7656	1.90365	-6.8267	2.07077	-0.802112	4.87891	-1.00531	2.04737	1.08975	-1.20575	2.19544	1.81671	-6.78943	2.10125	-0.0895641	4.89204	-1.5494	2.27955	1.14432	-1.233	0.761768	1.90623	-5.77417	1.72374	0.269772	4.78075	-1.06405	2.19151	0.608869	-1.50034	-0.938998	1.91046	-6.8872	1.03698	-1.30066	4.62443	-0.148999	2.02838	-0.211483	-5.699458e+01	3.706043e+01	-1.993415e+01
300	-0.735246	0.450063	1.93771	-6.65463	2.0895	-0.0466791	5.54929	-1.58997	2.24324	-0.142509	0.767585	1.05947	0.0666174	0.148743	0.178427	0.109437	0.0958638	0.404905	0.0475344	0.591658	0.0360928	-1.19989	1.02114	2.27479	-6.53356	1.8598	-0.22134	5.43111	-1.08339	2.18166	0.98612	-0.720886	-0.501137	2.26482	-6.15895	1.53858	-0.405159	4.71609	-1.24503	2.13727	0.65981	-1.12873	1.51841	2.0623	-6.11123	2.10172	-0.502799	5.3126	-1.96598	2.08169	1.42575	-1.59996	-0.519002	2.11139	-6.78407	1.53627	-0.478282	5.65849	-0.331145	1.81183	0.0810891	-0.958681	0.363179	2.27691	-5.96247	2.29642	-0.437302	5.79964	-1.49902	2.05653	1.87809	-1.98956	-1.07886	2.25625	-6.14413	2.04076	-0.0428721	5.41044	-0.925053	1.85139	1.14283	-1.79326	1.14122	2.16815	-6.30026	1.42786	0.103487	5.81831	-0.596272	2.04064	0.330452	-1.52322	1.76608	1.8957	-6.49748	2.16876	-0.457027	5.75411	-1.48989	2.13454	1.43899	-0.700541	1.17774	1.88138	-6.16404	1.92249	-0.777168	6.00822	-1.33036	2.23607	1.36207	-1.23129	2.23747	1.97659	-6.68926	1.9074	-0.255971	5.40085	-1.02717	2.22042	0.836888	0.391349	2.23511	2.28284	-5.94006	2.2753	-0.385929	5.63438	-1.84355	2.27814	1.25397	-1.06376	0.514008	2.06918	-6.60116	2.12845	-0.973283	5.37691	-1.01532	2.07955	0.890498	-0.207298	0.43093	2.13844	-6.41982	0.780221	0.0132223	5.57394	0.032943	2.00701	-0.408961	-6.276567e+01	4.603892e+01	-1.672674e+01
400	-1.91434	0.889606	1.62175	-6.46546	2.0665	1.48592	4.98778	-0.538491	2.18226	0.689868	0.280234	0.874605	0.108991	0.0341667	0.0998038	0.11845	0.100553	0.178978	0.219044	0.0834609	0.0470222	-1.74466	0.368537	1.92154	-6.65247	1.87609	1.0788	5.0535	-1.09646	1.99733	0.79754	-0.891871	0.337905	2.25271	-6.85835	1.27182	0.853407	4.95171	-1.22275	2.19167	0.300804	-2.26843	0.0541827	2.00555	-6.7054	2.05877	0.378055	5.29238	-1.40333	1.93411	1.18643	-1.50623	-1.81978	1.85842	-6.36814	1.47617	1.31898	5.09711	-0.436493	1.95479	0.181596	-0.819267	0.681383	1.71643	-6.6056	2.15203	0.810233	4.87744	-1.43184	1.62225	1.3336	-1.87731	1.27258	1.49664	-6.57996	1.66657	1.02715	4.6496	-1.1515	2.12022	0.723162	-2.08428	0.366459	1.80593	-6.54003	2.05425	0.899672	5.28639	-1.09029	2.10425	1.08696	-1.57114	1.09434	1.63634	-6.6654	2.26939	0.961155	5.30153	-1.61572	1.55901	1.21682	-2.18735	-0.59934	1.44708	-6.51967	2.25771	1.14542	5.70806	-1.53287	1.59121	0.794306	-1.63752	0.438307	1.76399	-6.39152	1.96257	1.31325	5.04875	-0.948551	2.29618	0.842973	-2.02387	1.14475	2.29528	-6.63133	2.206	0.949862	5.09202	-1.44201	2.16573	1.10475	-1.92008	-0.850697	1.56944	-6.81221	1.9361	0.95104	5.2426	-0.931035	2.16471	0.720394	-2.14209	0.00128634	2.08146	-6.48067	1.71974	1.59829	5.13456	-0.90913	1.27453	-0.10121	-4.207245e+01	1.490933e+01	-2.716312e+01
500	-0.626477	0.806617	1.58481	-5.99574	1.26613	1.57416	6.04796	-0.980662	1.78198	1.61461	0.244635	0.267913	0.198111	0.216943	0.789166	0.159621	0.192944	0.290421	0.289294	0.44013	0.0428522	-0.849273	1.02214	1.99753	-6.8723	1.97732	1.14074	6.60128	-1.17858	2.21693	0.804644	-0.27697	1.39894	2.1531	-6.72451	1.44295	1.23061	6.2047	-1.3006	2.1378	0.878774	-0.158431	0.274567	2.12819	-6.70794	2.27186	0.646982	6.29811	-1.76033	1.83792	1.44613	-0.887156	1.21031	2.00911	-6.36742	1.43854	0.989576	6.35298	-0.38268	2.0331	0.162002	-0.412165	1.28689	1.853	-6.38747	2.26491	0.864778	5.74162	-1.70666	2.11082	1.74066	-0.858732	1.16816	0.967492	-6.39691	1.62258	0.984652	6.69268	-0.466787	2.10397	0.561579	0.0514056	1.17213	2.27639	-6.35943	1.30086	1.83086	6.39209	-0.652301	2.15546	0.407323	-0.663642	1.43422	1.3527	-6.89244	1.86734	0.57095	6.03947	-1.09523	2.26594	0.908178	-0.26559	1.66438	1.89759	-6.84525	2.12733	1.3861	6.10425	-1.68397	1.5149	0.805426	-0.681145	1.15262	2.09928	-6.50786	2.24203	1.89163	6.45666	-1.02473	2.15664	0.988255	-1.07827	1.56334	1.51498	-6.67643	2.26859	1.91401	6.7697	-1.67251	2.25744	1.43693	-0.796233	0.93682	1.74854	-6.23607	1.6845	1.53104	5.77212	-1.15206	2.17503	0.441913	0.0223929	0.363419	2.25774	-6.32263	0.747747	1.55892	6.71195	-0.0768121	2.1917	-0.097754	-7.032037e+01	2.622297e+01	-4.409740e+01
600	-1.20414	1.01136	2.15887	-5.30609	1.96408	0.276781	6.87657	-1.12885	1.90642	-0.352595	0.161967	0.294579	0.0931554	0.105635	0.280614	0.0816055	0.286532	0.230267	0.0580958	0.210829	0.0410398	-0.840881	1.21104	1.76088	-6.00879	1.71806	0.196687	6.56905	-0.927545	2.14167	0.751453	-1.04309	1.08503	1.71757	-6.01951	1.27106	0.142643	6.30261	-1.14678	2.07034	0.250332	-0.900907	1.28873	1.66963	-5.51386	1.95281	0.16398	6.79726	-1.64687	2.17053	1.16935	-1.45485	1.08051	1.70272	-6.22156	1.22792	0.571276	5.70306	-0.188349	2.20333	0.226941	-0.960371	2.0085	1.75511	-6.21084	1.85031	0.488775	6.75353	-1.18667	2.17339	1.21558	-0.981745	0.656625	1.90712	-5.73726	1.84298	0.263382	6.53151	-0.86977	2.23778	1.09335	-0.490881	-0.125363	1.81679	-5.8678	1.50828	-0.0326936	5.7686	-0.526158	2.13208	0.256227	-0.270455	1.84412	1.31573	-6.11388	2.15332	-0.0298515	6.51493	-1.83991	2.00727	0.946546	-0.325484	1.91395	1.53339	-5.94393	1.61763	0.490242	6.49073	-1.37381	2.24152	0.90459	-1.26427	2.01313	1.56145	-6.1922	2.02642	0.26838	6.13941	-1.063	2.23303	0.967544	-0.500667	2.23608	2.08946	-5.68402	2.10485	0.241629	6.44058	-1.50704	1.9003	0.743851	0.0874481	0.485696	2.0386	-5.97528	1.92468	-0.179885	6.76033	-0.967161	2.00114	0.388419	-1.0999	0.58312	1.72528	-5.92916	0.900301	0.248763	6.31599	-0.0389754	2.15716	0.0711361	-4.384075e+01	3.010232e+01	-1.373844e+01
700	0.627057	0.776785	1.3462	-5.69583	1.94687	0.38201	5.56623	-1.53269	2.04455	1.22945	0.312278	1.88276	0.130564	0.170274	0.166524	0.104253	0.277298	0.387964	0.090058	0.318591	0.0396911	-0.0307416	-0.229456	1.68118	-6.2411	2.17318	-0.161262	5.3265	-1.49442	2.15502	0.961697	-0.248974	-0.142216	2.00035	-5.51532	1.83218	-0.565771	4.81476	-2.26297	1.55973	0.390311	0.344266	-0.927152	1.20516	-6.2124	2.1515	-0.21112	5.59223	-1.64096	1.96353	1.19373	0.0620688	0.0499795	0.982552	-6.29691	1.44337	0.156736	5.26224	-0.319335	2.29624	0.394604	0.563343	1.64877	1.71264	-5.78387	2.06611	-0.036001	5.39779	-1.67329	2.01698	1.17224	0.799371	-1.78078	1.74644	-6.69551	2.26497	0.0537782	5.74522	-1.16299	1.71039	1.07301	0.786156	-1.58401	1.04125	-5.88118	1.84911	-0.632189	5.81978	-0.805256	1.85821	0.572027	-0.0871243	1.40177	1.81214	-6.71347	2.0854	0.696352	4.96684	-1.45874	2.05517	1.36187	-0.0691158	1.97254	1.40223	-6.00782	2.27252	-0.785258	5.38308	-1.80854	1.59023	1.35985	-0.100801	1.26421	1.75528	-5.54382	2.28371	-0.16479	4.76581	-1.41407	1.85936	0.820274	-0.430586	2.21784	2.23339	-6.3939	2.2879	-0.40743	5.3412	-1.63789	2.03985	1.23013	-0.47815	-0.313968	1.98526	-6.72786	2.21927	-0.738081	5.09596	-1.19842	1.95076	1.00742	-0.711588	-2.10081	2.22226	-6.32355	1.44898	-0.380473	6.05774	-0.487952	2.16929	0.53633	-8.299319e+01	3.128126e+01	-5.171194e+01
800	0.0596915	1.03656	0.165295	-6.50189	1.50081	0.49693	5.61619	-1.92627	1.93512	1.5914	1.36944	0.479589	0.0892465	0.0808811	0.131427	0.10068	0.544881	0.205704	0.152312	0.208284	0.0367198	-0.609431	0.769761	0.592951	-6.35326	2.18436	0.255977	5.04756	-1.36908	2.27077	1.00868	-1.04722	0.667699	1.07182	-6.76839	1.72771	0.12167	6.44882	-1.7066	2.25002	0.930759	-0.717626	-0.485217	0.455789	-6.4543	2.03631	0.505868	4.95807	-1.56487	2.09259	0.930532	-0.245474	-0.0793179	0.620762	-6.45205	1.5703	0.436562	4.93978	-0.58498	1.8908	-0.124909	0.887075	0.628013	0.722778	-6.2843	2.13158	0.132396	5.23168	-1.39027	1.96777	1.52078	-0.593611	1.07513	0.402376	-6.394	2.0515	1.05928	5.45504	-1.31943	1.97615	1.06982	-0.694814	0.595756	0.627449	-6.56734	1.57188	0.553136	5.39638	-0.780554	2.20744	0.459684	-0.576484	1.83358	0.599554	-6.45748	2.01113	0.655048	4.89311	-1.91827	1.97362	0.864086	-0.211877	0.809713	0.575852	-6.59271	2.22646	0.263449	5.87737	-1.49043	1.81386	1.36738	0.696037	0.695661	0.903804	-6.52976	2.20286	-0.190128	5.7331	-0.929586	2.28688	0.973929	-0.983617	2.26252	0.609528	-6.41783	2.20201	0.182128	5.30218	-2.27457	2.27896	1.63538	-0.0292392	-0.078354	0.298657	-6.4481	1.77975	-0.0149998	4.88237	-0.859437	1.96875	0.344895	-1.13145	-0.835012	0.441953	-6.46987	1.4265	0.425903	5.2379	-0.468176	2.17286	0.388418	-6.631567e+01	2.478400e+01	-4.153168e+01
900	-1.99268	0.532539	0.0848724	-6.8811	1.70822	0.901117	4.89877	-2.04748	1.90581	0.868974	0.179734	3.21288	0.114825	0.367176	0.356536	0.766547	0.271575	0.431809	0.192403	0.217799	0.0294827	-2.08326	1.07617	0.480612	-6.11955	2.15233	0.181188	4.96319	-0.986215	2.18246	0.616106	-1.74561	-1.6685	0.475505	-5.46027	1.48158	0.897082	5.29819	-1.25039	2.15105	0.663782	-1.87952	1.67564	0.956886	-6.23404	2.25635	-0.739954	4.97827	-2.22805	1.90137	1.10643	-2.27225	0.172148	0.488703	-6.03894	1.3578	-0.220423	5.00785	-0.0927848	1.98918	0.0161122	-1.65053	1.99163	0.626269	-5.42115	2.10708	-1.27455	4.67128	-1.95573	1.38707	0.713977	-1.7726	0.489435	-0.20987	-6.43786	1.81093	0.445513	5.57249	-0.887602	2.03154	0.60775	-2.0127	-1.78544	0.143019	-5.86503	1.48104	0.359598	5.06116	-0.466243	2.03806	0.399076	-1.85631	1.59213	0.341062	-5.31758	2.24894	-0.714611	5.44772	-1.49189	2.16896	1.48782	-2.06901	1.94218	0.556225	-6.63879	2.05515	0.543529	5.38281	-1.86956	1.69065	0.862215	-1.49943	1.72109	1.05627	-5.722	2.27199	1.47392	5.47557	-2.11495	2.08993	1.06601	-2.14448	2.03883	0.428764	-6.57187	2.17094	0.250712	4.69001	-1.65588	2.29901	1.02169	-2.06289	-0.779261	0.281453	-6.63884	1.93172	0.928634	5.74687	-0.858344	2.2539	0.642511	-1.48664	0.705542	0.468243	-6.36405	0.875943	1.53807	5.3246	-0.318067	2.27434	0.00414884	-9.152925e+01	4.157051e+01	-4.995874e+01
