Level	Simulation	Output_Var	Time	Data	Prediction
1_1_1	1	lnCPL_APAP_mcgL	0.5	11.1496	11.2239
1_1_1	1	lnCPL_APAP_mcgL	0.75	11.357	11.2872
1_1_1	1	lnCPL_APAP_mcgL	1	11.1583	11.296
1_1_1	1	lnCPL_APAP_mcgL	1.5	10.9794	11.2408
1_1_1	1	lnCPL_APAP_mcgL	2	10.9794	11.1431
1_1_1	1	lnCPL_APAP_mcgL	3	10.8735	10.9055
1_1_1	1	lnCPL_APAP_mcgL	4	10.6532	10.65
1_1_1	1	lnCPL_APAP_mcgL	6	10.1775	10.1218
1_1_1	1	lnCPL_APAP_mcgL	8	9.6145	9.5819
1_1_1	1	lnCPL_APAP_mcgL	10	-1	9.03516

1_1_1	1	lnCPL_AG_mcgL	0.5	9.3288	9.59302
1_1_1	1	lnCPL_AG_mcgL	0.75	10.1109	10.1922
1_1_1	1	lnCPL_AG_mcgL	1	10.5093	10.5737
1_1_1	1	lnCPL_AG_mcgL	1.5	11.0057	11.0344
1_1_1	1	lnCPL_AG_mcgL	2	11.2879	11.2928
1_1_1	1	lnCPL_AG_mcgL	3	11.5434	11.5322
1_1_1	1	lnCPL_AG_mcgL	4	11.5929	11.5898
1_1_1	1	lnCPL_AG_mcgL	6	11.4362	11.4598
1_1_1	1	lnCPL_AG_mcgL	8	11.0941	11.1694
1_1_1	1	lnCPL_AG_mcgL	10	10.7324	10.7953
1_1_1	1	lnCPL_AG_mcgL	12	10.3191	10.3703

1_1_1	1	lnCPL_AS_mcgL	0.5	8.6702	8.66601
1_1_1	1	lnCPL_AS_mcgL	0.75	9.1882	9.03837
1_1_1	1	lnCPL_AS_mcgL	1	9.3634	9.27398
1_1_1	1	lnCPL_AS_mcgL	1.5	9.577	9.56055
1_1_1	1	lnCPL_AS_mcgL	2	9.7297	9.72535
1_1_1	1	lnCPL_AS_mcgL	3	9.8477	9.88486
1_1_1	1	lnCPL_AS_mcgL	4	9.9619	9.92584
1_1_1	1	lnCPL_AS_mcgL	6	9.8872	9.82957
1_1_1	1	lnCPL_AS_mcgL	8	9.689	9.60357
1_1_1	1	lnCPL_AS_mcgL	10	9.4287	9.30367
1_1_1	1	lnCPL_AS_mcgL	12	9.0757	8.95623

1_1_1	1	lnCU_APAP_mcg	0	-1	-20

1_1_1	1	lnCU_AG_mcg	0	-1	-20

1_1_1	1	lnCU_AS_mcg	0	-1	-20


1_1_2	2	lnCPL_APAP_mcgL	0.25	9.6486	9.97792
1_1_2	2	lnCPL_APAP_mcgL	0.5	9.8363	9.99455
1_1_2	2	lnCPL_APAP_mcgL	0.75	9.8416	9.94057
1_1_2	2	lnCPL_APAP_mcgL	1	9.7981	9.87103
1_1_2	2	lnCPL_APAP_mcgL	1.5	9.655	9.72124
1_1_2	2	lnCPL_APAP_mcgL	2	9.5178	9.5685
1_1_2	2	lnCPL_APAP_mcgL	3	9.2203	9.2606
1_1_2	2	lnCPL_APAP_mcgL	4	8.9187	8.95036
1_1_2	2	lnCPL_APAP_mcgL	6	8.294	8.325
1_1_2	2	lnCPL_APAP_mcgL	8	7.836	7.69571

1_1_2	2	lnCPL_AG_mcgL	0.25	8.0722	8.16252
1_1_2	2	lnCPL_AG_mcgL	0.5	8.9804	9.08561
1_1_2	2	lnCPL_AG_mcgL	0.75	9.5047	9.48963
1_1_2	2	lnCPL_AG_mcgL	1	9.806	9.71073
1_1_2	2	lnCPL_AG_mcgL	1.5	10.1138	9.92885
1_1_2	2	lnCPL_AG_mcgL	2	10.2139	10.0179
1_1_2	2	lnCPL_AG_mcgL	3	10.1567	10.039
1_1_2	2	lnCPL_AG_mcgL	4	10.0871	9.9559
1_1_2	2	lnCPL_AG_mcgL	6	9.6304	9.63515
1_1_2	2	lnCPL_AG_mcgL	8	9.2425	9.20397

1_1_2	2	lnCPL_AS_mcgL	0.25	8.1743	8.30454
1_1_2	2	lnCPL_AS_mcgL	0.5	8.8166	8.80126
1_1_2	2	lnCPL_AS_mcgL	0.75	9.0136	8.99758
1_1_2	2	lnCPL_AS_mcgL	1	9.1653	9.09302
1_1_2	2	lnCPL_AS_mcgL	1.5	9.1427	9.16301
1_1_2	2	lnCPL_AS_mcgL	2	9.0802	9.15932
1_1_2	2	lnCPL_AS_mcgL	3	8.9097	9.04844
1_1_2	2	lnCPL_AS_mcgL	4	8.8052	8.86236
1_1_2	2	lnCPL_AS_mcgL	6	8.394	8.37824
1_1_2	2	lnCPL_AS_mcgL	8	7.9587	7.81981

1_1_2	2	lnCU_APAP_mcg	0.6	8.6878	8.89019
1_1_2	2	lnCU_APAP_mcg	1.6	9.7585	9.87228
1_1_2	2	lnCU_APAP_mcg	2.6	10.1999	10.2527
1_1_2	2	lnCU_APAP_mcg	3.6	10.44	10.4618
1_1_2	2	lnCU_APAP_mcg	4.6	10.5739	10.5913
1_1_2	2	lnCU_APAP_mcg	5.6	10.669	10.6765
1_1_2	2	lnCU_APAP_mcg	6.5	10.7277	10.7296
1_1_2	2	lnCU_APAP_mcg	7.5	10.7893	10.7714
1_1_2	2	lnCU_APAP_mcg	8.5	10.8198	10.8008
1_1_2	2	lnCU_APAP_mcg	9.6	10.8532	10.8235
1_1_2	2	lnCU_APAP_mcg	10.5	10.8799	10.8368
1_1_2	2	lnCU_APAP_mcg	11.5	10.9041	10.8475

1_1_2	2	lnCU_AG_mcg	0.6	10.7199	10.2157
1_1_2	2	lnCU_AG_mcg	1.6	12.3436	12.1684
1_1_2	2	lnCU_AG_mcg	2.6	12.9835	12.9277
